easting,northing,Name,Core,sample,transect,strike,dip,Rake1,Strike2,Dip2,Rake2,Strike3,Dip3,Rake3,Strike4,Dip4,Rake4,X1,X2,X3,X4,qtz,picture,notes,xz_strike,xz_dip,yz_strike,yz_dip
119.9942517,-21.27609177,AME16_091,1,0,0,58,80,N/A,230,78,,225,76,,,,,4.64,3.27,3.58,3.25,stretched,,fabric_cross-cuts_pegmatites_,,,,
120.0125503,-21.29517283,AME16_092,1,0,0,298,54,102,305,56,,,,,,,,2.87,2.50,2.38,2.19,,,,,,,
120.0269646,-21.31766852,AME16_093,1,0,0,286,72,N/A,299,78,,286,67,,,,,1.86,1.62,2.31,0.95,stretched,,,,,,
120.0422781,-21.33940514,AME16_094,1,0,0,320,65,N/A,305,61,,,,,,,,0.90,1.02,3.34,0.72,,,,,,,
120.0703127,-21.3773817,AME16_095,1,0,0,319,54,N/A,,,,,,,,,,0.15,0.14,0.15,0.18,,,,,,,
120.0746136,-21.39920399,AME16_096,1,0,0,100,67,N/A,110,65,,,,,,,,4.03,3.74,3.35,2.00,,,,,,,
120.0605598,-21.35401715,AME16_097,1,0,0,154,75,N/A,156,71,,,,,,,,0.51,0.63,0.50,0.96,stretched,,,,,,
120.0994658,-20.91279552,AME16_098,1,0,0,180,70,N/A,,,,,,,,,,2.02,1.94,1.98,2.30,stretched_,,,,,,
120.0940173,-20.92660613,AME16_099,1,0,0,212,64,N/A,,,,,,,,,,1.79,1.68,1.60,1.20,blebby,,amphibole_granitoid,,,,
119.8081561,-21.16922384,AME16_100,0,1,0,179,55,77,,,,,,,,,,,,,,,,,81,79,337,37
120.0848746,-20.94295696,AME16_100,1,0,0,162,90,N/A,,,,,,,,,,0.34,0.45,0.50,0.14,blebby,,,,,,
120.075108,-20.96564275,AME16_101,1,0,0,281,73,N/A,274,80,,295,70,,,,,0.07,0.07,0.08,0.08,blebby,,,,,,
120.066111,-20.99404148,AME16_102,1,0,0,130,70,N/A,116,68,,,,,,,,0.33,0.76,1.58,1.13,stretched,,very_weak_solid-state_foliation,,,,
120.2964935,-21.14261189,AME16_103,1,0,0,297,65,N/A,309,55,,,,,,,,0.02,0.2,0.02,0.22,stretched,,very_weak_solid-state_foliation,,,,
120.2694957,-21.11975846,AME16_104,1,0,0,345,70,N/A,334,66,,,,,,,,0.05,0.04,0.05,0.04,stretched,,,,,,
120.259074,-21.10016375,AME16_105,1,0,0,292,75,N/A,340,63,,305,71,,,,,0.39,0.55,0.30,0.95,stretched,,,,,,
120.2576741,-21.07230096,AME16_106,1,0,0,272,55,N/A,259,60,,,,,,,,0.58,0.82,1.04,0.86,stretched,,,,,,
120.2578967,-21.04537334,AME16_107,1,0,0,284,68,N/A,292,77,,122,76,,,,,1.00,1.63,1.75,2.00,stretched,,,,,,
120.2063672,-21.07107603,AME16_108,1,0,0,103,70,N/A,99,71,,,,,,,,0.26,0.78,0.04,0.02,stretched,,,,,,
120.219785,-21.04859384,AME16_109,1,0,0,304,63,N/A,302,55,,,,,,,,0.18,0.17,1.98,0.14,stretched,,,,,,
120.2431182,-21.03623967,AME16_110,1,0,0,271,78,N/A,269,80,,,,,,,,2.36,3.65,3.88,4.28,stretched,,,,,,
120.2186466,-21.00821368,AME16_111,1,0,0,290,82,N/A,289,71,,,,,,,,4.87,6.96,2.88,2.49,stretched,,,,,,
120.1884169,-20.99185724,AME16_112,1,0,0,274,74,N/A,280,76,,,,,,,,2.52,2.06,2.89,3.67,stretched,,,,,,
120.177922,-21.00952621,AME16_113,1,1,0,276,70,N/A,270,65,,,,,,,,1.22,1.36,1.44,1.42,stretched,,sample—well-foliated_gneiss_with_clear_stretched_quartz,,,,
120.1781944,-21.03616306,AME16_114,1,0,0,281,64,N/A,270,70,,,,,,,,2.47,0.87,1.81,1.91,stretched,,,,,,
120.1761189,-21.06362611,AME16_115,1,0,0,282,70,N/A,283,77,,,,,,,,0.02,0.00,0.01,-0.01,,,,,,,
120.2644837,-20.96744578,AME16_116,0,1,0,326,70,84,330,74,80,321,60,84,,,,,,,,,phone,drawing_in_notebook—_deformed_chert_and_schist,306,84,51,21
120.2626861,-20.97147371,AME16_117,0,1,0,335,72,84,168,70,101,,,,,,,,,,,,phone,"drawing_in_notebook_--_highly_variable_foliation,_with_small-scale_folds_and_kinks_separated_by_bodied_qty_veins",297,84,44,19
120.2624307,-20.97218977,AME16_118,0,1,0,254,74,N/A,99,56,,,,,,,,,,,,,,,,,,
120.2641502,-20.97187319,AME16_119_S,0,1,0,290,84,N/A,305,84,,,,,,,,,,,,,,drawing_in_notebook_—_5_meter_cliff_that_shows_ignoreous_contact_betweenn_granite_and_greenstone.,,,,
120.25961,-20.97671994,AME16_120,0,1,0,201,63,N/A,,,,,,,,,,,,,,,,,,,,
120.1913975,-20.98219098,AME16_121,0,1,0,251,64,94,,,,,,,,,,,,,,,,massive_amphibolite_with_pods_or_dikes_of_granite_mixed_in._sampled_amphibolite_,197,86,80,26
120.1905217,-20.98414748,AME16_122,0,1,0,344,62,99,4,42,102,,,,,,,,,,,,,"coarse_grained,_highly_foliated/_lineated_amphibolite",102,82,357,29
120.19,-20.98692851,AME16_123,0,1,0,76,57,95,,,,,,,,,,,,,,,,chert_with_amphiboles_(??)_amphibole_defines_strong_lineation,169,86,275,33
120.19024,-20.987315,AME16_124,0,1,0,102,82,90,,,,,,,,,,,,,,,,very_deformed_gneiss_(locally_migmatitic)_at_boundary_between_“mixed_zone”_and_granite_field,12,90,78,8
119.917326,-21.33891237,AME16_125,0,1,0,123,74,96,125,69,96,,,,,,,,,,,,phone,very_strongly_foliated_ultramylonite_greenstone_(LS)._SOS_is_dome_up._also_shows_dextral_on_top_face,215,84,324,17
119.9186557,-21.33769733,AME16_126,0,1,0,121,84,95,114,80,,,,,,,,,,,,,phone,paragneiss_schistt_with_qty_ribbons_distributed_sparsely._most_show_dome-up_but_some_show_dome_down_SOS,212,85,341,8
119.9210579,-21.33483499,AME16_127,0,1,0,119,70,101,116,68,106,,,,,,,,,,,,,ultramylonite_orthogneiss._well_lineated_LS,213,80,329,23
119.9196806,-21.33698344,AME16_128,0,1,0,100,74,N/A,116,79,,,,,,,,,,,,,phone,drawing_in_notebook—S-C_fabrics,,,,
119.9209326,-21.33591358,AME16_129,0,1,0,121,69,106,115,69,98,,,,,,,,,,,,,Augen_orthogneiss—good_for_SOS_(none_recorded_in_notebook),217,75,340,26
119.9223816,-21.33217617,AME16_130,0,1,0,124,67,101,,,,,,,,,,,,,,,,Protomylonite_Augen_geneiss._Last_outcrop_before_the_flat_downs_,218,80,330,25
119.969574,-21.3762317,AME16_132,0,1,0,159,76,88,154,80,94,,,,,,,,,,,,,chert_with_lineation,69,88,331,14
119.9706849,-21.37483008,AME16_133,0,1,0,122,75,107,135,79,99,130,78,102,,,,,,,,,,"Schist,_hard_to_tell_whether_granitoid_or_greenstone_protolith",217,74,352,23
119.9718173,-21.37381193,AME16_134,0,1,0,134,77,106,136,65,103,,,,,,,,,,,,,"Mylonite_gneiss._Light-colored,_cm-scale_fractures_along_foliation",228,74,6,21
119.9732943,-21.37259681,AME16_135,0,1,0,135,74,101,139,73,108,,,,,,,,,,,,,"very_white,_qtr-rich_schist._I_*think*_dome-up_SOS",228,79,350,19
119.9740758,-21.37233194,AME16_136,0,1,0,149,67,100,,,,,,,,,,,,,,,phone,"Mylonite_zone_among_granitoid,_possibly_intrusive_contact.",243,81,353,25
119.9772304,-21.37146441,AME16_137,1,1,0,145,73,106,140,79,,,,,,,,0.08,0.08,0.08,0.06,stretched,,"augen_gneiss,_highly_stretched_and_coarse_grain._possible_SOS",240,75,9,23
119.9789231,-21.35307561,AME16_138,1,0,0,136,57,N/A,135,63,,152,70,110,,,,0.05,0.05,0.05,0.04,stretched,,gneissic_banding,,,,
119.9659205,-21.33008136,AME16_139,1,0,0,273,74,N/A,269,72,,274,70,,,,,0.06,0.03,0.07,0.04,stretched,,very_coarse_biotite_veins,,,,
119.9480852,-21.31836053,AME16_140,1,0,0,260,76,N/A,248,82,,,,,,,,0.04,0.02,0.08,0.05,stretched,,slightly_migmatitic_gneiss,,,,
119.9248223,-21.32091844,AME16_141,1,0,0,55,62,N/A,60,66,,54,51,,,,,0.19,1.42,0.15,0.33,,,,,,,
119.9252336,-21.29320828,AME16_142,1,0,0,269,76,N/A,277,86,,245,54,,,,,0.1,0.04,0.04,0.02,stretched,,banded_gneiss,,,,
119.9172907,-21.2674859,AME16_143,0,0,0,256,54,N/A,270,54,,56,71,,,,,,,,,stretched,,very_weatherd_gneisss--failed_to_drill_(too_crumbly),,,,
119.9141891,-21.26445651,AME16_144,1,0,0,246,78,N/A,66,77,,,,,,,,0.59,0.61,0.55,0.27,stretched,,medium-grained_gneiss,,,,
119.8982356,-21.2403634,AME16_145,1,1,0,263,58,N/A,282,45,,260,39,,,,,3.48,2.72,2.94,1.96,stretched,,medium_coarse_gneiss_with_big_biotites,,,,
119.8730465,-21.21692173,AME16_146,1,0,0,94,52,N/A,94,47,,100,40,,,,,0.14,0.74,8.81,11.1,stretched,,very_fine_to_medium_grained_gneiss_with_wavy_banding,,,,
119.855808,-21.19809757,AME16_147,1,0,0,130,63,N/A,122,50,,163,46,,,,,0.17,0.05,0.03,0.02,,,"foliated_granitoid,_some_spots_of_gneissic_banding",,,,
120.3490854,-21.19523247,AME16_148,0,1,0,9,81,113,12,66,103,,,,,,,,,,,,,"schist_in_greenstone,_very_fine-grained._strongly_foliated,_but_foliation_is_irregularly_dipping.",103,67,281,25
120.3481747,-21.19519944,AME16_149,0,1,0,48,79,146,45,70,105,29,56,105,,,,,,,,,,schist_in_greenstone—lineation_variable_in_both_orientation_and_strength.,154,36,311,57
120.3477108,-21.19469318,AME16_150,0,1,0,65,60,N/A,60,60,,,,,,,,,,,,stretched,,,,,,
120.3470763,-21.19390075,AME16_151,0,0,0,112,55,N/A,194,82,126,358,74,,,,,,,,,stretched_,,could_not_find_fabric:_AME16_152_is_the_drill_site_for_this_unit,,,,
119.7898302,-21.17125905,AME16_154,0,1,0,163,78,N/A,162,83,,168,70,,181,62,,,,,,stretched_,,,,,,
119.8155994,-21.16473609,AME16_155,0,1,0,198,61,N/A,193,63,,,,,,,,,,,,,,amphibolite_fine_grained,,,,
119.8212673,-21.16238178,AME16_156,1,0,0,128,26,N/A,145,25,,,,,,,,0.07,0.01,0.03,0.02,,,strongly_foliated_granitoid,,,,
119.8832236,-21.0112486,AME16_157,1,0,0,236,62,N/A,230,53,,242,62,,232,53,,0.15,0.17,0.27,0.12,stretched,,biotite-rich_gneiss_with_applite_and_pegmatite_veins._weathered.,,,,
119.906197,-21.00686177,AME16_158,1,0,0,241,61,N/A,237,60,,257,35,,,,,0.68,0.14,0.11,0.12,stretched,,gneiss_with_pegmatites,,,,
119.9139103,-21.03300978,AME16_159,1,0,0,200,54,N/A,251,74,,319,51,,,,,0.04,0.04,0.03,0.03,,,"very_weakly_foliated_granitoid_to_gneiss,_with_sparse_pegmatites",,,,
119.9387003,-21.0392346,AME16_160,1,0,0,109,75,N/A,104,69,,,,,,,,2.01,2.07,1.20,2.90,stretched,,"banded_gneiss,_locally_migmatitic",,,,
119.9561243,-21.05222345,AME16_161,1,0,0,110,81,N/A,112,86,,104,63,,,,,3.46,4.19,0.03,4.67,,,very_weathered_coarse_granitoid_with_large_pegmatites,,,,
119.9649246,-21.06154488,AME16_162,1,0,0,295,63,N/A,292,58,,292,60,,,,,1.99,0.18,1.36,1.30,,,migmatitic_gneiss,,,,
120.2239768,-21.22141887,AME16_163,1,0,0,142,70,N/A,142,65,,,,,,,,4.2,0.96,0.61,1.07,stretched,,highly_deformed_coarse_granitoid,,,,
120.2066226,-21.28900543,AME16_164,1,0,0,124,35,N/A,110,35,,126,38,,,,,1.64,3.32,3.68,1.85,blebby,,"amphibole_granitoid,_foliation_defined_by_amphibole",,,,
120.1824582,-21.30010097,AME16_165,1,0,0,24,75,N/A,30,65,,,,,,,,1.89,2.90,1.85,2.62,stretched,,"fine_gneiss,_some_banding_and_foliation-parallel_pegmatites.",,,,
120.1558249,-21.30819462,AME16_166,1,0,0,72,59,N/A,64,54,,,,,,,,0.31,0.72,0.92,1.74,,,,,,,
120.1245699,-21.30630065,AME16_167,1,0,0,124,64,N/A,135,62,,106,64,,,,,6.95,4.08,3.40,7.52,,,,,,,
120.0976519,-21.30824701,AME16_168,1,0,0,294,75,N/A,299,74,,,,,,,,5.24,5.42,3.74,6.34,stretched,,granitoid,,,,
120.1035131,-21.32688677,AME16_169,1,0,0,301,66,N/A,299,69,,,,,,,,0.99,2.53,2.56,2.22,,,,,,,
120.1176411,-21.34951891,AME16_170,1,0,0,295,5,N/A,302,78,,296,75,,,,,3.79,2.31,2.51,4.32,stretched,,strongly_foliated_granitoid,,,,
120.1416164,-21.36368316,AME16_171,1,0,0,238,65,N/A,246,63,,205,46,,241,68,,4.07,2.52,3.10,1.85,stretched,,weak_solid_state_fabric,,,,
120.1642945,-21.37598838,AME16_172,1,0,0,67,65,N/A,241,75,,249,66,,53,75,,2.96,2.02,3.12,1.98,stretched,,deformed_granitoid,,,,
120.2098557,-21.36413905,AME16_173,1,1,0,49,49,N/A,,,,,,,,,,,,,,,,,,,,
