TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
29,-177.3,0,0,0,0,0,0,0
30.8,-180,0,0,0,0,0,26,0
36.8,-180.2,0,0,0,0,0,48,0
44,-180.4,0,0,0,0,0,70,0
50.5,-180.5,0,0,0,0,0,92,0
57.3,-180.6,0,0,0,0,0,114,0/1200
63,-180.8,0,0,0,0,0,137,0
68.5,-180.9,0,0,0,0,0,159,0
73.2,-181,0,0,0,0,0,181,0
77.4,-181.1,0,0,0,0,0,204,0
82.1,-181.1,0,0,0,0,0,226,0
86.1,-181.2,0,0,0,0,0,248,0
90,-181.3,0,0,0,0,0,271,0
94.2,-181.3,0,0,0,0,0,293,0
97.9,-181.3,0,0,0,0,0,315,0
101.6,-181.4,0,0,0,0,0,338,0
105,-181.4,0,0,0,0,0,360,0
109.2,-181.4,0,0,0,0,0,382,0
112.7,-181.5,0,0,0,0,0,404,0
117.2,-181.5,0,0,0,0,0,427,
121.2,-181.6,0,0,0,0,0,449,
124.9,-181.6,0,0,0,0,0,471,
128.6,-181.6,0,0,0,0,0,494,0
132.9,-181.6,0,0,0,0,0,516,0
136.3,-181.7,0,0,0,0,0,538,0
140.6,-181.7,0,0,0,0,0,560,0
144.6,-181.7,0,0,0,0,0,583,0
149.2,-181.7,0,0,0,0,0,605,0
153.2,-181.7,0,0,0,0,0,627,0
157.5,-181.7,0,0,0,0,0,649,0
161.5,-181.8,0,0,0,0,0,671,0
165.5,-181.7,0,0,0,0,0,694,0
169.8,-181.7,0,0,0,0,0,716,0
174.7,-181.8,0,0,0,0,0,738,0
178.7,-181.8,0,0,0,0,0,760,0
183.1,-181.8,0,0,0,0,0,782,0
186.9,-181.8,0,0,0,0,0,805,0
191.2,-181.8,0,0,0,0,0,827,0
195.8,-181.8,0,0,0,0,0,849,0
200.2,-181.8,0,0,0,0,0,871,0
204.2,-181.8,0,0,0,0,0,893,0
208.6,-181.9,0,0,0,0,0,916,0
213.5,-181.9,0,0,0,0,0,938,0
217.9,-181.9,0,0,0,0,0,960,0
221.5,-181.9,0,0,0,0,0,982,0
226.7,-181.8,0,0,0,0,0,1005,0
231.1,-181.8,0,0,0,0,0,1027,0
236.3,-181.9,0,0,0,0,0,1049,
240.7,-181.9,0,0,0,0,0,1071,
245.4,-181.9,0,0,0,0,0,1094,
249.5,-181.9,0,0,0,0,0,1116,
254.5,-182,0,0,0,0,0,1138,
258.9,-182,0,0,0,0,0,1160,
264.5,-182,0,0,0,0,0,1182,
268.4,-182,0,0,0,0,0,1204,
273.1,-182,0,0,0,0,0,1227,
277.8,-182,0,0,0,0,0,1249,
282,-182,0,0,0,0,0,1271,
286.8,-182,0,0,0,0,0,1293,
291.5,-182,0,0,0,0,0,1315,
296,-182.1,0,0,0,0,0,1338,
300.8,-182.1,0,0,0,0,0,1360,
305,-182.1,0,0,0,0,0,1382,
309.5,-182.2,0,0,0,0,0,1404,
314.6,-182.1,0,0,0,0,0,1426,
319.1,-182.2,0,0,0,0,0,1449,
323.9,-182.1,0,0,0,0,0,1471,
328.7,-182.2,0,0,0,0,0,1493,
333.6,-182.2,0,0,0,0,0,1515,
337.8,-182.2,0,0,0,0,0,1537,
342.9,-182.3,0,0,0,0,0,1560,
347.5,-182.3,0,0,0,0,0,1582,
352.1,-182.4,0,0,0,0,0,1604,
357.2,-182.4,0,0,0,0,0,1626,
361.5,-182.3,0,0,0,0,0,1648,
366.4,-182.4,0,0,0,0,0,1671,
371.3,-182.4,0,0,0,0,0,1693,
375.9,-182.5,0,0,0,0,0,1715,
381.9,-182.5,0,0,0,0,0,1737,
385.4,-182.6,0,0,0,0,0,1760,
390.3,-182.6,0,0,0,0,0,1782,
395,-182.6,0,0,0,0,0,1804,
399.3,-182.6,0,0,0,0,0,1826,
404.3,-182.7,0,0,0,0,0,1848,
408,-182.7,0,0,0,0,0,1871,
413,-182.8,0,0,0,0,0,1893,
417.4,-182.9,0,0,0,0,0,1915,
422.3,-182.9,0,0,0,0,0,1937,
427.3,-183,0,0,0,0,0,1959,
431.7,-183.1,0,0,0,0,0,1982,
