TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
31.4,-181.4,0,0,0,0,0,0,0
32.7,-181.5,0,0,0,0,0,26,0
38.9,-181.6,0,0,0,0,0,48,0
46.1,-181.7,0,0,0,0,0,70,0
53.9,-181.9,0,0,0,0,0,92,0
61.2,-181.9,0,0,0,0,0,114,0/1200
67.2,-182,0,0,0,0,0,136,0
73.2,-182,0,0,0,0,0,159,0
79,-182.1,0,0,0,0,0,181,0
83.4,-182.2,0,0,0,0,0,203,0
89.2,-182.3,0,0,0,0,0,226,0
94.2,-182.3,0,0,0,0,0,248,0
98.7,-182.3,0,0,0,0,0,270,0
102.6,-182.3,0,0,0,0,0,293,0
109.2,-182.4,0,0,0,0,0,315,0
112.2,-182.4,0,0,0,0,0,337,0
116.4,-182.5,0,0,0,0,0,359,0
121.2,-182.5,0,0,0,0,0,381,0
125.2,-182.5,0,0,0,0,0,404,0
129.9,-182.5,0,0,0,0,0,426,
134.7,-182.6,0,0,0,0,0,448,
138.7,-182.6,0,0,0,0,0,471,
141.9,-182.6,0,0,0,0,0,493,0
147.8,-182.7,0,0,0,0,0,515,0
152.4,-182.7,0,0,0,0,0,537,0
156.7,-182.7,0,0,0,0,0,560,0
161.2,-182.7,0,0,0,0,0,582,0
165.8,-182.8,0,0,0,0,0,604,0
170.9,-182.8,0,0,0,0,0,626,0
175.2,-182.8,0,0,0,0,0,648,0
179.3,-182.8,0,0,0,0,0,671,0
184.2,-182.9,0,0,0,0,0,693,0
188.8,-182.8,0,0,0,0,0,715,0
193.6,-182.9,0,0,0,0,0,738,0
198.5,-182.9,0,0,0,0,0,760,0
202.9,-182.9,0,0,0,0,0,782,0
207.8,-183,0,0,0,0,0,805,0
212.2,-183,0,0,0,0,0,827,0
216.8,-183.1,0,0,0,0,0,849,0
221.2,-183.1,0,0,0,0,0,871,0
225.8,-183,0,0,0,0,0,894,0
231.1,-183.1,0,0,0,0,0,916,0
236,-183.1,0,0,0,0,0,938,0
240.7,-183.1,0,0,0,0,0,960,0
245.1,-183.2,0,0,0,0,0,982,0
249.8,-183.2,0,0,0,0,0,1004,0
254.5,-183.2,0,0,0,0,0,1027,0
259.2,-183.3,0,0,0,0,0,1049,
263.9,-183.2,0,0,0,0,0,1071,
269.2,-183.3,0,0,0,0,0,1093,
273.7,-183.3,0,0,0,0,0,1115,
278.4,-183.3,0,0,0,0,0,1138,
283.7,-183.4,0,0,0,0,0,1160,
288.2,-183.3,0,0,0,0,0,1182,
293.2,-183.4,0,0,0,0,0,1204,
298,-183.4,0,0,0,0,0,1226,
302.5,-183.4,0,0,0,0,0,1249,
307.3,-183.4,0,0,0,0,0,1271,
312.1,-183.4,0,0,0,0,0,1294,
316,-183.5,0,0,0,0,0,1316,
320.8,-183.4,0,0,0,0,0,1338,
326.5,-183.5,0,0,0,0,0,1361,
331.3,-183.6,0,0,0,0,0,1383,
336.1,-183.6,0,0,0,0,0,1405,
340.7,-183.7,0,0,0,0,0,1428,
345.5,-183.6,0,0,0,0,0,1450,
350.4,-183.6,0,0,0,0,0,1472,
354.9,-183.6,0,0,0,0,0,1495,
360.1,-183.7,0,0,0,0,0,1517,
365.3,-183.8,0,0,0,0,0,1540,
370.1,-183.8,0,0,0,0,0,1562,
374.7,-183.8,0,0,0,0,0,1584,
380.2,-183.9,0,0,0,0,0,1606,
384.3,-183.9,0,0,0,0,0,1628,
389.2,-183.9,0,0,0,0,0,1651,
394.7,-183.9,0,0,0,0,0,1673,
399.6,-184,0,0,0,0,0,1695,
404.5,-184,0,0,0,0,0,1717,
