TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
29,213.7,0,0,0,0,0,0,0
30.8,213.6,0,0,0,0,0,26,0
36.5,213.8,0,0,0,0,0,48,0
44.3,214.3,0,0,0,0,0,70,0
51.3,214.7,0,0,0,0,0,93,0
57.6,215,0,0,0,0,0,115,0/1200
63.8,215.4,0,0,0,0,0,137,0
68.5,215.6,0,0,0,0,0,160,0
73.2,216,0,0,0,0,0,182,0
78.7,216.2,0,0,0,0,0,204,0
82.6,216.4,0,0,0,0,0,226,0
86.6,216.6,0,0,0,0,0,249,0
90.5,216.9,0,0,0,0,0,271,0
93.7,217.1,0,0,0,0,0,293,0
97.9,217.4,0,0,0,0,0,316,0
102.1,217.5,0,0,0,0,0,338,0
105,217.8,0,0,0,0,0,360,0
109.2,218,0,0,0,0,0,382,0
113.7,218.1,0,0,0,0,0,404,0
117.7,218.3,0,0,0,0,0,427,
121.4,218.4,0,0,0,0,0,449,
125.2,218.5,0,0,0,0,0,471,
129.4,218.6,0,0,0,0,0,493,0
133.4,218.7,0,0,0,0,0,515,0
137.4,218.8,0,0,0,0,0,538,0
141.4,218.9,0,0,0,0,0,560,0
145.7,218.8,0,0,0,0,0,582,0
150,218.8,0,0,0,0,0,604,0
153.7,218.8,0,0,0,0,0,627,0
158.3,218.7,0,0,0,0,0,649,0
162.3,218.8,0,0,0,0,0,671,0
166.6,218.7,0,0,0,0,0,693,0
170.1,218.8,0,0,0,0,0,716,0
174.4,218.9,0,0,0,0,0,738,0
179.8,218.8,0,0,0,0,0,760,0
183.6,218.9,0,0,0,0,0,782,0
187.9,219.2,0,0,0,0,0,804,0
192,219.5,0,0,0,0,0,826,0
196.6,219.8,0,0,0,0,0,849,0
201,220.2,0,0,0,0,0,871,0
205.3,220.6,0,0,0,0,0,893,0
210,221.1,0,0,0,0,0,915,0
214.6,221.6,0,0,0,0,0,937,0
219.3,222.2,0,0,0,0,0,960,0
223.4,222.8,0,0,0,0,0,982,0
227.5,223.3,0,0,0,0,0,1004,0
232.4,223.9,0,0,0,0,0,1026,0
236.6,224.7,0,0,0,0,0,1048,
241.5,225.2,0,0,0,0,0,1071,
246.5,225.8,0,0,0,0,0,1093,
250.3,226.5,0,0,0,0,0,1115,
254.8,227.1,0,0,0,0,0,1137,
260,227.7,0,0,0,0,0,1159,
264.8,228.2,0,0,0,0,0,1181,
269.2,228.8,0,0,0,0,0,1204,
273.7,229.3,0,0,0,0,0,1226,
277.8,229.9,0,0,0,0,0,1248,
282.6,230.4,0,0,0,0,0,1270,
287.6,231,0,0,0,0,0,1293,
291.8,231.5,0,0,0,0,0,1315,
296.3,232,0,0,0,0,0,1337,
301.6,232.6,0,0,0,0,0,1359,
306.4,233.1,0,0,0,0,0,1381,
311.2,233.7,0,0,0,0,0,1403,
316,234.3,0,0,0,0,0,1426,
319.7,234.8,0,0,0,0,0,1448,
325.1,235.5,0,0,0,0,0,1470,
329.6,236.1,0,0,0,0,0,1492,
333.6,236.8,0,0,0,0,0,1514,
338.4,237.5,0,0,0,0,0,1537,
343.2,238.1,0,0,0,0,0,1559,
348.1,238.8,0,0,0,0,0,1581,
352.6,239.4,0,0,0,0,0,1603,
356.9,240.1,0,0,0,0,0,1625,
362.1,240.7,0,0,0,0,0,1647,
366.4,241.4,0,0,0,0,0,1669,
371,242.2,0,0,0,0,0,1692,
375.6,242.9,0,0,0,0,0,1714,
380.2,243.6,0,0,0,0,0,1736,
385.1,244.3,0,0,0,0,0,1758,
389.7,245,0,0,0,0,0,1780,
394.1,245.8,0,0,0,0,0,1803,
398.2,246.6,0,0,0,0,0,1825,
404.3,247.3,0,0,0,0,0,1847,
408,248.1,0,0,0,0,0,1869,
413,248.9,0,0,0,0,0,1892,
417.7,249.7,0,0,0,0,0,1914,
421.5,250.5,0,0,0,0,0,1936,
425.6,253,0,0,0,0,0,1958,
431.1,252.1,0,0,0,0,0,1980,
435.8,253,0,0,0,0,0,2002,
440.2,253.8,0,0,0,0,0,2024,
444.7,254.6,0,0,0,0,0,2047,
449.1,255.6,0,0,0,0,0,2069,
454.4,256.5,0,0,0,0,0,2091,
458.5,257.4,0,0,0,0,0,2113,
463.3,258.4,0,0,0,0,0,2135,
468,259.4,0,0,0,0,0,2158,
472.5,260.4,0,0,0,0,0,2180,
477.6,261.3,0,0,0,0,0,2202,
481.1,262.2,0,0,0,0,0,2224,
485.9,263.3,0,0,0,0,0,2246,
489.5,264.2,0,0,0,0,0,2269,
494.3,265.2,0,0,0,0,0,2291,
498.2,266.2,0,0,0,0,0,2313,
502.7,267.1,0,0,0,0,0,2335,
506.6,268.1,0,0,0,0,0,2358,
510.6,269.1,0,0,0,0,0,2380,
514.2,270,0,0,0,0,0,2402,
518.1,271,0,0,0,0,0,2424,
522.6,272.1,0,0,0,0,0,2447,
527.2,273.1,0,0,0,0,0,2469,
531.1,274.2,0,0,0,0,0,2491,
535.1,275.4,0,0,0,0,0,2513,
541.2,276.8,0,0,0,0,0,2535,
546.1,278.2,0,0,0,0,0,2558,
550.3,279.7,0,0,0,0,0,2580,
555.2,281.2,0,0,0,0,0,2602,
560.1,282.9,0,0,0,0,0,2624,
564.4,284.7,0,0,0,0,0,2647,
569.7,286.6,0,0,0,0,0,2669,
574.6,288.8,0,0,0,0,0,2691,
578.9,290.7,0,0,0,0,0,2713,
583.3,292.8,0,0,0,0,0,2736,
588.5,294.9,0,0,0,0,0,2758,
593.8,285.5,0,0,0,0,0,2780,
597.5,189.4,0,0,0,0,0,2802,
603.1,83,0,0,0,0,0,2824,
609.1,-33.5,0,0,0,0,0,2847,
612.8,-100.9,0,0,0,0,0,2869,
616.6,-145.6,0,0,0,0,0,2891,
619.4,-165.5,0,0,0,0,0,2913,
621.6,-173,0,0,0,0,0,2935,
624.4,-177.2,0,0,0,0,0,2957,
625,-179.7,0,0,0,0,0,2979,
625.7,-181,0,0,0,0,0,3001,
626.6,-181.8,0,0,0,0,0,3023,
627.2,-182.3,0,0,0,0,0,3045,
628.2,-182.6,0,0,0,0,0,3067,
628.2,-182.9,0,0,0,0,0,3089,
628.8,-183.1,0,0,0,0,0,3111,
630.1,-183.2,0,0,0,0,0,3134,
629.8,-183.2,0,0,0,0,0,3156,
629.1,-182.9,0,0,0,0,0,3178,
628.2,-182.1,0,0,0,0,0,3200,
626.3,-179.8,0,0,0,0,0,3222,
625.4,-174.2,0,0,0,0,0,3244,
620.3,-160.2,0,0,0,0,0,3266,
617.5,-130.1,0,0,0,0,0,3288,
614.4,-100,0,0,0,0,0,3310,
611.3,-64,0,0,0,0,0,3332,
607.2,-7,0,0,0,0,0,3355,
604.1,69.6,0,0,0,0,0,3377,
600.3,140.8,0,0,0,0,0,3399,
596.3,216,0,0,0,0,0,3421,
592.2,314.7,0,0,0,0,0,3444,
587.6,313.7,0,0,0,0,0,3467,
583.9,311.9,0,0,0,0,0,3490,
579.2,310.9,0,0,0,0,0,3513,
575.5,309.9,0,0,0,0,0,3536,
571.5,308.8,0,0,0,0,0,3559,
566.6,307.5,0,0,0,0,0,3582,
562,306.6,0,0,0,0,0,3606,
556.5,305.9,0,0,0,0,0,3629,
552.5,305.3,0,0,0,0,0,3652,
547.9,304.8,0,0,0,0,0,3675,
542.7,304.1,0,0,0,0,0,3698,
538.4,303.6,0,0,0,0,0,3721,
534.8,302.9,0,0,0,0,0,3744,
