TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
28.3,-178.2,0,0,0,0,0,0,0
30.3,-178.5,0,0,0,0,0,26,0
36.8,-178.8,0,0,0,0,0,48,0
44,-179,0,0,0,0,0,70,0
50.5,-179.1,0,0,0,0,0,92,0
57.6,-179.2,0,0,0,0,0,115,0/1200
63,-179.4,0,0,0,0,0,137,0
68.2,-179.5,0,0,0,0,0,159,0
72.9,-179.6,0,0,0,0,0,182,0
77.7,-179.6,0,0,0,0,0,204,0
81.9,-179.8,0,0,0,0,0,226,0
85.8,-179.9,0,0,0,0,0,249,0
90,-179.9,0,0,0,0,0,271,0
93.7,-180,0,0,0,0,0,293,0
97.4,-180.1,0,0,0,0,0,316,0
101.6,-180.1,0,0,0,0,0,338,0
105,-180.1,0,0,0,0,0,360,0
109,-180.2,0,0,0,0,0,383,0
112.4,-180.2,0,0,0,0,0,405,0
116.9,-180.3,0,0,0,0,0,427,
120.9,-180.2,0,0,0,0,0,449,
125.4,-180.4,0,0,0,0,0,472,
129.4,-180.4,0,0,0,0,0,494,0
131.5,-180.4,0,0,0,0,0,516,0
136.9,-180.4,0,0,0,0,0,538,0
140.3,-180.4,0,0,0,0,0,560,0
144.9,-180.5,0,0,0,0,0,583,0
148.9,-180.5,0,0,0,0,0,605,0
153.2,-180.6,0,0,0,0,0,627,0
156.9,-180.6,0,0,0,0,0,649,0
161.5,-180.6,0,0,0,0,0,671,0
165.5,-180.6,0,0,0,0,0,694,0
170.1,-180.6,0,0,0,0,0,716,0
174.4,-180.6,0,0,0,0,0,738,0
178.7,-180.7,0,0,0,0,0,760,0
183.1,-180.7,0,0,0,0,0,783,0
186.9,-180.7,0,0,0,0,0,805,0
190.7,-180.7,0,0,0,0,0,827,0
195.5,-180.7,0,0,0,0,0,849,0
199.9,-180.7,0,0,0,0,0,872,0
204,-180.7,0,0,0,0,0,894,0
208.6,-180.8,0,0,0,0,0,916,0
213,-180.8,0,0,0,0,0,938,0
217.6,-180.8,0,0,0,0,0,961,0
221.5,-180.8,0,0,0,0,0,983,0
226.4,-180.8,0,0,0,0,0,1005,0
231.1,-180.8,0,0,0,0,0,1027,0
235.7,-180.8,0,0,0,0,0,1049,
240.1,-180.8,0,0,0,0,0,1072,
244.8,-180.8,0,0,0,0,0,1094,
249.2,-180.8,0,0,0,0,0,1116,
253.4,-180.8,0,0,0,0,0,1138,
258.9,-180.9,0,0,0,0,0,1161,
263.1,-180.9,0,0,0,0,0,1183,
268.4,-180.9,0,0,0,0,0,1205,
272.3,-180.9,0,0,0,0,0,1227,
277.3,-180.9,0,0,0,0,0,1249,
282,-180.9,0,0,0,0,0,1271,
286.8,-180.9,0,0,0,0,0,1293,
291.3,-180.9,0,0,0,0,0,1316,
295.7,-181,0,0,0,0,0,1338,
300.2,-181,0,0,0,0,0,1360,
304.2,-181,0,0,0,0,0,1382,
309.5,-181,0,0,0,0,0,1404,
313.5,-181.1,0,0,0,0,0,1427,
318.8,-181.1,0,0,0,0,0,1449,
323.4,-181.1,0,0,0,0,0,1471,
327.6,-181.1,0,0,0,0,0,1493,
332.7,-181.2,0,0,0,0,0,1515,
336.7,-181.2,0,0,0,0,0,1538,
341.2,-181.2,0,0,0,0,0,1560,
346.4,-181.3,0,0,0,0,0,1582,
348.9,-181.3,0,0,0,0,0,1604,
353.2,-181.3,0,0,0,0,0,1626,
356.9,-181.3,0,0,0,0,0,1649,
361.2,-181.4,0,0,0,0,0,1671,
365,-181.4,0,0,0,0,0,1693,
369.3,-181.4,0,0,0,0,0,1715,
374.2,-181.4,0,0,0,0,0,1737,
377.3,-181.5,0,0,0,0,0,1760,
381.9,-181.5,0,0,0,0,0,1782,
387.1,-181.6,0,0,0,0,0,1804,
391.8,-181.5,0,0,0,0,0,1826,
396.1,-181.6,0,0,0,0,0,1848,
401.3,-181.7,0,0,0,0,0,1871,
406.3,-181.7,0,0,0,0,0,1893,
410.7,-181.7,0,0,0,0,0,1915,
415.6,-181.8,0,0,0,0,0,1937,
419.7,-181.9,0,0,0,0,0,1959,
423.5,-181.9,0,0,0,0,0,1982,
427.6,-182,0,0,0,0,0,2004,
432,-182,0,0,0,0,0,2026,
435.8,-182,0,0,0,0,0,2048,
440.8,-182,0,0,0,0,0,2070,
444.7,-182.1,0,0,0,0,0,2093,
449.7,-182,0,0,0,0,0,2115,
454.4,-182.1,0,0,0,0,0,2137,
458.8,-182,0,0,0,0,0,2159,
463.3,-182,0,0,0,0,0,2181,
467.7,-182,0,0,0,0,0,2204,
472.8,-182.1,0,0,0,0,0,2226,
477.6,-182.1,0,0,0,0,0,2248,
482.6,-182.1,0,0,0,0,0,2270,
487.4,-182.1,0,0,0,0,0,2292,
491,-182.1,0,0,0,0,0,2315,
495.8,-182.1,0,0,0,0,0,2337,
500,-182,0,0,0,0,0,2359,
504.5,-182,0,0,0,0,0,2381,
509,-182,0,0,0,0,0,2404,
513.9,-182,0,0,0,0,0,2426,
517.8,-181.9,0,0,0,0,0,2448,
522.9,-182,0,0,0,0,0,2470,
527.8,-182.1,0,0,0,0,0,2492,
533,-182.1,0,0,0,0,0,2514,
537.8,-182.2,0,0,0,0,0,2537,
542.7,-182.2,0,0,0,0,0,2559,
546.1,-182.4,0,0,0,0,0,2581,
551,-182.6,0,0,0,0,0,2603,
555.2,-182.7,0,0,0,0,0,2626,
560.1,-182.9,0,0,0,0,0,2648,
564.4,-183.1,0,0,0,0,0,2670,
569.7,-183.4,0,0,0,0,0,2692,
573.7,-183.6,0,0,0,0,0,2714,
578.9,-183.8,0,0,0,0,0,2737,
583.9,-184,0,0,0,0,0,2759,
589.1,-184.1,0,0,0,0,0,2781,
593.8,-184.7,0,0,0,0,0,2803,
598.8,-185.2,0,0,0,0,0,2825,
603.8,-185.8,0,0,0,0,0,2847,
608.4,-186.1,0,0,0,0,0,2870,
613.4,-186.4,0,0,0,0,0,2892,
616.9,-186.5,0,0,0,0,0,2914,
618.8,-186.6,0,0,0,0,0,2936,
620.3,-186.8,0,0,0,0,0,2958,
622.2,-186.8,0,0,0,0,0,2980,
623.5,-186.8,0,0,0,0,0,3002,
624.4,-186.9,0,0,0,0,0,3024,
625.4,-186.8,0,0,0,0,0,3046,
625.7,-186.9,0,0,0,0,0,3068,
626.6,-186.9,0,0,0,0,0,3090,
626.6,-186.9,0,0,0,0,0,3112,
627.2,-187,0,0,0,0,0,3134,
627.2,-187,0,0,0,0,0,3156,
628.5,-186.9,0,0,0,0,0,3178,
628.8,-187,0,0,0,0,0,3200,
627.9,-186.9,0,0,0,0,0,3222,
626.9,-186.9,0,0,0,0,0,3244,
624.4,-186.8,0,0,0,0,0,3266,
622.2,-186.7,0,0,0,0,0,3288,
618.5,-186.5,0,0,0,0,0,3311,
615.9,-186.4,0,0,0,0,0,3333,
611.9,-186.1,0,0,0,0,0,3355,
608.4,-185.9,0,0,0,0,0,3377,
605.6,-185.5,0,0,0,0,0,3399,
601.3,-185.2,0,0,0,0,0,3421,
598.5,-184.8,0,0,0,0,0,3443,
594.1,-184.3,0,0,0,0,0,3465,
590.1,-183.7,0,0,0,0,0,3487,
586,-183.5,0,0,0,0,0,3509,
583.3,-183.4,0,0,0,0,0,3531,
578.6,-183.1,0,0,0,0,0,3554,
574.9,-182.9,0,0,0,0,0,3576,
570.3,-182.7,0,0,0,0,0,3598,
566.6,-182.4,0,0,0,0,0,3620,
562,-182.1,0,0,0,0,0,3642,
558.3,-181.8,0,0,0,0,0,3664,
553.7,-181.6,0,0,0,0,0,3686,
549.4,-181.4,0,0,0,0,0,3708,
545.8,-181.4,0,0,0,0,0,3730,
541.2,-181.3,0,0,0,0,0,3752,
536.6,-181.2,0,0,0,0,0,3775,
533,-181.1,0,0,0,0,0,3797,
528.1,-181,0,0,0,0,0,3819,
523.9,-180.9,0,0,0,0,0,3841,
519.6,-180.9,0,0,0,0,0,3863,
516,-180.8,0,0,0,0,0,3885,
511.5,-180.7,0,0,0,0,0,3907,
506.3,-180.7,0,0,0,0,0,3929,
502.7,-180.6,0,0,0,0,0,3951,
497.9,-180.6,0,0,0,0,0,3973,
494,-180.5,0,0,0,0,0,3996,
489.5,-180.4,0,0,0,0,0,4018,
484.7,-180.4,0,0,0,0,0,4040,
480,-180.3,0,0,0,0,0,4062,
476.1,-180.3,0,0,0,0,0,4084,
471.3,-180.2,0,0,0,0,0,4107,
467.4,-180.1,0,0,0,0,0,4129,
462.7,-180.1,0,0,0,0,0,4151,
458.2,-180,0,0,0,0,0,4173,
453.5,-180.1,0,0,0,0,0,4195,
449.1,-180,0,0,0,0,0,4217,
445,-179.9,0,0,0,0,0,4239,
440.2,-179.9,0,0,0,0,0,4261,
435.8,-179.8,0,0,0,0,0,4283,
431.7,-179.8,0,0,0,0,0,4305,
427,-179.7,0,0,0,0,0,4327,
421.2,-179.8,0,0,0,0,0,4349,
418,-179.6,0,0,0,0,0,4372,
413,-179.7,0,0,0,0,0,4394,
409.2,-179.7,0,0,0,0,0,4416,
404.5,-179.6,0,0,0,0,0,4438,
399.3,-179.6,0,0,0,0,0,4460,
395,-179.5,0,0,0,0,0,4482,
390.6,-179.5,0,0,0,0,0,4504,
384.5,-179.5,0,0,0,0,0,4526,
381.1,-179.4,0,0,0,0,0,4548,
376.2,-179.5,0,0,0,0,0,4570,
371.6,-179.4,0,0,0,0,0,4593,
367.5,-179.4,0,0,0,0,0,4615,
362.7,-179.4,0,0,0,0,0,4637,
358.1,-179.3,0,0,0,0,0,4659,
353.2,-179.4,0,0,0,0,0,4681,
348.7,-179.3,0,0,0,0,0,4703,
344.1,-179.2,0,0,0,0,0,4725,
339,-179.2,0,0,0,0,0,4748,
334.4,-179.2,0,0,0,0,0,4770,
329,-179.2,0,0,0,0,0,4792,
325.1,-179.2,0,0,0,0,0,4814,
320.2,-179.1,0,0,0,0,0,4836,
315.7,-179.1,0,0,0,0,0,4858,
310.4,-179.1,0,0,0,0,0,4880,
306.1,-179.1,0,0,0,0,0,4903,
300.8,-179.1,0,0,0,0,0,4925,
296.9,-179,0,0,0,0,0,4947,
292.4,-179,0,0,0,0,0,4969,
287.6,-178.9,0,0,0,0,0,4991,
283.1,-178.9,0,0,0,0,0,5013,
278.7,-178.9,0,0,0,0,0,5035,
273.9,-178.9,0,0,0,0,0,5058,
269.2,-178.8,0,0,0,0,0,5080,
264.5,-178.8,0,0,0,0,0,5102,
259.5,-178.7,0,0,0,0,0,5124,
254.5,-178.7,0,0,0,0,0,5146,
250.3,-178.7,0,0,0,0,0,5169,
244.8,-178.6,0,0,0,0,0,5191,
240.4,-178.6,0,0,0,0,0,5213,
236,-178.6,0,0,0,0,0,5235,
231.6,-178.6,0,0,0,0,0,5258,
226.9,-178.5,0,0,0,0,0,5280,
222.3,-178.5,0,0,0,0,0,5302,
217.9,-178.4,0,0,0,0,0,5324,
213,-178.4,0,0,0,0,0,5347,
209.7,-178.3,0,0,0,0,0,5369,
204.2,-178.3,0,0,0,0,0,5391,
199.6,-178.3,0,0,0,0,0,5413,
195.3,-178.2,0,0,0,0,0,5435,
191.2,-178.2,0,0,0,0,0,5457,
186.3,-178.1,0,0,0,0,0,5480,
181.7,-178.2,0,0,0,0,0,5502,
177.7,-178.1,0,0,0,0,0,5524,
173.3,-178.1,0,0,0,0,0,5547,
169.8,-178,0,0,0,0,0,5569,
166.3,-178,0,0,0,0,0,5591,
162.6,-177.9,0,0,0,0,0,5613,
158.5,-177.9,0,0,0,0,0,5636,
154.8,-177.9,0,0,0,0,0,5658,
151.8,-177.9,0,0,0,0,0,5680,
148.6,-177.8,0,0,0,0,0,5702,
145.9,-177.7,0,0,0,0,0,5724,
141.7,-177.7,0,0,0,0,0,5746,
138.5,-177.7,0,0,0,0,0,5769,
135.3,-177.6,0,0,0,0,0,5791,
131.3,-177.6,0,0,0,0,0,5813,
127.3,-177.5,0,0,0,0,0,5835,
124.1,-177.5,0,0,0,0,0,5858,
120.6,-177.4,0,0,0,0,0,5880,
116.7,-177.4,0,0,0,0,0,5902,
113.2,-177.4,0,0,0,0,0,5924,
109.2,-177.3,0,0,0,0,0,5947,
105.3,-177.4,0,0,0,0,0,5969,
102.1,-177.3,0,0,0,0,0,5991,
98.9,-177.3,0,0,0,0,0,6013,
95,-177.2,0,0,0,0,0,6035,
91.6,-177.2,0,0,0,0,0,6058,
87.6,-177.2,0,0,0,0,0,6080,
84.5,-176.9,0,0,0,0,0,6102,
81.9,-177.1,0,0,0,0,0,6124,
78.4,-177.1,0,0,0,0,0,6146,
75,-177,0,0,0,0,0,6168,
71.6,-177,0,0,0,0,0,6190,
68.8,-177.1,0,0,0,0,0,6212,
65.6,-177.2,0,0,0,0,0,6234,
63.3,-177,0,0,0,0,0,6256,
60.2,-177.1,0,0,0,0,0,6278,
58.1,-177,0,0,0,0,0,6300,
55.2,-177.2,0,0,0,0,0,6322,
52.9,-177,0,0,0,0,0,6345,
51.1,-176.9,0,0,0,0,0,6367,
48.7,-176.8,0,0,0,0,0,6388,
47.2,-177.1,0,0,0,0,0,6411,
44.6,-176.7,0,0,0,0,0,6433,
43,-176.6,0,0,0,0,0,6455,
41.5,-176.6,0,0,0,0,0,6477,
39.9,-176.9,0,0,0,0,0,6499,
