TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
30.3,-2,0,0,0,0,0,0,0
31.9,-2.3,0,0,0,0,0,26,0
38.1,-2.4,0,0,0,0,0,48,0
45.3,-2.1,0,0,0,0,0,70,0
53.1,-2,0,0,0,0,0,92,0
59.6,-2,0,0,0,0,0,114,0/1200
65.9,-1.9,0,0,0,0,0,136,0
71.6,-1.8,0,0,0,0,0,159,0
76.9,-1.7,0,0,0,0,0,181,0
81.9,-1.5,0,0,0,0,0,203,0
86.6,-1.5,0,0,0,0,0,225,0
91.3,-1.4,0,0,0,0,0,247,0
96,-1.4,0,0,0,0,0,269,0
100.3,-1.3,0,0,0,0,0,291,0
104.8,-1.3,0,0,0,0,0,314,0
109.2,-1.2,0,0,0,0,0,336,0
112.7,-1.1,0,0,0,0,0,358,0
117.2,-1,0,0,0,0,0,381,0
122,-1,0,0,0,0,0,403,0
125.9,-0.8,0,0,0,0,0,425,
131.8,-0.7,0,0,0,0,0,447,
134.5,-0.7,0,0,0,0,0,470,
139,-0.6,0,0,0,0,0,492,0
143.5,-0.5,0,0,0,0,0,514,0
148.1,-0.4,0,0,0,0,0,536,0
151.8,-0.3,0,0,0,0,0,558,0
156.4,-0.3,0,0,0,0,0,580,0
160.7,-0.2,0,0,0,0,0,602,0
165,-0.1,0,0,0,0,0,625,0
169.3,0,0,0,0,0,0,647,0
173.3,0.1,0,0,0,0,0,669,0
178.5,0.1,0,0,0,0,0,691,0
182.8,0.3,0,0,0,0,0,714,0
187.9,0.4,0,0,0,0,0,736,0
192,0.6,0,0,0,0,0,758,0
196.6,0.7,0,0,0,0,0,780,0
201.8,0.9,0,0,0,0,0,802,0
206.2,1,0,0,0,0,0,824,0
210.5,1.2,0,0,0,0,0,847,0
215.7,1.5,0,0,0,0,0,869,0
219.8,1.7,0,0,0,0,0,891,0
223.9,1.9,0,0,0,0,0,913,0
229.4,2,0,0,0,0,0,935,0
234.4,2.2,0,0,0,0,0,957,0
238.8,2.5,0,0,0,0,0,980,0
243.4,2.7,0,0,0,0,0,1002,0
248.1,2.9,0,0,0,0,0,1024,0
252.8,3.1,0,0,0,0,0,1046,
257.8,3.3,0,0,0,0,0,1068,
262.3,3.5,0,0,0,0,0,1090,
266.7,3.7,0,0,0,0,0,1113,
271.4,3.9,0,0,0,0,0,1135,
276.7,4.1,0,0,0,0,0,1157,
280.6,4.3,0,0,0,0,0,1179,
285.1,4.5,0,0,0,0,0,1202,
290.1,4.8,0,0,0,0,0,1224,
294.6,5,0,0,0,0,0,1246,
299.1,5.2,0,0,0,0,0,1268,
304.7,5.4,0,0,0,0,0,1291,
308.7,5.6,0,0,0,0,0,1313,
314,5.8,0,0,0,0,0,1335,
318.8,6,0,0,0,0,0,1357,
323.9,6.2,0,0,0,0,0,1380,
328.5,6.4,0,0,0,0,0,1402,
333.3,6.6,0,0,0,0,0,1424,
337.8,6.9,0,0,0,0,0,1446,
342.7,7.2,0,0,0,0,0,1469,
347.8,7.4,0,0,0,0,0,1491,
352.4,7.8,0,0,0,0,0,1513,
357.2,8,0,0,0,0,0,1535,
362.7,8.2,0,0,0,0,0,1558,
367,8.6,0,0,0,0,0,1580,
371.9,8.9,0,0,0,0,0,1603,
376.2,9.2,0,0,0,0,0,1625,
380.5,9.5,0,0,0,0,0,1647,
385.7,9.8,0,0,0,0,0,1669,
390.3,10.2,0,0,0,0,0,1692,
394.7,10.5,0,0,0,0,0,1714,
399.6,10.8,0,0,0,0,0,1737,
404.3,11.1,0,0,0,0,0,1759,
409.8,11.5,0,0,0,0,0,1781,
414.4,11.8,0,0,0,0,0,1804,
419.1,12.2,0,0,0,0,0,1826,
424.1,12.5,0,0,0,0,0,1848,
428.8,12.8,0,0,0,0,0,1871,
433.8,13.2,0,0,0,0,0,1893,
438.5,13.6,0,0,0,0,0,1916,
443.5,13.9,0,0,0,0,0,1938,
448.2,14.4,0,0,0,0,0,1960,
453.5,14.8,0,0,0,0,0,1983,
458.2,15.2,0,0,0,0,0,2005,
463.3,15.7,0,0,0,0,0,2027,
468.6,16.2,0,0,0,0,0,2050,
473.1,16.6,0,0,0,0,0,2072,
478.2,17.2,0,0,0,0,0,2094,
483.2,17.6,0,0,0,0,0,2116,
488,18.2,0,0,0,0,0,2139,
492.5,18.7,0,0,0,0,0,2161,
497.3,19.2,0,0,0,0,0,2183,
501.2,19.7,0,0,0,0,0,2206,
506,20.2,0,0,0,0,0,2228,
511.2,20.8,0,0,0,0,0,2250,
516.3,21.3,0,0,0,0,0,2273,
520.8,21.9,0,0,0,0,0,2295,
524.8,22.5,0,0,0,0,0,2317,
530.8,23.1,0,0,0,0,0,2339,
535.7,23.6,0,0,0,0,0,2361,
540.3,24.2,0,0,0,0,0,2383,
544.8,24.8,0,0,0,0,0,2406,
549.7,25.4,0,0,0,0,0,2428,
553.7,26,0,0,0,0,0,2450,
558.6,26.7,0,0,0,0,0,2472,
563.2,27.4,0,0,0,0,0,2495,
567.8,28.2,0,0,0,0,0,2517,
571.8,28.9,0,0,0,0,0,2539,
577.4,29.8,0,0,0,0,0,2561,
582.6,30.6,0,0,0,0,0,2583,
585.7,31.6,0,0,0,0,0,2606,
590.1,32.5,0,0,0,0,0,2628,
594.1,33.1,0,0,0,0,0,2650,
598.5,19.8,0,0,0,0,0,2672,
602.8,-25.3,0,0,0,0,0,2694,
606.3,-42.5,0,0,0,0,0,2716,
611.9,-68,0,0,0,0,0,2739,
615.3,-74.6,0,0,0,0,0,2761,
617.8,-78.5,0,0,0,0,0,2783,
619.7,-83.2,0,0,0,0,0,2805,
621.9,-89.2,0,0,0,0,0,2827,
623.5,-91.6,0,0,0,0,0,2849,
625.4,-92.8,0,0,0,0,0,2871,
625.7,-93.6,0,0,0,0,0,2893,
626.9,-94,0,0,0,0,0,2915,
627.2,-94.4,0,0,0,0,0,2937,
627.9,-94.6,0,0,0,0,0,2959,
628.5,-94.7,0,0,0,0,0,2981,
629.1,-94.6,0,0,0,0,0,3003,
628.8,-94.9,0,0,0,0,0,3025,
628.8,-94.8,0,0,0,0,0,3047,
627.9,-93.9,0,0,0,0,0,3069,
625.4,-92.1,0,0,0,0,0,3091,
623.2,-88.5,0,0,0,0,0,3113,
619.7,-81.9,0,0,0,0,0,3135,
616.3,-73.2,0,0,0,0,0,3157,
613.1,-67.6,0,0,0,0,0,3179,
609.1,-49.9,0,0,0,0,0,3202,
606.3,-32.1,0,0,0,0,0,3224,
601.9,-17.8,0,0,0,0,0,3246,
597.8,17.3,0,0,0,0,0,3268,
594.1,46.2,0,0,0,0,0,3290,
590.1,46.7,0,0,0,0,0,3312,
585.7,46.3,0,0,0,0,0,3334,
582,45.8,0,0,0,0,0,3356,
578,45.5,0,0,0,0,0,3378,
573.4,45.1,0,0,0,0,0,3400,
569.7,44.8,0,0,0,0,0,3423,
565.1,44.5,0,0,0,0,0,3445,
560.5,44.3,0,0,0,0,0,3467,
556.5,44.2,0,0,0,0,0,3489,
551.6,44.1,0,0,0,0,0,3511,
547,44,0,0,0,0,0,3533,
542.7,43.8,0,0,0,0,0,3555,
539,43.9,0,0,0,0,0,3577,
534.2,43.8,0,0,0,0,0,3600,
529.6,43.7,0,0,0,0,0,3622,
525.1,43.6,0,0,0,0,0,3644,
520.8,43.5,0,0,0,0,0,3666,
516,43.5,0,0,0,0,0,3688,
511.8,43.2,0,0,0,0,0,3710,
507.2,42.9,0,0,0,0,0,3732,
502.4,42.8,0,0,0,0,0,3755,
497.3,42.6,0,0,0,0,0,3777,
492.5,42.4,0,0,0,0,0,3799,
486.5,42.2,0,0,0,0,0,3821,
482.9,42.1,0,0,0,0,0,3843,
477.6,41.8,0,0,0,0,0,3866,
473.1,41.5,0,0,0,0,0,3888,
468.3,41.3,0,0,0,0,0,3910,
463.3,41.2,0,0,0,0,0,3932,
458.2,41.1,0,0,0,0,0,3954,
453.5,40.8,0,0,0,0,0,3976,
448.5,40.6,0,0,0,0,0,3999,
444.1,40.3,0,0,0,0,0,4021,
438.8,40,0,0,0,0,0,4043,
434.4,40,0,0,0,0,0,4065,
430,39.6,0,0,0,0,0,4087,
425.3,39.4,0,0,0,0,0,4109,
420.9,39.3,0,0,0,0,0,4132,
415.9,39,0,0,0,0,0,4154,
410.1,38.8,0,0,0,0,0,4176,
406.3,38.6,0,0,0,0,0,4198,
401.6,38.4,0,0,0,0,0,4220,
397,38.2,0,0,0,0,0,4242,
392.1,38,0,0,0,0,0,4265,
387.7,37.7,0,0,0,0,0,4287,
382.5,37.5,0,0,0,0,0,4309,
377.9,37.4,0,0,0,0,0,4331,
373,37.1,0,0,0,0,0,4354,
367.8,36.9,0,0,0,0,0,4376,
363.5,36.7,0,0,0,0,0,4398,
358.1,36.5,0,0,0,0,0,4420,
352.6,36.3,0,0,0,0,0,4442,
347.8,36.1,0,0,0,0,0,4465,
342.9,35.9,0,0,0,0,0,4487,
338.4,35.6,0,0,0,0,0,4509,
333,35.5,0,0,0,0,0,4532,
328.2,35.3,0,0,0,0,0,4554,
323.6,35.2,0,0,0,0,0,4576,
318.8,35,0,0,0,0,0,4598,
313.5,34.9,0,0,0,0,0,4621,
309.5,34.7,0,0,0,0,0,4643,
305,34.6,0,0,0,0,0,4665,
299.4,34.4,0,0,0,0,0,4688,
294.6,34.2,0,0,0,0,0,4710,
290.1,34,0,0,0,0,0,4732,
285.4,33.9,0,0,0,0,0,4754,
280.6,33.7,0,0,0,0,0,4777,
275.6,33.6,0,0,0,0,0,4799,
271.2,33.4,0,0,0,0,0,4821,
266.1,33.2,0,0,0,0,0,4843,
261.4,33.1,0,0,0,0,0,4866,
256.2,33.1,0,0,0,0,0,4888,
251.5,32.8,0,0,0,0,0,4910,
247,32.8,0,0,0,0,0,4932,
242.1,32.6,0,0,0,0,0,4954,
236.3,32.6,0,0,0,0,0,4976,
231.9,32.4,0,0,0,0,0,4999,
227.5,32.2,0,0,0,0,0,5021,
222.6,32.1,0,0,0,0,0,5043,
217.6,31.9,0,0,0,0,0,5065,
213,31.8,0,0,0,0,0,5087,
208.6,31.7,0,0,0,0,0,5110,
204,31.6,0,0,0,0,0,5132,
199.3,31.6,0,0,0,0,0,5154,
194.7,31.4,0,0,0,0,0,5176,
190.4,31.2,0,0,0,0,0,5198,
185.8,31.2,0,0,0,0,0,5220,
181.4,31.1,0,0,0,0,0,5243,
176.9,31.1,0,0,0,0,0,5265,
172.5,30.9,0,0,0,0,0,5287,
168.2,30.8,0,0,0,0,0,5309,
163.6,30.8,0,0,0,0,0,5331,
159.9,30.7,0,0,0,0,0,5353,
155.6,30.6,0,0,0,0,0,5376,
