TEMP,TSUSC,CSUSC,NSUSC,BULKS,FERRT,FERRB,TIME,NONAME
30.3,-141.2,-141.2,1.096,0,0,0,0,0
31.6,-141.4,-141.4,1.098,0,0,0,26,0
37.6,-141.4,-141.4,1.098,0,0,0,48,0
45.3,-141.5,-141.5,1.099,0,0,0,70,0
52.9,-141.5,-141.5,1.099,0,0,0,92,2
59.1,-141.6,-141.6,1.099,0,0,0,114,0/1200
65.6,-141.6,-141.6,1.099,0,0,0,136,0
71.4,-141.7,-141.7,1.1,0,0,0,158,0
76.4,-141.7,-141.7,1.1,0,0,0,181,0
80.8,-141.7,-141.7,1.1,0,0,0,203,0
86.3,-141.8,-141.8,1.101,0,0,0,225,0
90.8,-141.8,-141.8,1.101,0,0,0,247,0
95,-141.8,-141.8,1.101,0,0,0,270,0
99.7,-141.8,-141.8,1.101,0,0,0,292,0
104.5,-141.8,-141.8,1.101,0,0,0,314,0
108.5,-141.8,-141.8,1.101,0,0,0,336,0
112.4,-141.8,-141.8,1.101,0,0,0,358,0
116.9,-141.8,-141.8,1.101,0,0,0,380,0
121.2,-141.9,-141.9,1.102,0,0,0,403,0
125.7,-141.9,-141.9,1.102,0,0,0,425,
129.7,-141.9,-141.9,1.102,0,0,0,447,
135.3,-141.8,-141.8,1.101,0,0,0,469,
138.7,-141.9,-141.9,1.102,0,0,0,492,-6.81
143.3,-141.9,-141.9,1.102,0,0,0,514,-8.231
147.3,-141.8,-141.8,1.101,0,0,0,536,-7
151.6,-141.9,-141.9,1.102,0,0,0,558,1
155.6,-141.8,-141.8,1.101,0,0,0,581,40
159.9,-141.8,-141.8,1.101,0,0,0,603,45
164.5,-141.8,-141.8,1.101,0,0,0,625,0
169.8,-141.7,-141.7,1.1,0,0,0,648,0
173.9,-141.7,-141.7,1.1,0,0,0,670,0
178.5,-141.6,-141.6,1.099,0,0,0,692,0
183.1,-141.7,-141.7,1.1,0,0,0,714,0
187.4,-141.7,-141.7,1.1,0,0,0,736,0
192,-141.7,-141.7,1.1,0,0,0,759,0
196.4,-141.7,-141.7,1.1,0,0,0,781,0
201,-141.6,-141.6,1.099,0,0,0,803,0
205.6,-141.7,-141.7,1.1,0,0,0,826,0
210.5,-141.6,-141.6,1.099,0,0,0,848,0
