Field,Moment,MomentParasub
999.3631,0.001207221,8.56467E-05
994.5658,0.001203215,8.70245E-05
989.5082,0.001196516,8.60017E-05
984.5098,0.001193726,8.88218E-05
979.5003,0.001186011,8.67289E-05
974.5239,0.001181159,8.74616E-05
969.5207,0.001174139,8.6057E-05
964.5068,0.001168812,8.63568E-05
959.527,0.001161808,8.49416E-05
954.5375,0.001157087,8.58197E-05
949.5161,0.001151915,8.6284E-05
944.5322,0.001144383,8.43453E-05
939.5536,0.001140776,8.63249E-05
934.5891,0.001135377,8.64978E-05
929.6019,0.00112963,8.63476E-05
924.62,0.001124037,8.63466E-05
919.5819,0.001117372,8.5335E-05
914.5803,0.001112093,8.56698E-05
909.5978,0.001106931,8.60991E-05
904.5725,0.001100734,8.5542E-05
899.5753,0.00109556,8.59764E-05
894.5904,0.001090952,8.69626E-05
889.5636,0.00108458,8.62329E-05
884.5595,0.001079626,8.68947E-05
879.5763,0.001073981,8.6842E-05
874.5895,0.001067791,8.62486E-05
869.6027,0.001061715,8.57695E-05
864.6045,0.001057536,8.72002E-05
859.5977,0.001050538,8.58206E-05
854.5803,0.001046295,8.72084E-05
849.5929,0.001040556,8.70672E-05
844.6009,0.001035439,8.75524E-05
839.5806,0.001028904,8.66516E-05
834.5913,0.001024078,8.74249E-05
829.6043,0.001017308,8.62522E-05
824.5744,0.001011961,8.655E-05
819.5874,0.001007653,8.78392E-05
814.5878,0.001001422,8.72193E-05
809.6166,0.000995962,8.73378E-05
804.6299,0.000990831,8.78032E-05
799.6467,0.000984027,8.65923E-05
794.6159,0.00097942,8.76309E-05
789.623,0.000973747,8.7562E-05
784.6408,0.000968765,8.81714E-05
779.6256,0.000963271,8.83053E-05
774.6344,0.000956999,8.7635E-05
769.6517,0.000951241,8.74693E-05
764.6237,0.000945246,8.71174E-05
759.6271,0.000939584,8.70631E-05
754.6479,0.000934377,8.74443E-05
749.6707,0.000929288,8.79408E-05
744.6919,0.000923626,8.78666E-05
739.712,0.000918284,8.81134E-05
734.7091,0.000911209,8.66527E-05
729.7014,0.000905303,8.63669E-05
724.7199,0.000900143,8.67977E-05
719.7298,0.00089547,8.77253E-05
714.71,0.000889289,8.71777E-05
709.7262,0.000884245,8.77269E-05
704.7324,0.000877805,8.68913E-05
699.7038,0.000872817,8.75467E-05
694.7206,0.000867359,8.76817E-05
689.7407,0.000861074,8.69852E-05
684.7684,0.000855455,8.69467E-05
679.7841,0.000850299,8.73852E-05
674.8001,0.000844013,8.66927E-05
669.7717,0.000839003,8.73259E-05
664.7816,0.00083371,8.76331E-05
659.7938,0.000827954,8.7475E-05
654.7753,0.000822358,8.75112E-05
649.7836,0.000816269,8.70243E-05
644.7969,0.00080996,8.63116E-05
639.7818,0.000805088,8.70676E-05
634.7731,0.000799719,8.732E-05
629.7886,0.000794944,8.8139E-05
624.8078,0.00078812,8.69055E-05
619.8171,0.000782401,8.67872E-05
614.8287,0.000776497,8.64819E-05
609.8092,0.000770286,8.5904E-05
604.7939,0.000764426,8.56723E-05
599.8066,0.000759995,8.68388E-05
594.8086,0.000754571,8.70238E-05
589.7954,0.000749762,8.78414E-05
584.8017,0.000741451,8.51346E-05
579.8098,0.000737524,8.68103E-05
574.7831,0.000731836,8.6763E-05
569.8003,0.000726256,8.67752E-05
564.8179,0.00071994,8.60511E-05
559.84,0.000714988,8.66857E-05
554.8481,0.000708789,8.60889E-05
549.8657,0.000703459,8.63504E-05
544.8306,0.000696648,8.51905E-05
539.8409,0.000692835,8.6977E-05
534.8558,0.00068569,8.54271E-05
529.8368,0.000681102,8.64724E-05
524.844,0.000676201,8.71745E-05
519.8562,0.000669834,8.64051E-05
514.8401,0.000664691,8.68915E-05
509.8266,0.000657855,8.56824E-05
504.8353,0.000652007,8.54355E-05
499.8571,0.000646667,8.56827E-05
494.8788,0.000641311,8.59143E-05
489.8941,0.000634882,8.50791E-05
484.8911,0.000629374,8.51865E-05
479.8695,0.000623572,8.50193E-05
474.885,0.000617324,8.43655E-05
469.8884,0.000611801,8.44509E-05
464.8722,0.000606248,8.45274E-05
459.885,0.00060124,8.51158E-05
454.8852,0.000594615,8.41021E-05
449.8526,0.000590133,8.52679E-05
444.8675,0.000584355,8.50849E-05
439.8852,0.00057773,8.40519E-05
434.9209,0.000573422,8.53147E-05
429.9277,0.000567865,8.53621E-05
424.9405,0.000561509,8.46025E-05
419.9125,0.000555348,8.40852E-05
414.9211,0.000550204,8.4543E-05
409.9318,0.000544087,8.40254E-05
404.8864,0.000538355,8.39553E-05
399.8872,0.000531947,8.31583E-05
394.9004,0.000526713,8.3521E-05
389.8796,0.000520431,8.28736E-05
384.8778,0.000514414,8.247E-05
379.8882,0.000509159,8.2815E-05
374.9005,0.000504061,8.33145E-05
369.9128,0.000498284,8.31351E-05
364.925,0.000490462,8.09112E-05
359.9224,0.000487616,8.36792E-05
354.8951,0.00048008,8.17851E-05
349.9061,0.000474576,8.18801E-05
344.9124,0.000470186,8.30947E-05
339.8926,0.000462338,8.08807E-05
334.9054,0.000458085,8.22244E-05
329.9126,0.000452051,8.17937E-05
324.8791,0.000446937,8.23289E-05
319.8973,0.000440539,8.15219E-05
314.912,0.000434427,8.10046E-05
309.945,0.000428409,8.05612E-05
304.9489,0.000424309,8.20681E-05
299.9548,0.000415737,7.91014E-05
294.9236,0.00041109,8.01002E-05
289.927,0.000406812,8.14301E-05
284.9429,0.000400499,8.07109E-05
279.9242,0.000390987,7.68307E-05
274.9256,0.00038801,7.94644E-05
269.9403,0.00037989,7.69387E-05
264.9231,0.000375637,7.83164E-05
259.9171,0.000369853,7.81512E-05
254.9339,0.000363975,7.78652E-05
249.9442,0.000359129,7.86194E-05
244.9611,0.000350953,7.60356E-05
239.9716,0.000345722,7.64047E-05
234.9676,0.000340138,7.64363E-05
229.9526,0.000332674,7.46006E-05
224.9623,0.000327348,7.4875E-05
219.9645,0.000321193,7.43295E-05
214.9491,0.00031586,7.46255E-05
209.9636,0.000309388,7.3748E-05
204.9718,0.000307091,7.7053E-05
199.9346,0.00029847,7.40851E-05
194.945,0.000292385,7.36E-05
189.9614,0.000287354,7.41621E-05
184.9908,0.000282249,7.46364E-05
180.0047,0.000276278,7.42603E-05
175.0146,0.000266315,6.98981E-05
169.9807,0.000259907,6.91391E-05
164.9897,0.000253788,6.86218E-05
160.0039,0.000249126,6.95551E-05
154.9885,0.000241179,6.72367E-05
149.9828,0.000236703,6.83787E-05
144.9936,0.000230298,6.7573E-05
139.9777,0.000221336,6.42401E-05
134.9675,0.000218447,6.69743E-05
129.9864,0.000211081,6.51984E-05
124.9968,0.000206452,6.6169E-05
120.0069,0.000199229,6.4547E-05
115.0227,0.000192864,6.3775E-05
110.0152,0.000186214,6.27455E-05
105.0006,0.000178487,6.06465E-05
100.0048,0.000170569,5.83349E-05
95.00466,0.000165999,5.93768E-05
89.98275,0.000165199,6.42119E-05
84.995,0.000153157,5.77683E-05
80.00243,0.000146771,5.69853E-05
74.97123,0.000138421,5.42816E-05
69.98219,0.000132007,5.3467E-05
64.99675,0.000120517,4.75723E-05
60.03103,0.000116012,4.864E-05
55.04191,0.000108309,4.65358E-05
