Field,Moment,FieldParasub,MomentParasub
-4.92E-05,-5.29E-08,-4.92E-05,-5.27E-08
3.02E-03,-3.91E-08,3.02E-03,-5.31E-08
6.04E-03,-2.27E-08,6.04E-03,-5.07E-08
9.03E-03,-6.77E-09,9.03E-03,-4.87E-08
1.20E-02,6.58E-09,1.20E-02,-4.93E-08
1.50E-02,2.12E-08,1.50E-02,-4.86E-08
1.80E-02,3.45E-08,1.80E-02,-4.92E-08
2.10E-02,5.06E-08,2.10E-02,-4.71E-08
2.40E-02,6.37E-08,2.40E-02,-4.78E-08
2.71E-02,7.99E-08,2.71E-02,-4.57E-08
3.00E-02,9.43E-08,3.00E-02,-4.51E-08
3.31E-02,1.08E-07,3.31E-02,-4.53E-08
3.60E-02,1.23E-07,3.60E-02,-4.38E-08
3.91E-02,1.36E-07,3.91E-02,-4.49E-08
4.20E-02,1.52E-07,4.20E-02,-4.33E-08
4.51E-02,1.70E-07,4.51E-02,-3.90E-08
4.81E-02,1.87E-07,4.81E-02,-3.65E-08
5.11E-02,1.94E-07,5.11E-02,-4.34E-08
5.41E-02,2.07E-07,5.41E-02,-4.38E-08
5.71E-02,2.29E-07,5.71E-02,-3.60E-08
6.01E-02,2.36E-07,6.01E-02,-4.28E-08
6.31E-02,2.53E-07,6.31E-02,-3.93E-08
6.61E-02,2.74E-07,6.61E-02,-3.31E-08
6.91E-02,2.84E-07,6.91E-02,-3.63E-08
7.21E-02,3.02E-07,7.21E-02,-3.25E-08
7.51E-02,3.17E-07,7.51E-02,-3.16E-08
7.81E-02,3.37E-07,7.81E-02,-2.53E-08
8.11E-02,3.35E-07,8.11E-02,-4.13E-08
8.41E-02,3.58E-07,8.41E-02,-3.23E-08
8.71E-02,3.66E-07,8.71E-02,-3.80E-08
9.01E-02,3.78E-07,9.01E-02,-3.98E-08
9.31E-02,4.03E-07,9.31E-02,-2.89E-08
9.61E-02,4.14E-07,9.61E-02,-3.17E-08
9.91E-02,4.21E-07,9.91E-02,-3.88E-08
1.02E-01,4.42E-07,1.02E-01,-3.18E-08
1.05E-01,4.51E-07,1.05E-01,-3.67E-08
1.08E-01,4.69E-07,1.08E-01,-3.25E-08
1.11E-01,4.91E-07,1.11E-01,-2.46E-08
1.14E-01,4.97E-07,1.14E-01,-3.26E-08
1.17E-01,5.21E-07,1.17E-01,-2.31E-08
1.20E-01,5.41E-07,1.20E-01,-1.65E-08
1.23E-01,5.42E-07,1.23E-01,-2.96E-08
1.26E-01,5.51E-07,1.26E-01,-3.44E-08
1.29E-01,5.66E-07,1.29E-01,-3.34E-08
1.32E-01,5.85E-07,1.32E-01,-2.89E-08
1.35E-01,5.94E-07,1.35E-01,-3.38E-08
1.38E-01,6.21E-07,1.38E-01,-2.06E-08
1.41E-01,6.37E-07,1.41E-01,-1.86E-08
1.44E-01,6.36E-07,1.44E-01,-3.36E-08
1.47E-01,6.65E-07,1.47E-01,-1.86E-08
1.50E-01,6.60E-07,1.50E-01,-3.69E-08
1.53E-01,6.80E-07,1.53E-01,-3.12E-08
1.56E-01,7.00E-07,1.56E-01,-2.47E-08
1.59E-01,7.10E-07,1.59E-01,-2.92E-08
1.62E-01,7.37E-07,1.62E-01,-1.56E-08
1.65E-01,7.50E-07,1.65E-01,-1.65E-08
1.68E-01,7.70E-07,1.68E-01,-1.08E-08
1.71E-01,7.66E-07,1.71E-01,-2.87E-08
1.74E-01,7.92E-07,1.74E-01,-1.67E-08
1.77E-01,8.01E-07,1.77E-01,-2.18E-08
1.80E-01,8.28E-07,1.80E-01,-8.36E-09
1.83E-01,8.39E-07,1.83E-01,-1.15E-08
1.86E-01,8.38E-07,1.86E-01,-2.60E-08
1.89E-01,8.58E-07,1.89E-01,-2.05E-08
1.92E-01,8.80E-07,1.92E-01,-1.23E-08
1.95E-01,8.86E-07,1.95E-01,-2.03E-08
1.98E-01,9.04E-07,1.98E-01,-1.64E-08
2.01E-01,9.22E-07,2.01E-01,-1.21E-08
2.04E-01,9.39E-07,2.04E-01,-9.09E-09
2.07E-01,9.41E-07,2.07E-01,-2.10E-08
2.10E-01,9.65E-07,2.10E-01,-1.17E-08
2.13E-01,9.78E-07,2.13E-01,-1.23E-08
2.16E-01,9.85E-07,2.16E-01,-1.91E-08
2.19E-01,1.00E-06,2.19E-01,-1.73E-08
2.22E-01,1.02E-06,2.22E-01,-1.22E-08
2.25E-01,1.03E-06,2.25E-01,-1.14E-08
2.28E-01,1.04E-06,2.28E-01,-2.39E-08
2.31E-01,1.06E-06,2.31E-01,-1.54E-08
2.34E-01,1.08E-06,2.34E-01,-1.20E-08
2.37E-01,1.09E-06,2.37E-01,-1.24E-08
2.40E-01,1.10E-06,2.40E-01,-1.31E-08
2.43E-01,1.12E-06,2.43E-01,-1.45E-08
2.46E-01,1.12E-06,2.46E-01,-2.19E-08
2.49E-01,1.15E-06,2.49E-01,-9.63E-09
2.52E-01,1.16E-06,2.52E-01,-1.32E-08
2.55E-01,1.17E-06,2.55E-01,-1.41E-08
2.58E-01,1.18E-06,2.58E-01,-1.43E-08
2.61E-01,1.20E-06,2.61E-01,-1.74E-08
2.64E-01,1.22E-06,2.64E-01,-1.21E-08
2.67E-01,1.23E-06,2.67E-01,-7.50E-09
2.70E-01,1.24E-06,2.70E-01,-1.48E-08
2.73E-01,1.25E-06,2.73E-01,-2.04E-08
2.76E-01,1.27E-06,2.76E-01,-1.62E-08
2.79E-01,1.28E-06,2.79E-01,-1.77E-08
2.82E-01,1.29E-06,2.82E-01,-1.77E-08
2.85E-01,1.32E-06,2.85E-01,-8.59E-09
2.88E-01,1.33E-06,2.88E-01,-8.36E-09
2.91E-01,1.34E-06,2.91E-01,-9.82E-09
2.94E-01,1.37E-06,2.94E-01,-7.60E-10
2.97E-01,1.37E-06,2.97E-01,-1.28E-08
3.00E-01,1.38E-06,3.00E-01,-1.07E-08
3.03E-01,1.40E-06,3.03E-01,-1.01E-08
3.06E-01,1.41E-06,3.06E-01,-1.25E-08
3.09E-01,1.42E-06,3.09E-01,-1.21E-08
3.12E-01,1.44E-06,3.12E-01,-1.22E-08
3.15E-01,1.46E-06,3.15E-01,-6.17E-09
3.18E-01,1.46E-06,3.18E-01,-1.56E-08
3.21E-01,1.49E-06,3.21E-01,-5.16E-09
3.24E-01,1.49E-06,3.24E-01,-1.45E-08
3.27E-01,1.51E-06,3.27E-01,-6.22E-09
3.30E-01,1.52E-06,3.30E-01,-1.02E-08
3.33E-01,1.54E-06,3.33E-01,-5.15E-09
3.36E-01,1.55E-06,3.36E-01,-1.24E-08
3.39E-01,1.56E-06,3.39E-01,-1.68E-08
3.42E-01,1.58E-06,3.42E-01,-1.30E-08
3.45E-01,1.60E-06,3.45E-01,-5.60E-09
3.48E-01,1.62E-06,3.48E-01,-1.79E-09
3.51E-01,1.62E-06,3.51E-01,-7.04E-09
3.54E-01,1.64E-06,3.54E-01,-9.03E-09
3.57E-01,1.65E-06,3.57E-01,-6.23E-09
3.60E-01,1.67E-06,3.60E-01,-6.18E-09
3.63E-01,1.69E-06,3.63E-01,-3.73E-10
3.66E-01,1.70E-06,3.66E-01,-5.71E-10
3.69E-01,1.71E-06,3.69E-01,-3.77E-09
3.72E-01,1.73E-06,3.72E-01,8.12E-10
3.75E-01,1.74E-06,3.75E-01,-7.87E-09
3.78E-01,1.76E-06,3.78E-01,-1.19E-09
3.81E-01,1.75E-06,3.81E-01,-2.15E-08
3.85E-01,1.78E-06,3.85E-01,-8.30E-09
3.88E-01,1.79E-06,3.88E-01,-8.46E-09
3.91E-01,1.80E-06,3.91E-01,-1.19E-08
3.94E-01,1.82E-06,3.94E-01,-8.15E-09
3.97E-01,1.83E-06,3.97E-01,-1.23E-08
4.00E-01,1.85E-06,4.00E-01,-4.61E-09
4.03E-01,1.86E-06,4.03E-01,-1.14E-08
4.06E-01,1.87E-06,4.06E-01,-8.08E-09
4.09E-01,1.88E-06,4.09E-01,-1.37E-08
4.12E-01,1.91E-06,4.12E-01,-5.60E-09
4.15E-01,1.92E-06,4.15E-01,-6.82E-09
4.18E-01,1.93E-06,4.18E-01,-1.15E-08
4.21E-01,1.95E-06,4.21E-01,-4.53E-09
4.24E-01,1.96E-06,4.24E-01,-1.03E-08
4.27E-01,1.97E-06,4.27E-01,-9.16E-09
4.30E-01,1.99E-06,4.30E-01,-5.42E-09
4.33E-01,2.00E-06,4.33E-01,-3.72E-09
4.36E-01,2.02E-06,4.36E-01,-3.67E-09
4.39E-01,2.03E-06,4.39E-01,-2.94E-09
4.42E-01,2.04E-06,4.42E-01,-1.05E-08
4.45E-01,2.06E-06,4.45E-01,-7.22E-09
4.48E-01,2.08E-06,4.48E-01,-1.98E-09
4.51E-01,2.08E-06,4.51E-01,-9.21E-09
4.54E-01,2.10E-06,4.54E-01,-6.05E-09
4.57E-01,2.10E-06,4.57E-01,-1.48E-08
4.60E-01,2.13E-06,4.60E-01,-1.56E-09
4.63E-01,2.14E-06,4.63E-01,-4.59E-09
4.66E-01,2.16E-06,4.66E-01,-4.75E-09
4.69E-01,2.17E-06,4.69E-01,-9.31E-09
4.72E-01,2.18E-06,4.72E-01,-6.68E-09
