Field,Moment,MomentParasub
1000.249,0.109632442,0.071797623
999.6356,0.109442072,0.071630456
997.1828,0.109540266,0.071821427
994.7722,0.109566629,0.071938973
992.5251,0.109540075,0.071997416
990.3974,0.10948754,0.072025361
988.333,0.109417906,0.072033815
986.299,0.109333754,0.072026599
984.2834,0.109260108,0.072029195
982.271,0.109201268,0.072046475
980.27,0.109141951,0.072062846
978.2705,0.109076711,0.072073238
976.2511,0.10900469,0.072077601
974.2481,0.108926364,0.07207504
972.2548,0.108848039,0.072072111
970.2541,0.108768949,0.072068699
968.2382,0.108686802,0.072062805
966.2385,0.10860647,0.072058112
964.2399,0.108528622,0.072055862
962.2429,0.108448482,0.072051259
960.247,0.108367481,0.072045754
958.2489,0.108288678,0.07204253
956.2511,0.108210161,0.072039581
954.2508,0.108125818,0.072030899
952.2441,0.108039946,0.072020932
950.2442,0.107959806,0.072016438
948.2446,0.107883581,0.07201585
946.2547,0.107805255,0.072012793
944.248,0.107718524,0.072001965
942.251,0.107637619,0.071996598
940.2452,0.107558911,0.07199376
938.248,0.107476287,0.071986681
936.2486,0.10739672,0.071982742
934.2526,0.107318776,0.071980298
932.254,0.107233478,0.071970597
930.2557,0.107148752,0.071961458
928.256,0.107066032,0.071954378
926.2564,0.106983886,0.071947867
924.2566,0.106897346,0.07193697
922.2545,0.106813671,0.071929025
920.2523,0.106740312,0.0719314
918.2535,0.106674595,0.071941288
916.2565,0.106607636,0.071949867
914.2579,0.106538098,0.071955927
912.2601,0.106459103,0.0719525
910.2605,0.106375429,0.071944461
908.2626,0.106291372,0.071935975
906.2564,0.106209321,0.07192981
904.2555,0.106125073,0.071921246
902.2576,0.106041494,0.071913239
900.2593,0.105964027,0.071911359
898.249,0.105884269,0.071907641
896.2539,0.105805275,0.071904112
894.2537,0.105725516,0.071900012
892.253,0.105647286,0.071897459
890.2555,0.105570679,0.071896409
888.2559,0.105494169,0.071895533
886.2608,0.105421956,0.071898786
884.2644,0.105350794,0.071903139
882.2662,0.105273519,0.071901447
880.2691,0.105194525,0.071897994
878.2547,0.105108749,0.071888413
876.2534,0.105020393,0.071875758
874.2504,0.104932038,0.071863167
872.2594,0.104841199,0.071847638
870.2454,0.104752844,0.071835463
868.2478,0.10467213,0.07183031
866.2497,0.104595524,0.071829282
864.2627,0.104517007,0.071825925
862.2615,0.104431326,0.07181594
860.2625,0.104343831,0.071804057
858.2639,0.104258437,0.071794261
856.2603,0.104174857,0.071786469
854.2622,0.104095481,0.071782671
852.2664,0.104017824,0.071780506
850.2678,0.103941886,0.071780166
848.2691,0.103866904,0.071780785
846.2572,0.103785617,0.071775599
844.2546,0.103705667,0.071771399
842.2549,0.103628583,0.071769954
840.256,0.103555033,0.071772014
838.2585,0.103482152,0.071774689
836.2646,0.103407265,0.071775222
834.2668,0.103327889,0.071771413
832.2657,0.103248608,0.071767824
830.2668,0.103170378,0.071765203
828.2642,0.103095395,0.07176597
826.2615,0.103018311,0.071764639
824.2638,0.102937406,0.071759298
822.2468,0.102852681,0.071750866
820.2214,0.102772636,0.071747433
818.2025,0.102692782,0.071743944
816.1931,0.102612354,0.071739524
