Field,Moment,MomentParasub
999.4881,0.062299982,0.055066601
996.8353,0.062382777,0.055168595
993.6585,0.06237124,0.055180049
990.6589,0.062346919,0.055177436
987.6813,0.062334043,0.055186109
984.6771,0.062315181,0.055188989
981.6627,0.062287976,0.055183599
978.674,0.062277183,0.055194435
975.6864,0.062244701,0.055183575
972.7008,0.062237593,0.055198074
969.6937,0.062198736,0.05518098
966.6668,0.06217984,0.05518399
963.6758,0.062130499,0.055156295
960.689,0.062121881,0.055169293
957.7013,0.062084753,0.055153786
954.709,0.06207697,0.055167659
951.6736,0.062039704,0.05515236
948.6747,0.061979261,0.055113621
945.693,0.061982878,0.055138817
942.7028,0.061974248,0.055151827
939.7083,0.061945829,0.05514508
936.7349,0.061906034,0.055126803
933.7488,0.061896763,0.055139143
930.7578,0.061859165,0.055123192
927.7686,0.061832292,0.055117951
924.7797,0.061829408,0.055136698
921.7591,0.061808543,0.055137693
918.731,0.061782711,0.055133776
915.7366,0.061756066,0.055128802
912.7399,0.061738143,0.055132566
909.753,0.06171579,0.05513183
906.7397,0.061709117,0.055146964
903.7214,0.061679772,0.055139462
900.7297,0.061655782,0.055137124
897.7367,0.061633429,0.055136432
894.7445,0.061607243,0.0551319
891.7398,0.061587843,0.055134246
888.7061,0.061571877,0.055140234
885.7101,0.061542107,0.055132147
882.717,0.06153302,0.055144721
879.7284,0.061519423,0.055152753
876.7338,0.0614768,0.055131803
873.7441,0.061447123,0.055123762
870.7541,0.061424175,0.055122453
867.7493,0.061406034,0.055126058
864.7576,0.061391258,0.055132933
861.7619,0.061360081,0.055123436
858.7315,0.061337282,0.055122569
855.7256,0.061324257,0.055131298
852.7344,0.06130385,0.055132538
849.7422,0.061256558,0.055106901
846.7534,0.061236323,0.055108296
843.7431,0.061229971,0.05512373
840.7294,0.061201026,0.055116595
837.7196,0.061197077,0.055134428
834.7401,0.061164641,0.055123555
831.7574,0.061126963,0.055107463
828.7472,0.061108833,0.055111119
825.7241,0.061079808,0.055103972
822.7321,0.061071499,0.055117316
819.7424,0.061051801,0.055119256
816.7308,0.061018644,0.055107894
813.7416,0.061008218,0.0551191
810.7603,0.060982306,0.055114764
807.775,0.060951495,0.055105558
804.7832,0.060930859,0.055106574
801.791,0.060900243,0.055097613
798.7983,0.060883212,0.05510224
795.7639,0.060861432,0.05510242
792.7672,0.060835519,0.055098195
789.7729,0.060817241,0.055101587
786.7854,0.060789006,0.055094972
783.7948,0.060764032,0.055091642
780.7766,0.06074208,0.055091533
777.7708,0.060724534,0.05509574
774.7827,0.06069029,0.055083121
771.7934,0.060675674,0.055090139
768.8072,0.060647725,0.055083801
765.7835,0.060626162,0.055084121
762.7693,0.060607059,0.055086833
759.775,0.060584833,0.055086276
756.7921,0.060546823,0.055069854
753.804,0.060535789,0.055080445
750.8151,0.060493648,0.055059935
747.8328,0.060488829,0.055076699
744.8443,0.060447729,0.055057227
741.8554,0.060442876,0.055074005
738.8669,0.060414286,0.055067043
735.8744,0.06037726,0.055051674
732.8416,0.060352836,0.055049199
729.8675,0.060332418,0.055050304
726.8685,0.060318088,0.055057679
723.8821,0.060286991,0.055048195
720.8911,0.060254521,0.05503737
717.8715,0.060230257,0.055034959
714.8554,0.060206233,0.055032763
711.8657,0.060170993,0.05501916
708.874,0.060148102,0.055017921
705.8863,0.060128004,0.055019445
702.8652,0.060109051,0.055022355
699.8546,0.060080998,0.055016091
696.8651,0.060056929,0.055013657
693.8766,0.060032951,0.055011307
690.8937,0.059994689,0.054994633
687.9029,0.059967289,0.054988877
684.9199,0.059945955,0.054989131
681.9261,0.059917456,0.054982299
678.9413,0.059900952,0.054987396
675.9512,0.059864774,0.054972857
672.9487,0.059842272,0.054972085
669.9215,0.059806254,0.054957974
666.9365,0.059796067,0.054969391
663.9386,0.059772067,0.054967086
660.9464,0.059740764,0.054957438
657.9482,0.059711029,0.054949401
654.9211,0.059675766,0.054936046
651.934,0.05964626,0.054928157
648.9366,0.059614568,0.054918158
645.9468,0.059590006,0.054915234
642.956,0.059579465,0.054926337
639.9292,0.059523623,0.054892401
636.9191,0.059500378,0.05489094
633.93,0.059491542,0.054903736
630.9409,0.059446447,0.054880274
627.9562,0.059412306,0.054867733
624.9573,0.059409765,0.054886896
621.9658,0.059374102,0.054872882
618.9837,0.059334249,0.054854611
615.9865,0.059307833,0.054849886
612.9868,0.059282917,0.054846679
609.9688,0.059231985,0.054817589
606.9469,0.059232821,0.054840294
603.9525,0.059197786,0.054826931
600.9637,0.059167857,0.054818631
597.9744,0.059136554,0.054808962
594.9731,0.059118745,0.054812874
591.9439,0.059070091,0.054786142
588.9528,0.059059333,0.054797031
585.9595,0.05902558,0.054784941
582.9685,0.059001179,0.054782186
579.9728,0.058973664,0.054776352
576.9411,0.058937772,0.0547624
573.9419,0.058895035,0.054741368
570.9485,0.058858547,0.054726544
567.9605,0.058834753,0.054724374
564.975,0.05880971,0.054720938
561.9911,0.058787701,0.054720523
559.0011,0.058741279,0.05469574
556.0059,0.058711155,0.054687292
553.0136,0.058677357,0.05467515
550.0261,0.058641796,0.05466121
547.002,0.058611557,0.054652857
543.99,0.058590132,0.05465323
540.9974,0.058557055,0.05464181
538.0126,0.05854609,0.054652447
535.0168,0.058494518,0.054622555
532.0075,0.058463432,0.054613248
528.9901,0.058416907,0.05458856
526.0013,0.058384002,0.054577285
523.0106,0.058360562,0.054575489
520.0191,0.058321945,0.054558522
517.0176,0.058290986,0.054549285
513.9902,0.058271243,0.054551451
510.9912,0.058226423,0.054528336
507.9861,0.058180458,0.054504119
504.998,0.058136565,0.054481852
502.003,0.058103019,0.054469981
499.025,0.058079305,0.054467818
496.0307,0.058059779,0.054469962
493.0399,0.058014295,0.054446123
490.0473,0.057973241,0.054426727
487.0611,0.057929588,0.054404686
484.0305,0.057897519,0.054394548
481.0212,0.057879504,0.054398312
478.0274,0.057827428,0.054367902
475.0364,0.057793023,0.054355144
472.0453,0.057773726,0.054357494
469.0315,0.057709541,0.05431512
466.0224,0.057688092,0.054315448
463.0257,0.057626597,0.05427564
460.0411,0.057596804,0.054267448
457.0383,0.057535675,0.05422805
454.0306,0.05752906,0.054243201
451.0011,0.057464874,0.054200941
448.0134,0.057430458,0.054188147
445.0189,0.057366387,0.054145748
442.033,0.057343497,0.054144466
439.0396,0.057275729,0.054098362
436.07,0.057259694,0.054103818
433.0746,0.057187417,0.054053219
430.0822,0.057167262,0.05405472
427.0898,0.057122602,0.054031717
424.0974,0.057065788,0.053996558
421.0669,0.057030113,0.053982815
418.0667,0.056989287,0.053963703
415.0766,0.056945269,0.053941324
412.0851,0.056883201,0.053900905
409.0793,0.056803999,0.053843457
406.0408,0.056778796,0.053840244
403.0358,0.05671318,0.053796376
400.0418,0.05668625,0.053791113
397.0444,0.05659788,0.053724436
394.0606,0.056581731,0.053729881
391.043,0.056522421,0.05369241
388.0233,0.056467472,0.053659315
385.0319,0.056396786,0.053610277
382.0404,0.056333116,0.053568257
379.0448,0.056280605,0.053537425
376.051,0.056221432,0.053499919
373.059,0.056161631,0.053461771
370.0681,0.056097835,0.05341962
367.0748,0.056048654,0.053392102
364.0839,0.055949675,0.053314769
361.0881,0.055904042,0.053290817
358.052,0.055845133,0.05325388
355.0492,0.055767557,0.053198036
352.0587,0.0556975,0.053149621
349.0695,0.055619455,0.053093209
346.0781,0.055569175,0.053064579
343.0505,0.055472417,0.052989731
340.0489,0.055384059,0.052923096
337.0567,0.055328194,0.052888886
334.0659,0.055246441,0.052828777
331.0725,0.055160944,0.052764944
328.0485,0.055062617,0.052688502
325.0375,0.054973767,0.052621443
322.0467,0.054869924,0.052539244
319.0592,0.054785183,0.052476124
316.0681,0.054692922,0.05240551
313.0878,0.05459162,0.052325777
310.1059,0.054516172,0.052271909
