Field,Moment,MomentParasub
999.4506,0.028687933,0.000964854
994.8146,0.028611149,0.001016664
989.7012,0.028463356,0.001010708
984.7062,0.028343172,0.001029077
979.7008,0.028187347,0.001012094
974.7255,0.028062004,0.001024756
969.723,0.02792784,0.001029354
964.7124,0.027791419,0.001031918
959.7323,0.027643471,0.001022111
954.7376,0.027493388,0.001010571
949.7135,0.027370805,0.001027349
944.7312,0.027232795,0.00102754
939.7511,0.027081649,0.001014533
934.7826,0.026939487,0.001010188
929.7989,0.026809278,0.001018219
924.8129,0.026671137,0.001018381
919.7746,0.026534541,0.001021539
914.777,0.026385717,0.00101134
909.7902,0.026272404,0.001036353
904.7665,0.026119646,0.001022944
899.7689,0.025980914,0.001022837
894.7833,0.025858616,0.001038831
889.7541,0.025723959,0.001043676
884.7569,0.025577447,0.001035778
879.7684,0.025428262,0.001024965
874.782,0.025287074,0.001022092
869.7927,0.025153689,0.001027101
864.7936,0.025027512,0.001039591
859.7841,0.02487539,0.001026424
854.766,0.024739704,0.001029931
849.781,0.024613867,0.00104237
844.7843,0.024473129,0.001040232
839.7641,0.024330276,0.001036632
834.7762,0.02419563,0.001040342
829.7866,0.024073333,0.001056447
824.7619,0.023923786,0.001046277
819.7705,0.023784417,0.001045362
814.7721,0.023644458,0.001044049
809.7969,0.023514118,0.001051713
804.8146,0.023363519,0.001039315
799.8272,0.023234329,0.001048467
794.7968,0.023093953,0.001047626
789.8056,0.022956908,0.001049028
784.8228,0.022820421,0.001050756
779.805,0.022675596,0.001045116
774.8123,0.022545837,0.001053846
769.8334,0.022412604,0.00105872
764.8091,0.022269007,0.001054488
759.8115,0.0221332,0.001057306
754.8294,0.021989964,0.001052265
749.8518,0.021856578,0.001056949
744.8732,0.021717034,0.001055504
739.892,0.021581468,0.001058107
734.8875,0.021441278,0.001056734
729.8788,0.021306336,0.001060725
724.903,0.021176949,0.001069359
719.9076,0.02103127,0.001062243
714.8855,0.020884495,0.001054773
709.8945,0.020759688,0.001068408
704.9015,0.0206178,0.001065017
699.8771,0.020465098,0.001051683
694.8936,0.020339721,0.001064541
689.9164,0.020196376,0.001059254
684.9464,0.020055145,0.001055883
679.9693,0.019922055,0.001060849
674.9839,0.019780199,0.00105728
669.9595,0.019642737,0.001059187
664.9676,0.019503566,0.001058483
659.9758,0.019364527,0.001057907
654.9545,0.019228851,0.001061514
649.9591,0.019094709,0.001065936
644.9777,0.018949085,0.001058487
639.9609,0.018810308,0.001058868
634.9558,0.018671389,0.001058782
629.972,0.018530092,0.001055728
624.9889,0.018386802,0.00105066
620.0023,0.018251476,0.001053655
615.0125,0.018111692,0.001052279
609.989,0.017976071,0.001056001
604.9692,0.017839047,0.001058218
599.988,0.017703426,0.001060767
594.986,0.017556049,0.001052137
589.9713,0.017420614,0.001055802
584.9812,0.017291512,0.001065117
579.9862,0.017154828,0.001066986
574.9611,0.017009039,0.001060585
569.9759,0.016873298,0.001063124
564.998,0.01673062,0.001058526
560.0163,0.016584623,0.001050713
555.0253,0.016448224,0.001052756
550.0402,0.016313535,0.001056344
545.01,0.016168885,0.001051224
