Field,Moment,MomentParasub
999.8936,0.061326767,0.054459333
997.2427,0.061428434,0.054579208
994.07,0.061367039,0.054539602
991.0667,0.061356564,0.054549755
988.0822,0.0613365,0.054550189
985.0786,0.06131035,0.054544668
982.065,0.061315827,0.054570843
979.0773,0.061289691,0.054565227
976.0898,0.061254969,0.054551023
973.0998,0.061227786,0.054544377
970.0976,0.061218866,0.054556076
967.0704,0.0612012,0.054559201
964.0799,0.061189069,0.05456761
961.0889,0.061167059,0.054566142
958.1016,0.061125625,0.054545225
955.1064,0.061124477,0.054564649
952.0758,0.061081096,0.054542083
949.0862,0.061068253,0.054549773
946.0943,0.061057241,0.05455931
943.1038,0.061025599,0.054548207
940.1166,0.061017332,0.054560457
937.1401,0.060987491,0.054551059
934.1513,0.060952653,0.054536748
931.1631,0.060934028,0.054538646
928.1743,0.060902734,0.05452788
925.184,0.060879184,0.054524868
922.162,0.060845929,0.054512369
919.1374,0.060835977,0.054523191
916.1479,0.060813343,0.054521088
913.1506,0.060766155,0.054494487
910.1561,0.060766359,0.054515257
907.1448,0.060744988,0.054514568
904.1267,0.06072507,0.054515379
901.1328,0.060698236,0.054509108
898.1447,0.060668032,0.054499427
895.1512,0.060632308,0.054484262
892.1429,0.060616196,0.054488812
889.1092,0.060619959,0.054513411
886.1187,0.060583769,0.05449776
883.1285,0.060581343,0.054515871
880.1376,0.060552795,0.054507865
877.1409,0.060514775,0.054490427
874.1486,0.060493099,0.054489303
871.1576,0.060471539,0.054488286
868.1522,0.060470232,0.05450762
865.1597,0.060448672,0.054506613
862.1677,0.060419122,0.054497612
859.1381,0.060400366,0.054499664
856.1308,0.060363871,0.054483824
853.139,0.060348384,0.054488886
850.1382,0.060324776,0.054485887
847.1611,0.060313924,0.054495482
844.1456,0.060300369,0.054502638
841.1318,0.060273855,0.054496824
838.1411,0.060239336,0.054482845
835.1489,0.060214609,0.054478669
832.1607,0.060184173,0.054468757
829.1498,0.060185132,0.054490395
826.1321,0.06014871,0.054474699
823.1409,0.060126293,0.054472826
820.1459,0.060098457,0.05446556
817.1362,0.060090496,0.05447827
814.1506,0.060066989,0.054475269
811.1689,0.060036698,0.054465457
808.179,0.060007351,0.054456645
805.1844,0.059990673,0.054460534
802.196,0.059968619,0.054459005
799.2032,0.059937762,0.054448702
796.1704,0.059924468,0.054456239
793.1712,0.059889688,0.054442058
790.1765,0.059862898,0.054435836
787.1862,0.059857741,0.054451216
784.1945,0.059838128,0.054452151
781.177,0.059824747,0.054459495
778.1709,0.05978648,0.054441874
775.1843,0.059741443,0.05441735
772.1952,0.059718677,0.054415114
769.2106,0.059705108,0.054422043
766.1849,0.059696377,0.054434093
763.1728,0.059656337,0.054414741
760.1786,0.05963145,0.054410419
757.1923,0.059610051,0.054409529
754.2019,0.059588651,0.054408668
751.2156,0.059566277,0.054406805
748.236,0.059525163,0.054386155
745.2446,0.059515458,0.054396995
742.2718,0.059511027,0.054412982
739.2679,0.059472803,0.05439539
736.2738,0.059438241,0.054381391
733.241,0.059400744,0.054364724
730.2544,0.059405901,0.054390394
