Field,Moment,MomentParasub
999.4909,0.01467138,2.52855E-05
997.705,0.014680208,6.02836E-05
995.5158,0.01464678,5.89345E-05
993.5098,0.014621168,6.27174E-05
991.5196,0.014593709,6.44221E-05
989.5277,0.014556777,5.66784E-05
987.5382,0.014536338,6.53926E-05
985.5614,0.014498242,5.6264E-05
983.519,0.014440188,2.81382E-05
981.5195,0.014437392,5.46427E-05
979.5275,0.014406165,5.26048E-05
977.5345,0.014378883,5.45276E-05
975.544,0.014354801,5.96137E-05
973.5553,0.014324307,5.8261E-05
971.5591,0.014295545,5.87509E-05
969.5599,0.014265443,5.79441E-05
967.5287,0.014238946,6.12109E-05
965.5368,0.014208072,5.95256E-05
963.5396,0.014172468,5.31876E-05
961.5483,0.014150043,5.99423E-05
959.5579,0.014115223,5.42889E-05
957.5639,0.014095176,6.3461E-05
955.5747,0.014065997,6.3431E-05
953.5704,0.014038538,6.53423E-05
951.5367,0.014003984,6.0589E-05
949.5442,0.013970669,5.64714E-05
947.5537,0.013946195,6.11655E-05
945.5564,0.013920381,6.46185E-05
943.5663,0.013891607,6.50063E-05
941.5721,0.013859089,6.17105E-05
939.5803,0.013831124,6.29328E-05
937.5944,0.013802527,6.34362E-05
935.6087,0.013770793,6.08E-05
933.6211,0.013746054,6.51859E-05
931.6238,0.013711221,5.96209E-05
929.63,0.013685647,6.3263E-05
927.6416,0.013656177,6.29303E-05
925.6471,0.013620624,5.66033E-05
923.656,0.013592887,5.8043E-05
921.6306,0.013558649,5.34842E-05
919.597,0.013530317,5.49522E-05
917.605,0.013501707,5.55324E-05
915.6086,0.013476298,5.93769E-05
913.6124,0.013445677,5.80076E-05
911.6225,0.013410338,5.18282E-05
909.627,0.013381033,5.1764E-05
907.6319,0.013354852,5.4818E-05
905.5958,0.013321512,5.1314E-05
903.5961,0.01329485,5.39548E-05
901.6019,0.013267454,5.57814E-05
899.609,0.013239009,5.65392E-05
897.6134,0.013213688,6.04605E-05
895.6228,0.013184294,6.0236E-05
893.6217,0.01315729,6.25558E-05
891.6218,0.013131918,6.64896E-05
889.5871,0.01309405,5.84371E-05
887.5814,0.01306663,6.04069E-05
885.5882,0.013040056,6.3041E-05
883.5977,0.013013394,6.55469E-05
881.6026,0.012978802,6.019E-05
879.6077,0.012946044,5.66641E-05
877.6137,0.012924163,6.40023E-05
875.6172,0.012894212,6.33077E-05
873.6219,0.012865729,6.40627E-05
871.6283,0.012829404,5.6951E-05
869.6348,0.012802527,5.92859E-05
867.6278,0.012773588,5.9757E-05
865.6283,0.012749292,6.476E-05
863.6356,0.012714813,5.94818E-05
861.6422,0.012684015,5.78943E-05
859.6302,0.012660351,6.37129E-05
857.6065,0.012626153,5.91697E-05
855.6042,0.012598463,6.08203E-05
853.6077,0.012565513,5.71256E-05
851.6204,0.012534094,5.48277E-05
849.6224,0.012512816,6.28278E-05
847.6318,0.012480738,5.99194E-05
845.641,0.012448234,5.65876E-05
843.6255,0.012424156,6.20439E-05
841.6035,0.012395066,6.2583E-05
839.6065,0.012367563,6.43432E-05
837.6138,0.012336771,6.27518E-05
835.6197,0.012308269,6.34702E-05
833.6258,0.012283248,6.76664E-05
831.6379,0.012250386,6.39343E-05
829.643,0.012219652,6.24333E-05
827.6137,0.012192006,6.45238E-05
825.6071,0.012158936,6.08569E-05
823.6083,0.012131196,6.24069E-05
821.6178,0.012107002,6.73805E-05
819.6256,0.012074597,6.41679E-05
817.6114,0.012049727,6.88134E-05
815.6154,0.012015944,6.42791E-05
813.6241,0.011987151,6.46656E-05
811.643,0.011958427,6.49722E-05
809.6476,0.011928001,6.37859E-05
807.6565,0.011898712,6.36737E-05
805.6649,0.011875431,6.95766E-05
803.6683,0.01184367,6.70722E-05
801.6744,0.011811574,6.41944E-05
799.6811,0.011786679,6.85084E-05
797.6792,0.011753806,6.49699E-05
795.6454,0.011721644,6.2611E-05
793.6525,0.011694956,6.51256E-05
791.655,0.011666341,6.57813E-05
789.6585,0.01164222,7.09162E-05
787.6664,0.011611484,6.93716E-05
785.6759,0.011580695,6.77506E-05
783.6789,0.011545139,6.14577E-05
781.6744,0.011516297,6.19883E-05
779.6528,0.01149317,6.84851E-05
777.6583,0.011460174,6.47155E-05
775.6602,0.011431467,6.52877E-05
773.6683,0.011401682,6.46914E-05
771.6799,0.011374906,6.70527E-05
769.6865,0.011344957,6.6314E-05
767.6957,0.011321701,7.22304E-05
765.6677,0.011286658,6.69041E-05
763.6447,0.011257947,6.78373E-05
761.6574,0.011229336,6.83473E-05
759.6596,0.011203449,7.17356E-05
757.668,0.011167028,6.44984E-05
755.6804,0.01114093,6.7526E-05
753.6832,0.011114789,7.06512E-05
751.6922,0.011088172,7.32088E-05
749.7051,0.011051886,6.60411E-05
747.7193,0.011028812,7.20664E-05
745.722,0.010994716,6.72375E-05
743.7369,0.010963586,6.51971E-05
741.7409,0.010932582,6.34416E-05
739.7461,0.010907097,6.71868E-05
737.749,0.01087998,6.93341E-05
735.7621,0.010845112,6.35813E-05
733.7236,0.010817037,6.53779E-05
731.7249,0.010788559,6.61877E-05
729.7361,0.010756559,6.33313E-05
727.7422,0.010732237,6.8227E-05
725.7524,0.010705035,7.01826E-05
723.7628,0.010668283,6.25848E-05
721.7688,0.010648164,7.16849E-05
719.7779,0.010612453,6.51483E-05
717.7467,0.010586653,6.9112E-05
