Field,Moment,FieldParasub,MomentParasub
-4.68E-05,-2.85E-08,-4.68E-05,-2.82E-08
3.02E-03,-1.26E-08,3.02E-03,-2.98E-08
6.03E-03,7.21E-09,6.03E-03,-2.71E-08
9.02E-03,2.46E-08,9.02E-03,-2.67E-08
1.20E-02,4.19E-08,1.20E-02,-2.66E-08
1.50E-02,6.14E-08,1.50E-02,-2.41E-08
1.80E-02,7.96E-08,1.80E-02,-2.30E-08
2.10E-02,9.64E-08,2.10E-02,-2.33E-08
2.40E-02,1.14E-07,2.40E-02,-2.31E-08
2.71E-02,1.32E-07,2.71E-02,-2.16E-08
3.00E-02,1.51E-07,3.00E-02,-2.00E-08
3.30E-02,1.67E-07,3.30E-02,-2.07E-08
3.60E-02,1.84E-07,3.60E-02,-2.07E-08
3.91E-02,2.02E-07,3.91E-02,-2.03E-08
4.21E-02,2.27E-07,4.21E-02,-1.26E-08
4.51E-02,2.41E-07,4.51E-02,-1.50E-08
4.81E-02,2.59E-07,4.81E-02,-1.40E-08
5.11E-02,2.75E-07,5.11E-02,-1.55E-08
5.41E-02,2.91E-07,5.41E-02,-1.67E-08
5.71E-02,3.11E-07,5.71E-02,-1.40E-08
6.01E-02,3.27E-07,6.01E-02,-1.52E-08
6.31E-02,3.49E-07,6.31E-02,-1.02E-08
6.61E-02,3.64E-07,6.61E-02,-1.19E-08
6.91E-02,3.81E-07,6.91E-02,-1.22E-08
7.21E-02,4.04E-07,7.21E-02,-6.56E-09
7.51E-02,4.14E-07,7.51E-02,-1.37E-08
7.81E-02,4.34E-07,7.81E-02,-1.03E-08
8.11E-02,4.53E-07,8.11E-02,-8.14E-09
8.41E-02,4.69E-07,8.41E-02,-9.51E-09
8.71E-02,4.86E-07,8.71E-02,-9.65E-09
9.01E-02,5.01E-07,9.01E-02,-1.15E-08
9.31E-02,5.22E-07,9.31E-02,-7.88E-09
9.61E-02,5.36E-07,9.61E-02,-1.04E-08
9.91E-02,5.62E-07,9.91E-02,-2.36E-09
1.02E-01,5.84E-07,1.02E-01,2.59E-09
1.05E-01,5.94E-07,1.05E-01,-4.26E-09
1.08E-01,6.07E-07,1.08E-01,-7.87E-09
1.11E-01,6.27E-07,1.11E-01,-5.67E-09
1.14E-01,6.42E-07,1.14E-01,-7.51E-09
1.17E-01,6.58E-07,1.17E-01,-8.67E-09
1.20E-01,6.80E-07,1.20E-01,-3.85E-09
1.23E-01,7.03E-07,1.23E-01,2.48E-09
1.26E-01,7.15E-07,1.26E-01,-2.71E-09
1.29E-01,7.36E-07,1.29E-01,1.26E-09
1.32E-01,7.55E-07,1.32E-01,2.79E-09
1.35E-01,7.76E-07,1.35E-01,6.68E-09
1.38E-01,7.82E-07,1.38E-01,-3.63E-09
1.41E-01,8.10E-07,1.41E-01,7.25E-09
1.44E-01,8.21E-07,1.44E-01,9.22E-10
1.47E-01,8.34E-07,1.47E-01,-3.67E-09
1.50E-01,8.48E-07,1.50E-01,-6.22E-09
1.53E-01,8.76E-07,1.53E-01,4.35E-09
1.56E-01,8.91E-07,1.56E-01,2.62E-09
1.59E-01,9.13E-07,1.59E-01,7.34E-09
1.62E-01,9.30E-07,1.62E-01,7.41E-09
1.65E-01,9.40E-07,1.65E-01,3.32E-10
1.68E-01,9.66E-07,1.68E-01,8.62E-09
1.71E-01,9.73E-07,1.71E-01,-1.37E-09
1.74E-01,9.97E-07,1.74E-01,6.31E-09
