Field,Moment,MomentParasub
1000.242,0.080441399,0.060823034
999.6331,0.080298506,0.060692084
997.1786,0.080378875,0.060820594
994.7684,0.080414406,0.060903399
992.5225,0.080409471,0.060942513
990.3953,0.080385475,0.060960239
988.3298,0.080348294,0.06096357
986.2971,0.080308276,0.060963421
984.2824,0.080270327,0.060964988
982.2676,0.080235143,0.060969321
980.2637,0.080197007,0.060970489
978.2648,0.080155658,0.060968345
976.2597,0.080117753,0.060969767
974.2531,0.080076591,0.060967963
972.2499,0.080032752,0.060963414
970.2447,0.079997583,0.060967574
968.2416,0.079959056,0.060968334
966.2454,0.079912858,0.060961289
964.246,0.079868527,0.060956174
962.2475,0.079826078,0.060952922
960.2382,0.079786682,0.060952936
958.2517,0.07974128,0.060946497
956.2533,0.079701841,0.060946253
954.2536,0.079670362,0.060953996
952.2517,0.079632298,0.060955196
950.2507,0.079588604,0.060950749
948.2498,0.079551756,0.060953146
946.2404,0.079513966,0.060954768
944.2558,0.079471213,0.06095094
942.2566,0.07942652,0.060945459
940.2449,0.079383839,0.060942235
938.2462,0.079342649,0.060940246
936.2568,0.079303804,0.06094042
934.257,0.079267939,0.060943779
932.2565,0.079223826,0.060938902
930.2583,0.079177324,0.060931592
928.2559,0.079134368,0.060927911
926.2564,0.079090891,0.060923651
924.2569,0.079047008,0.060918986
922.2507,0.079000637,0.060911963
920.2495,0.078957652,0.060908229
918.2518,0.078920919,0.060910679
916.2535,0.078880626,0.06090958
914.2554,0.078841274,0.060909418
912.2525,0.078795742,0.060903169
910.2538,0.078743769,0.060890399
908.2561,0.078696761,0.060882572
906.2567,0.078654152,0.060879179
904.2539,0.078606319,0.060870628
902.2541,0.078555938,0.060859471
900.2538,0.078515949,0.060858715
898.2552,0.078479694,0.060861659
896.254,0.07843943,0.060860646
894.2516,0.078402466,0.060862956
892.2513,0.078369772,0.060869495
890.2532,0.078332576,0.060871489
888.254,0.078291458,0.060869583
886.256,0.07825102,0.060868333
884.259,0.078214215,0.060870697
882.2618,0.078166657,0.060862311
880.2622,0.078122717,0.06085759
878.2623,0.078081527,0.060855625
876.2587,0.078030972,0.060844368
874.2545,0.077979159,0.060831865
872.2528,0.077933265,0.060825231
870.2538,0.077892132,0.060823306
868.2563,0.077854097,0.060824449
866.2568,0.07781295,0.06082252
864.259,0.077768866,0.060817619
862.2593,0.077722523,0.060810498
860.26,0.07767304,0.060800228
858.2609,0.077629751,0.060796149
856.2601,0.077588155,0.060793796
854.2612,0.077545923,0.06079077
852.2657,0.077507034,0.06079102
850.2658,0.077467928,0.060791139
848.2665,0.077430356,0.06079278
846.2675,0.077390265,0.060791897
844.2664,0.077353518,0.060794399
842.2519,0.077313645,0.060794038
840.2522,0.077271543,0.060791157
838.2552,0.077230367,0.06078915
836.2603,0.077187252,0.060785162
834.2726,0.077142154,0.06077905
832.273,0.077093206,0.060769321
830.2721,0.077049961,0.060765321
828.2707,0.077007642,0.060762256
826.271,0.076965091,0.060758927
824.2589,0.076923032,0.060756333
822.2432,0.076876733,0.060749569
820.2163,0.076832388,0.060744978
818.1975,0.076791386,0.060743572
816.201,0.07675267,0.060744015
814.1965,0.076715388,0.060746048
812.192,0.076668669,0.060738645
810.1895,0.076619229,0.060728481
808.1922,0.076575072,0.060723498
806.1985,0.076530321,0.060717851
804.2001,0.076481561,0.060708287
802.2031,0.076442557,0.060708451
800.2045,0.076406707,0.060711801
798.2025,0.076367109,0.060711469
796.1984,0.076320216,0.060703884
794.1956,0.076281255,0.060704205
792.1867,0.076240889,0.060703241
790.1921,0.076192506,0.060693979
788.1942,0.076151446,0.060692105
786.209,0.076114105,0.060693702
784.1932,0.076073393,0.060692526
782.1899,0.076031233,0.060689658
780.1902,0.075988074,0.060685721
778.1901,0.07594603,0.060682906
776.1929,0.075894535,0.060670584
774.1958,0.075846412,0.060661631
772.1953,0.075801097,0.060655553
770.197,0.075750774,0.060644424
768.1956,0.075702391,0.060635295
766.1932,0.075657814,0.060629993
764.1939,0.075617564,0.060628957
762.1934,0.075574782,0.060625412
760.1969,0.075533983,0.060623771
758.2011,0.075493256,0.060622188
756.1975,0.075450213,0.060618443
754.2028,0.075408791,0.060616145
752.2072,0.075360509,0.060607004
750.2117,0.07530638,0.060592014
748.215,0.07526024,0.060585036
746.217,0.075211277,0.060575262
744.2205,0.07516589,0.060569033
742.2242,0.075123716,0.060566013
740.2362,0.075081671,0.060562961
738.2224,0.075038672,0.060559459
736.2329,0.074992402,0.06055221
734.2297,0.074951067,0.060550165
732.2305,0.074907778,0.060546088
730.2216,0.074867326,0.060545038
728.232,0.074829855,0.06054659
726.237,0.074788708,0.060544573
724.2343,0.074741772,0.060536917
722.231,0.074698252,0.060532688
720.2261,0.074647683,0.060521443
718.2194,0.074604235,0.060517353
716.2161,0.074555707,0.060508117
714.2179,0.074500014,0.060491617
712.2231,0.074457551,0.060488278
710.2278,0.074418835,0.060488698
708.2282,0.074373853,0.060482935
706.2285,0.074328509,0.060476813
704.2317,0.074283498,0.060470966
702.2304,0.074238197,0.060464918
700.2299,0.074184473,0.060450431
698.2272,0.074136568,0.060441806
696.2423,0.074092845,0.060437014
694.23,0.074050714,0.060434351
692.2411,0.074012056,0.060434703
690.2422,0.073967551,0.060429404
688.2444,0.073923944,0.060424981
686.2395,0.073873375,0.060413736
684.2401,0.073822532,0.060402107
682.2454,0.073779981,0.06039868
680.2483,0.073731959,0.060389829
678.2506,0.073683605,0.060380656
676.2512,0.073637118,0.060373384
674.2507,0.073589588,0.060365092
672.252,0.073541538,0.060356243
670.2474,0.073492923,0.060346946
668.2491,0.07344794,0.060341158
666.2523,0.073399094,0.060331476
664.2547,0.073352838,0.0603244
662.2565,0.07331502,0.060325774
660.2573,0.073265928,0.060315893
658.2556,0.073214751,0.060303977
656.2539,0.073165108,0.060293595
654.2524,0.073119084,0.060286827
652.251,0.073081874,0.060288872
650.2591,0.073036993,0.060283059
648.2625,0.072991273,0.060276499
646.2618,0.072948621,0.060273088
644.2629,0.072894955,0.060258628
642.2626,0.072843633,0.06024654
640.2616,0.072793817,0.06023597
638.2608,0.072742973,0.060224369
636.2622,0.072691927,0.060212523
634.2559,0.07264832,0.060208266
632.2582,0.072602035,0.060201164
630.2606,0.072554853,0.060193162
628.258,0.072515805,0.060193392
626.2677,0.072471995,0.060188619
624.262,0.072418169,0.060174133
622.2606,0.072363346,0.060158564
620.2632,0.072312835,0.060147229
618.2618,0.072262034,0.060135683
616.2398,0.072219744,0.060133052
614.2238,0.072174936,0.060127784
612.2162,0.072129143,0.060121368
610.2102,0.072076302,0.060107872
608.1935,0.072021391,0.060092516
606.196,0.071969505,0.060079808
604.1997,0.07192105,0.060070507
602.206,0.071872116,0.060060677
600.2075,0.071823661,0.06005142
598.2078,0.071775219,0.0600422
596.2039,0.071730961,0.060037245
594.2041,0.071680783,0.06002629
592.2,0.071631994,0.060016809
590.1995,0.0715817,0.060005752
588.2032,0.071530147,0.059993354
586.2064,0.071485744,0.059988115
584.2096,0.071440255,0.059981791
582.2108,0.071386908,0.059967647
580.2109,0.071325383,0.059945348
578.2126,0.071274438,0.059933596
576.2091,0.071228182,0.059926636
574.208,0.071173387,0.05991109
572.2147,0.071118346,0.059895145
570.2152,0.07106426,0.059880277
568.2176,0.07100521,0.059860407
566.2166,0.070956147,0.05985059
564.2152,0.070908863,0.059842562
562.2156,0.070862419,0.059835337
560.215,0.070810172,0.059822328
558.2166,0.070750977,0.059802329
556.223,0.070696645,0.059787099
554.2241,0.07064887,0.05977853
552.2234,0.070602759,0.059771659
550.2248,0.070564448,0.059772549
548.2243,0.070515718,0.059763055
546.2257,0.070460764,0.059747301
544.2256,0.070397487,0.059723254
542.2264,0.070340941,0.05970592
540.2317,0.07029085,0.059694952
538.2333,0.070237025,0.059680322
536.2332,0.070181159,0.059663686
534.2315,0.070125394,0.059647182
532.2272,0.070071786,0.059632885
530.2245,0.070025617,0.059625996
528.2258,0.069967812,0.059607393
526.2301,0.06991212,0.059590843
524.2231,0.069853866,0.059571954
522.2242,0.069787825,0.059545119
520.225,0.069729499,0.059526004
518.2253,0.069671491,0.059507218
516.2225,0.069618809,0.059493818
514.2187,0.069570643,0.059484953
512.2166,0.06951647,0.059470049
510.2195,0.069458607,0.059451356
508.2224,0.069399658,0.059431578
506.2218,0.069335499,0.059406658
504.2228,0.069270964,0.059381331
502.2312,0.069211176,0.059360605
500.2348,0.069162532,0.059351118
498.2415,0.069102339,0.05933002
496.2462,0.069043318,0.059310134
494.2533,0.068988726,0.05929463
492.2548,0.068930385,0.059275487
490.2533,0.068869251,0.059253609
488.2541,0.068807045,0.059230616
486.2554,0.068749805,0.059212577
484.2539,0.068690755,0.059192783
482.2515,0.068636104,0.059177407
480.2554,0.068582598,0.059163051
478.26,0.068521869,0.05914146
476.2625,0.06845742,0.059116189
474.2507,0.068398515,0.059096743
472.2491,0.068338481,0.059075967
470.2594,0.068273092,0.059049603
468.2567,0.068211885,0.059027677
466.2552,0.068154861,0.05900991
464.2434,0.068086129,0.058980636
462.2464,0.068015616,0.058949292
460.2475,0.067946942,0.058919823
458.2602,0.067883724,0.058895583
456.2567,0.067822011,0.058873166
454.2565,0.067758604,0.05884899
452.2566,0.06769061,0.058820221
450.2562,0.067627956,0.058796803
448.2594,0.067566359,0.05877437
446.2628,0.06749767,0.058744842
444.265,0.067425999,0.058712355
442.2676,0.067356355,0.058681887
440.2693,0.067287217,0.058651943
438.2711,0.067219701,0.058623619
436.2708,0.067161678,0.058604829
434.257,0.067093279,0.058575928
432.2583,0.067022274,0.058544125
430.2649,0.066959345,0.058520294
428.2668,0.066895809,0.058495947
426.2688,0.066815223,0.058454549
424.2714,0.066735158,0.05841366
422.2695,0.066665166,0.058382933
420.2686,0.066601195,0.058358207
418.2699,0.066528772,0.058324986
416.2707,0.066453672,0.058289097
414.2744,0.066370973,0.058245553
412.2478,0.066295264,0.058209593
410.2202,0.066217197,0.058171294
408.2005,0.066147133,0.058140844
406.1889,0.066079573,0.058112739
404.1832,0.065996498,0.058069002
402.1844,0.065903479,0.058015188
400.1893,0.065825976,0.057976816
398.1953,0.065748053,0.057938003
396.196,0.065669841,0.057899004
394.1967,0.065589299,0.057857675
392.1982,0.065512635,0.057820209
390.1984,0.065436232,0.057783029
388.1967,0.065357252,0.05774331
386.1981,0.065278736,0.057703994
384.2027,0.065191348,0.057655743
382.2068,0.065100168,0.057603709
380.209,0.065015906,0.057558632
378.2076,0.064938837,0.057520817
376.206,0.064863071,0.05748431
374.2042,0.064777665,0.057438167
372.2018,0.064690422,0.057390198
370.2048,0.064597925,0.057336869
368.2062,0.064510348,0.057288492
366.2072,0.064413668,0.05723102
364.2044,0.064321113,0.057177747
362.1994,0.064233465,0.057129424
360.1961,0.064148349,0.0570836
358.1953,0.064058051,0.057032545
356.194,0.06396444,0.056978186
