Field,Moment
-4.60E-05,-5.14E-08
3.02E-03,-3.19E-08
6.04E-03,-7.27E-09
9.02E-03,1.48E-08
1.20E-02,3.83E-08
1.50E-02,6.07E-08
1.80E-02,7.93E-08
2.10E-02,9.99E-08
2.40E-02,1.33E-07
2.71E-02,1.60E-07
3.00E-02,1.75E-07
3.30E-02,1.93E-07
3.60E-02,2.13E-07
3.91E-02,2.36E-07
4.20E-02,2.56E-07
4.51E-02,2.79E-07
4.81E-02,3.07E-07
5.11E-02,3.25E-07
5.41E-02,3.50E-07
5.71E-02,3.71E-07
6.01E-02,3.96E-07
6.31E-02,4.12E-07
6.61E-02,4.39E-07
6.91E-02,4.56E-07
7.21E-02,4.81E-07
7.51E-02,5.08E-07
7.81E-02,5.34E-07
8.11E-02,5.44E-07
8.41E-02,5.63E-07
8.72E-02,5.93E-07
9.01E-02,6.14E-07
9.31E-02,6.21E-07
9.61E-02,6.52E-07
9.91E-02,6.77E-07
1.02E-01,7.05E-07
1.05E-01,7.16E-07
1.08E-01,7.44E-07
1.11E-01,7.52E-07
1.14E-01,7.89E-07
1.17E-01,8.10E-07
1.20E-01,8.36E-07
1.23E-01,8.48E-07
1.26E-01,8.63E-07
1.29E-01,8.80E-07
1.32E-01,9.02E-07
1.35E-01,9.27E-07
1.38E-01,9.64E-07
1.41E-01,9.74E-07
1.44E-01,1.01E-06
1.47E-01,1.02E-06
1.50E-01,1.05E-06
1.53E-01,1.07E-06
1.56E-01,1.08E-06
1.59E-01,1.10E-06
1.62E-01,1.13E-06
1.65E-01,1.15E-06
1.68E-01,1.17E-06
1.71E-01,1.19E-06
1.74E-01,1.22E-06
1.77E-01,1.24E-06
1.80E-01,1.26E-06
1.83E-01,1.28E-06
1.86E-01,1.30E-06
1.89E-01,1.33E-06
1.92E-01,1.35E-06
1.95E-01,1.36E-06
1.98E-01,1.39E-06
2.01E-01,1.42E-06
2.04E-01,1.43E-06
2.07E-01,1.46E-06
2.10E-01,1.47E-06
2.13E-01,1.50E-06
2.16E-01,1.52E-06
2.19E-01,1.54E-06
2.22E-01,1.56E-06
2.25E-01,1.59E-06
