Field,Moment,MomentParasub
1000.228,0.201695246,0.170576146
999.6263,0.201387208,0.170286828
997.1636,0.201641472,0.170617711
994.7566,0.201779274,0.170830401
992.5135,0.201825209,0.170946122
990.3855,0.201807451,0.170994572
988.3201,0.201762422,0.171013801
986.2874,0.201711361,0.171025982
984.2677,0.201653332,0.171030789
982.2556,0.201581968,0.171022026
980.2541,0.201507455,0.171009783
978.2556,0.201438101,0.171002607
976.2515,0.201375984,0.171002842
974.2463,0.201311824,0.171001067
972.2469,0.201242771,0.17099422
970.2442,0.201184273,0.17099803
968.2409,0.201120046,0.170996129
966.2392,0.201057292,0.170995652
964.2382,0.201000369,0.171000984
962.2407,0.20093651,0.170999271
960.2417,0.200863303,0.170988257
958.2407,0.200793916,0.170981125
956.2426,0.200741515,0.170990889
954.242,0.200677153,0.17098877
952.2412,0.200609777,0.170983642
950.2406,0.200535732,0.170971841
948.23,0.200452742,0.170951405
946.2416,0.200373237,0.170933762
944.2456,0.200300198,0.170922823
942.2462,0.200225081,0.170909912
940.2483,0.20014514,0.170892129
938.2496,0.200078098,0.170887271
936.2499,0.200025128,0.170896515
934.2514,0.199961906,0.17089547
932.2534,0.199890843,0.17088657
930.2544,0.199831507,0.170889427
928.2544,0.199772976,0.170893119
926.2415,0.1996928,0.170875569
924.2423,0.199607364,0.170852332
922.2406,0.199533253,0.170840498
920.2383,0.199469863,0.170839403
918.2345,0.19940205,0.170833933
916.2518,0.199351225,0.170844793
914.253,0.199287433,0.170843188
912.2401,0.199203739,0.170822119
910.2408,0.199125574,0.170806156
908.2423,0.199049486,0.170792246
906.2419,0.198981338,0.170786335
904.2388,0.198918853,0.17078617
902.2387,0.198854424,0.170783968
900.2386,0.198795591,0.170787362
898.2397,0.198721681,0.170775641
896.2412,0.198650752,0.17076689
894.2537,0.19857835,0.170756323
892.2513,0.198503702,0.170743974
890.2524,0.198424599,0.170727061
888.2511,0.198355781,0.170720507
886.2535,0.198293899,0.170720775
884.2559,0.198222334,0.170711359
882.2562,0.198148558,0.170699797
880.2584,0.198087044,0.170700439
878.2564,0.198007572,0.170683253
876.2536,0.19792743,0.170665422
874.2528,0.197862097,0.170662338
872.2478,0.197782223,0.170644844
870.2483,0.197716186,0.170641015
868.2519,0.197645593,0.170632534
866.2527,0.197572922,0.170622063
864.2544,0.197509431,0.170620743
862.2549,0.197436493,0.170610013
860.2551,0.197369652,0.17060539
858.2533,0.197309411,0.170607429
856.2536,0.197242235,0.170602468
