Field,Moment
-5.14E-05,-1.86E-08
3.01E-03,-1.48E-08
6.03E-03,-1.03E-08
9.03E-03,-7.89E-09
1.20E-02,-3.88E-09
1.50E-02,2.99E-10
1.80E-02,4.76E-09
2.10E-02,9.92E-09
2.40E-02,1.59E-08
2.71E-02,1.76E-08
3.00E-02,2.26E-08
3.30E-02,2.66E-08
3.60E-02,3.15E-08
3.91E-02,3.38E-08
4.20E-02,4.04E-08
4.51E-02,4.40E-08
4.81E-02,4.66E-08
5.11E-02,4.97E-08
5.41E-02,5.29E-08
5.71E-02,6.00E-08
6.01E-02,6.81E-08
6.31E-02,6.64E-08
6.61E-02,7.05E-08
6.91E-02,7.96E-08
7.21E-02,8.65E-08
7.51E-02,8.31E-08
7.81E-02,8.87E-08
8.11E-02,8.93E-08
8.41E-02,1.08E-07
8.71E-02,1.05E-07
9.01E-02,1.03E-07
9.31E-02,1.10E-07
9.61E-02,1.15E-07
9.91E-02,1.18E-07
1.02E-01,1.20E-07
1.05E-01,1.27E-07
1.08E-01,1.30E-07
1.11E-01,1.30E-07
1.14E-01,1.34E-07
1.17E-01,1.34E-07
1.20E-01,1.42E-07
1.23E-01,1.44E-07
1.26E-01,1.50E-07
1.29E-01,1.54E-07
1.32E-01,1.54E-07
1.35E-01,1.68E-07
1.38E-01,1.63E-07
1.41E-01,1.77E-07
1.44E-01,1.78E-07
1.47E-01,1.75E-07
1.50E-01,1.79E-07
1.53E-01,1.78E-07
1.56E-01,1.90E-07
1.59E-01,1.95E-07
1.62E-01,1.93E-07
1.65E-01,1.97E-07
1.68E-01,2.15E-07
1.71E-01,2.13E-07
1.74E-01,2.18E-07
1.77E-01,2.17E-07
1.80E-01,2.17E-07
1.83E-01,2.26E-07
1.86E-01,2.30E-07
1.89E-01,2.39E-07
1.92E-01,2.39E-07
1.95E-01,2.49E-07
1.98E-01,2.47E-07
2.01E-01,2.55E-07
2.04E-01,2.67E-07
2.07E-01,2.62E-07
2.10E-01,2.67E-07
2.13E-01,2.64E-07
2.16E-01,2.79E-07
2.19E-01,2.82E-07
2.22E-01,2.74E-07
2.25E-01,2.81E-07
2.28E-01,2.94E-07
2.31E-01,2.89E-07
2.34E-01,3.01E-07
2.37E-01,2.97E-07
2.40E-01,3.06E-07
2.43E-01,3.15E-07
2.46E-01,3.11E-07
2.49E-01,3.18E-07
2.52E-01,3.12E-07
2.55E-01,3.16E-07
2.58E-01,3.17E-07
2.61E-01,3.24E-07
2.64E-01,3.34E-07
2.67E-01,3.32E-07
2.70E-01,3.49E-07
2.73E-01,3.40E-07
2.76E-01,3.46E-07
2.79E-01,3.59E-07
2.82E-01,3.54E-07
2.85E-01,3.66E-07
2.88E-01,3.62E-07
2.91E-01,3.75E-07
2.94E-01,3.72E-07
2.97E-01,3.86E-07
3.00E-01,3.77E-07
3.03E-01,3.83E-07
3.06E-01,3.84E-07
3.09E-01,3.87E-07
3.12E-01,4.00E-07
3.15E-01,3.99E-07
3.18E-01,4.03E-07
3.21E-01,4.05E-07
3.24E-01,4.12E-07
3.27E-01,4.14E-07
3.30E-01,4.15E-07
3.33E-01,4.17E-07
3.36E-01,4.32E-07
3.39E-01,4.34E-07
3.42E-01,4.37E-07
3.45E-01,4.38E-07
3.48E-01,4.43E-07
3.51E-01,4.43E-07
3.54E-01,4.58E-07
3.57E-01,4.55E-07
3.60E-01,4.57E-07
3.63E-01,4.63E-07
3.66E-01,4.62E-07
3.69E-01,4.76E-07
3.72E-01,4.68E-07
3.75E-01,4.77E-07
3.78E-01,4.84E-07
3.81E-01,4.79E-07
3.84E-01,4.87E-07
3.87E-01,4.85E-07
3.90E-01,4.93E-07
3.93E-01,4.90E-07
3.97E-01,5.00E-07
4.00E-01,5.04E-07
4.03E-01,5.02E-07
4.06E-01,5.10E-07
4.09E-01,5.22E-07
4.12E-01,5.16E-07
4.15E-01,5.29E-07
4.18E-01,5.32E-07
4.21E-01,5.32E-07
4.24E-01,5.29E-07
4.27E-01,5.42E-07
4.30E-01,5.47E-07
4.33E-01,5.48E-07
4.36E-01,5.49E-07
4.39E-01,5.60E-07
4.42E-01,5.63E-07
4.45E-01,5.69E-07
4.48E-01,5.74E-07
4.51E-01,5.69E-07
4.54E-01,5.76E-07
4.57E-01,5.84E-07
4.60E-01,5.87E-07
4.63E-01,5.89E-07
4.66E-01,5.89E-07
4.69E-01,5.93E-07
4.72E-01,6.01E-07
4.75E-01,6.03E-07
4.78E-01,6.04E-07
4.81E-01,6.03E-07
4.84E-01,6.12E-07
4.87E-01,6.23E-07
4.90E-01,6.25E-07
4.93E-01,6.25E-07
4.96E-01,6.25E-07
4.99E-01,6.31E-07
5.01E-01,6.35E-07
,
5.01E-01,6.34E-07
4.98E-01,6.31E-07
4.95E-01,6.28E-07
4.92E-01,6.23E-07
4.89E-01,6.19E-07
4.86E-01,6.16E-07
4.83E-01,6.13E-07
4.80E-01,6.09E-07
4.77E-01,6.05E-07
4.74E-01,6.01E-07
4.71E-01,5.99E-07
4.68E-01,5.94E-07
4.65E-01,5.90E-07
4.62E-01,5.85E-07
4.59E-01,5.79E-07
4.56E-01,5.77E-07
4.53E-01,5.75E-07
4.50E-01,5.72E-07
4.47E-01,5.68E-07
4.44E-01,5.64E-07
4.41E-01,5.59E-07
4.38E-01,5.54E-07
4.35E-01,5.54E-07
4.32E-01,5.49E-07
4.29E-01,5.45E-07
4.26E-01,5.39E-07
4.23E-01,5.33E-07
4.20E-01,5.33E-07
4.17E-01,5.28E-07
4.14E-01,5.24E-07
4.11E-01,5.19E-07
4.07E-01,5.17E-07
4.04E-01,5.14E-07
4.01E-01,5.11E-07
3.98E-01,5.06E-07
3.95E-01,5.00E-07
3.92E-01,4.99E-07
3.89E-01,4.95E-07
3.86E-01,4.90E-07
3.83E-01,4.87E-07
3.80E-01,4.84E-07
3.77E-01,4.77E-07
3.74E-01,4.71E-07
3.71E-01,4.71E-07
3.68E-01,4.66E-07
3.65E-01,4.59E-07
3.62E-01,4.57E-07
3.59E-01,4.54E-07
3.56E-01,4.47E-07
3.53E-01,4.43E-07
3.50E-01,4.46E-07
3.47E-01,4.42E-07
3.44E-01,4.35E-07
3.41E-01,4.27E-07
3.38E-01,4.27E-07
3.35E-01,4.26E-07
3.32E-01,4.18E-07
3.29E-01,4.11E-07
3.26E-01,4.08E-07
3.23E-01,4.06E-07
3.20E-01,4.00E-07
3.17E-01,3.95E-07
3.14E-01,4.02E-07
3.11E-01,3.99E-07
3.08E-01,3.86E-07
3.05E-01,3.84E-07
3.02E-01,3.82E-07
2.99E-01,3.78E-07
2.96E-01,3.78E-07
2.93E-01,3.70E-07
2.90E-01,3.65E-07
2.87E-01,3.59E-07
2.84E-01,3.63E-07
2.81E-01,3.54E-07
2.78E-01,3.53E-07
2.75E-01,3.49E-07
2.72E-01,3.43E-07
2.69E-01,3.38E-07
2.66E-01,3.36E-07
2.63E-01,3.34E-07
2.60E-01,3.25E-07
2.57E-01,3.27E-07
2.54E-01,3.19E-07
2.51E-01,3.14E-07
2.48E-01,3.10E-07
2.45E-01,3.09E-07
2.42E-01,3.05E-07
2.39E-01,2.89E-07
2.36E-01,3.02E-07
2.33E-01,2.87E-07
2.30E-01,2.91E-07
2.27E-01,2.95E-07
2.24E-01,2.77E-07
2.21E-01,2.77E-07
2.18E-01,2.70E-07
2.15E-01,2.70E-07
2.12E-01,2.70E-07
2.09E-01,2.63E-07
2.06E-01,2.61E-07
2.03E-01,2.64E-07
2.00E-01,2.53E-07
1.97E-01,2.48E-07
1.94E-01,2.37E-07
1.91E-01,2.39E-07
1.88E-01,2.30E-07
1.85E-01,2.32E-07
1.82E-01,2.24E-07
1.79E-01,2.23E-07
1.76E-01,2.10E-07
1.73E-01,2.26E-07
1.70E-01,1.97E-07
1.67E-01,2.06E-07
1.64E-01,2.04E-07
1.61E-01,1.95E-07
1.58E-01,1.87E-07
1.55E-01,1.94E-07
1.52E-01,1.76E-07
1.49E-01,1.81E-07
1.46E-01,1.73E-07
1.43E-01,1.64E-07
1.40E-01,1.76E-07
1.37E-01,1.53E-07
1.34E-01,1.55E-07
1.31E-01,1.55E-07
1.28E-01,1.42E-07
1.25E-01,1.44E-07
1.22E-01,1.50E-07
1.19E-01,1.42E-07
1.16E-01,1.53E-07
1.13E-01,1.33E-07
1.10E-01,1.42E-07
1.07E-01,1.32E-07
1.04E-01,1.29E-07
1.01E-01,1.21E-07
9.81E-02,1.17E-07
9.51E-02,1.24E-07
9.21E-02,9.59E-08
8.91E-02,9.26E-08
8.61E-02,9.86E-08
8.31E-02,9.07E-08
8.01E-02,8.66E-08
7.71E-02,7.73E-08
7.41E-02,7.97E-08
7.11E-02,7.92E-08
6.81E-02,5.51E-08
6.51E-02,5.26E-08
6.20E-02,6.44E-08
5.90E-02,5.99E-08
5.60E-02,6.31E-08
5.31E-02,5.64E-08
5.00E-02,5.90E-08
4.70E-02,4.54E-08
4.40E-02,3.74E-08
4.10E-02,4.57E-08
3.80E-02,3.17E-08
3.50E-02,3.53E-08
3.20E-02,2.48E-08
2.90E-02,2.24E-08
2.60E-02,3.62E-08
2.30E-02,4.02E-09
2.00E-02,4.11E-09
1.70E-02,1.71E-08
1.40E-02,1.99E-09
1.10E-02,6.27E-09
8.02E-03,-4.93E-09
5.02E-03,-1.65E-08
2.02E-03,-1.30E-08
-1.06E-03,-2.89E-08
-4.07E-03,-1.53E-08
-7.08E-03,-2.39E-08
-1.01E-02,-2.86E-08
-1.31E-02,-3.75E-08
