Field,Moment,MomentParasub
1000.219,0.242124696,0.223071349
999.6118,0.241793058,0.222751277
997.1583,0.242150932,0.223155889
994.7484,0.242359496,0.223410359
992.5028,0.242448522,0.223542162
990.3765,0.242469747,0.223603891
988.3124,0.242463409,0.223636873
986.2794,0.242438647,0.223650837
984.2629,0.242400029,0.223650633
982.2494,0.242355958,0.223644917
980.2464,0.242313509,0.223640623
978.2481,0.24227725,0.22364243
976.2533,0.242239811,0.223642991
974.2454,0.242201489,0.223642917
972.2397,0.242162724,0.223642359
970.2321,0.242117768,0.223635647
968.2315,0.242075614,0.223631602
966.2297,0.242044071,0.223638192
964.2301,0.242000884,0.223633096
962.2326,0.241955634,0.223625896
960.2345,0.241913479,0.223621804
958.2348,0.241867345,0.223613762
956.2348,0.241821652,0.223606168
954.2302,0.241773454,0.223596156
952.2356,0.24172673,0.223587427
950.2336,0.241676763,0.223575597
948.2402,0.241629302,0.223566108
946.2369,0.241587737,0.223562704
944.2399,0.241549562,0.22356257
942.2423,0.241514039,0.2235651
940.2336,0.241471147,0.223560473
938.2384,0.241426929,0.223554261
936.232,0.241382563,0.223548115
934.2322,0.241339229,0.223542876
932.2473,0.241292947,0.223534405
930.248,0.241247255,0.223526797
928.251,0.241202005,0.223519588
926.2501,0.241161176,0.223516875
924.2457,0.24111062,0.223504501
922.24,0.241063748,0.223495837
920.2354,0.241016729,0.223487004
918.2354,0.240969563,0.223477936
916.2335,0.240929324,0.223475831
914.2486,0.240883042,0.22346736
912.2362,0.240828064,0.223450716
910.2509,0.240779571,0.223440042
908.2394,0.240739038,0.223437826
906.2405,0.240688628,0.223425494
904.2388,0.240631734,0.22340673
902.232,0.240582799,0.223396023
900.2388,0.240540497,0.22339169
898.2406,0.2405007,0.223389957
896.2429,0.240459282,0.223386594
894.2416,0.240416538,0.223381972
892.2409,0.240372172,0.223375718
890.2544,0.240326627,0.223368015
888.2504,0.240289631,0.223369193
886.2522,0.2402376,0.223355227
884.2525,0.240179232,0.223334951
882.2525,0.240131034,0.223324851
880.254,0.240085342,0.223317229
878.2505,0.240044513,0.223314565
876.2434,0.239998231,0.223306517
874.2386,0.239952391,0.223298867
872.2467,0.23990552,0.223289939
870.245,0.239862186,0.223284736
868.2479,0.239825779,0.223286373
866.2493,0.239782593,0.223281258
864.2504,0.239738374,0.223275117
862.2472,0.239696367,0.223271268
860.2422,0.239650674,0.22326377
858.254,0.239599971,0.223250939
856.2515,0.239545729,0.223234844
854.2523,0.239486034,0.223213232
852.2548,0.239433857,0.223199105
850.2532,0.239388901,0.223192279
848.255,0.23933746,0.223178902
846.2434,0.239291031,0.223170792
844.243,0.239243275,0.223161142
842.2455,0.239197288,0.223153206
840.2475,0.239142752,0.22313673
838.2415,0.239092343,0.223124533
836.2501,0.239046798,0.223116923
834.2514,0.238994767,0.223102966
832.2515,0.238945095,0.223091391
830.2517,0.238901909,0.223086298
828.2521,0.238863144,0.223085624
826.2503,0.238831749,0.223092362
824.2522,0.238793574,0.223092249
822.233,0.238745375,0.223082515
820.2071,0.238695998,0.223071729
818.1915,0.2386478,0.223061927
816.181,0.238604613,0.223057038
814.1772,0.238558184,0.22304878
812.1775,0.238519272,0.22304796
810.1765,0.238467389,0.223034195
808.1822,0.238412558,0.223017353
806.1898,0.238368782,0.223011531
804.1817,0.238321763,0.223002764
802.1877,0.238271354,0.222990339
800.1906,0.238225514,0.222982543
798.1809,0.238169946,0.222965258
796.1808,0.238117326,0.222950738
794.1825,0.238068981,0.222940459
792.1777,0.238014887,0.222924555
790.1857,0.237964183,0.222911797
788.1926,0.237918933,0.222904514
786.1985,0.23787383,0.222897397
784.183,0.237828432,0.222890393
782.1776,0.237778908,0.222879069
780.1811,0.237724667,0.22286286
778.186,0.237674405,0.222850603
776.1912,0.23762827,0.222842468
774.2563,0.237584494,0.22283555
772.1827,0.23753438,0.222824936
770.1835,0.237484855,0.222813494
768.1817,0.237438426,0.222805198
766.1823,0.237390228,0.222795087
764.1817,0.237338787,0.222781756
762.1833,0.237287936,0.222768972
760.1861,0.237238706,0.222757787
758.1902,0.237195372,0.222752474
756.1905,0.237148353,0.222743547
754.1969,0.237095586,0.222728756
752.2029,0.237046208,0.222717363
750.2082,0.236997126,0.222706278
748.2103,0.236944211,0.222691422
746.2159,0.23689277,0.222677973
744.2213,0.236848257,0.222671455
742.2135,0.236799469,0.222660914
740.2174,0.236752598,0.222652067
738.2226,0.236694524,0.222631992
736.2242,0.236641757,0.222617293
734.2199,0.2365884,0.222602116
732.2178,0.236540202,0.222592057
730.2179,0.236488172,0.222578123
728.219,0.236433783,0.222561811
726.2211,0.236383816,0.222549903
724.2205,0.236337239,0.222541436
722.2157,0.236294053,0.222536439
720.2109,0.236245118,0.222525694
718.204,0.236195298,0.222514104
716.208,0.236146068,0.222502896
714.2071,0.236092122,0.222487065
712.2101,0.236036259,0.222469244
710.212,0.235984081,0.222455128
708.218,0.235927334,0.222436365
706.223,0.235876925,0.222423959
704.2152,0.235821358,0.222406639
702.2173,0.235759599,0.222382938
700.221,0.235703294,0.222364662
698.216,0.235650674,0.222350235
696.2219,0.235592453,0.22233
694.228,0.235544403,0.222319932
692.2311,0.235492078,0.222305646
690.2342,0.235441669,0.222293276
688.2355,0.235390523,0.222280204
686.2338,0.23533127,0.222259082
684.2319,0.235275112,0.222241059
682.2367,0.235224703,0.222228657
680.2384,0.235174589,0.222216608
678.2384,0.235120053,0.222200171
676.2359,0.235067728,0.222185992
674.2461,0.235026015,0.222182183
672.2302,0.234982386,0.222176955
670.2373,0.234932272,0.222164804
668.2382,0.234877736,0.222148349
666.2321,0.23482261,0.222131438
664.2386,0.234762768,0.22210957
662.2459,0.234696293,0.222081055
660.2504,0.234632766,0.22205554
658.2372,0.23457823,0.222039354
656.2362,0.234525757,0.222024999
654.24,0.234468421,0.222005688
652.2315,0.234403125,0.221978652
650.2374,0.234338418,0.221951932
648.2534,0.234280345,0.221931652
646.2535,0.234226251,0.221915655
644.2528,0.234176137,0.221903652
642.2486,0.234121306,0.221887
640.244,0.234064854,0.221868733
638.2396,0.234005159,0.221847221
636.2369,0.233948117,0.221828329
634.2406,0.233896824,0.221815063
632.2422,0.233844793,0.221801101
630.2574,0.233787899,0.221782015
628.2483,0.233730415,0.221762803
626.249,0.233671752,0.221742225
624.2475,0.233618837,0.221727437
622.2503,0.233561206,0.22170785
620.2426,0.233504311,0.221689201
618.2446,0.233451544,0.221674494
616.2286,0.233388901,0.221650254
614.2043,0.2333211,0.221621014
612.1996,0.233263321,0.221601423
610.1975,0.233224851,0.221601091
608.1967,0.233171789,0.221586143
606.1835,0.233098091,0.221550795
604.1915,0.233020414,0.221511064
602.2008,0.232946864,0.221475435
600.2083,0.232879063,0.221445589
598.1985,0.232818483,0.221423295
596.1974,0.232753924,0.221396855
594.2,0.232689808,0.221370788
592.1988,0.232627312,0.221346413
590.1868,0.232566733,0.221324161
588.1943,0.232505269,0.221300653
586.2015,0.232450881,0.221284225
584.1947,0.232397229,0.221268802
582.2006,0.232335765,0.221245324
580.2035,0.232274449,0.221222051
578.1932,0.232221977,0.221207873
576.1927,0.232169799,0.221193803
574.1961,0.232108188,0.221170225
572.2048,0.232035375,0.221135345
570.2122,0.231959909,0.221097836
568.2154,0.231891517,0.221067483
566.2134,0.231823126,0.221037228
564.2099,0.231753851,0.221006117
562.2089,0.231682512,0.220972896
560.2078,0.23161132,0.220939823
558.2095,0.231538802,0.220905371
556.2141,0.231471884,0.220876464
554.2159,0.231406736,0.22084938
552.2174,0.231343061,0.220823775
550.2172,0.231276734,0.22079555
548.215,0.231209669,0.220766625
546.2124,0.231137298,0.220732402
544.2016,0.231062274,0.220695682
542.209,0.230995652,0.220667017
540.2298,0.23093522,0.220644288
538.2266,0.230870514,0.220617741
536.2231,0.230796964,0.220582356
