Field,Moment
-5.23E-05,-2.87E-08
3.01E-03,1.53E-08
6.02E-03,5.78E-08
9.02E-03,1.02E-07
1.20E-02,1.42E-07
1.50E-02,1.82E-07
1.80E-02,2.23E-07
2.10E-02,2.67E-07
2.40E-02,3.10E-07
2.71E-02,3.51E-07
3.00E-02,3.92E-07
3.30E-02,4.34E-07
3.60E-02,4.74E-07
3.90E-02,5.20E-07
4.20E-02,5.53E-07
4.50E-02,5.99E-07
4.81E-02,6.42E-07
5.11E-02,6.78E-07
5.41E-02,7.23E-07
5.71E-02,7.59E-07
6.01E-02,8.03E-07
6.31E-02,8.40E-07
6.61E-02,8.85E-07
6.91E-02,9.22E-07
7.21E-02,9.57E-07
7.51E-02,1.00E-06
7.81E-02,1.04E-06
8.11E-02,1.08E-06
8.41E-02,1.13E-06
8.71E-02,1.17E-06
9.01E-02,1.20E-06
9.31E-02,1.24E-06
9.61E-02,1.26E-06
9.91E-02,1.31E-06
1.02E-01,1.34E-06
1.05E-01,1.40E-06
1.08E-01,1.44E-06
1.11E-01,1.47E-06
1.14E-01,1.51E-06
1.17E-01,1.54E-06
1.20E-01,1.57E-06
1.23E-01,1.61E-06
1.26E-01,1.67E-06
1.29E-01,1.69E-06
1.32E-01,1.72E-06
1.35E-01,1.77E-06
1.38E-01,1.80E-06
1.41E-01,1.84E-06
1.44E-01,1.88E-06
1.47E-01,1.91E-06
1.50E-01,1.97E-06
1.53E-01,1.99E-06
1.56E-01,2.03E-06
1.59E-01,2.06E-06
1.62E-01,2.10E-06
1.65E-01,2.14E-06
1.68E-01,2.18E-06
1.71E-01,2.21E-06
1.74E-01,2.25E-06
1.77E-01,2.28E-06
1.80E-01,2.31E-06
1.83E-01,2.35E-06
1.86E-01,2.40E-06
1.89E-01,2.46E-06
1.92E-01,2.46E-06
1.95E-01,2.50E-06
1.98E-01,2.54E-06
2.01E-01,2.57E-06
2.04E-01,2.61E-06
2.07E-01,2.65E-06
2.10E-01,2.69E-06
2.13E-01,2.72E-06
2.16E-01,2.75E-06
2.19E-01,2.79E-06
2.22E-01,2.82E-06
2.25E-01,2.86E-06
2.28E-01,2.89E-06
2.31E-01,2.92E-06
2.34E-01,2.98E-06
2.37E-01,3.02E-06
2.40E-01,3.04E-06
2.43E-01,3.09E-06
2.46E-01,3.12E-06
2.49E-01,3.15E-06
2.52E-01,3.19E-06
2.55E-01,3.21E-06
2.58E-01,3.26E-06
2.61E-01,3.29E-06
2.64E-01,3.32E-06
2.67E-01,3.36E-06
2.70E-01,3.39E-06
2.73E-01,3.42E-06
2.76E-01,3.46E-06
2.79E-01,3.50E-06
2.82E-01,3.53E-06
2.85E-01,3.57E-06
2.88E-01,3.61E-06
2.91E-01,3.64E-06
2.94E-01,3.67E-06
2.97E-01,3.71E-06
3.00E-01,3.74E-06
3.03E-01,3.79E-06
3.06E-01,3.81E-06
3.09E-01,3.84E-06
3.12E-01,3.90E-06
3.15E-01,3.91E-06
3.18E-01,3.97E-06
3.21E-01,3.98E-06
3.24E-01,4.02E-06
3.27E-01,4.05E-06
3.30E-01,4.09E-06
3.33E-01,4.13E-06
3.36E-01,4.16E-06
3.39E-01,4.20E-06
3.42E-01,4.24E-06
3.45E-01,4.26E-06
3.48E-01,4.30E-06
3.51E-01,4.35E-06
3.54E-01,4.37E-06
3.57E-01,4.40E-06
3.60E-01,4.44E-06
3.63E-01,4.47E-06
3.66E-01,4.50E-06
3.69E-01,4.54E-06
3.72E-01,4.58E-06
3.75E-01,4.60E-06
3.78E-01,4.63E-06
3.81E-01,4.68E-06
3.84E-01,4.73E-06
3.87E-01,4.75E-06
3.90E-01,4.79E-06
3.93E-01,4.82E-06
3.97E-01,4.85E-06
4.00E-01,4.89E-06
4.03E-01,4.92E-06
4.06E-01,4.96E-06
4.09E-01,5.00E-06
4.12E-01,5.02E-06
4.15E-01,5.08E-06
4.18E-01,5.10E-06
4.21E-01,5.12E-06
4.24E-01,5.17E-06
4.27E-01,5.20E-06
4.30E-01,5.23E-06
4.33E-01,5.26E-06
4.36E-01,5.30E-06
4.39E-01,5.32E-06
4.42E-01,5.38E-06
4.45E-01,5.41E-06
4.48E-01,5.44E-06
4.51E-01,5.47E-06
4.54E-01,5.51E-06
4.57E-01,5.55E-06
4.60E-01,5.58E-06
4.63E-01,5.60E-06
4.66E-01,5.64E-06
4.69E-01,5.67E-06
4.72E-01,5.72E-06
4.75E-01,5.73E-06
4.78E-01,5.77E-06
4.81E-01,5.81E-06
4.84E-01,5.85E-06
4.87E-01,5.88E-06
4.90E-01,5.91E-06
4.93E-01,5.94E-06
4.96E-01,5.97E-06
4.99E-01,6.02E-06
5.01E-01,6.03E-06
,
5.01E-01,6.03E-06
4.98E-01,6.02E-06
4.95E-01,5.98E-06
4.92E-01,5.93E-06
4.89E-01,5.91E-06
4.86E-01,5.88E-06
4.83E-01,5.84E-06
4.80E-01,5.80E-06
4.77E-01,5.79E-06
