Field,Moment,FieldParasub,MomentParasub
3.39E-01,8.51E-06,3.39E-01,5.96E-06
3.42E-01,8.54E-06,3.42E-01,5.96E-06
3.45E-01,8.57E-06,3.45E-01,5.98E-06
3.48E-01,8.58E-06,3.48E-01,5.96E-06
3.51E-01,8.61E-06,3.51E-01,5.97E-06
3.54E-01,8.64E-06,3.54E-01,5.98E-06
3.57E-01,8.67E-06,3.57E-01,5.98E-06
3.60E-01,8.70E-06,3.60E-01,5.99E-06
3.63E-01,8.72E-06,3.63E-01,5.99E-06
3.66E-01,8.75E-06,3.66E-01,5.99E-06
3.69E-01,8.77E-06,3.69E-01,6.00E-06
3.72E-01,8.80E-06,3.72E-01,6.00E-06
3.75E-01,8.83E-06,3.75E-01,6.01E-06
3.78E-01,8.86E-06,3.78E-01,6.01E-06
3.81E-01,8.87E-06,3.81E-01,6.00E-06
3.84E-01,8.89E-06,3.84E-01,6.00E-06
3.87E-01,8.92E-06,3.87E-01,6.00E-06
3.90E-01,8.93E-06,3.90E-01,6.00E-06
3.93E-01,8.97E-06,3.93E-01,6.01E-06
3.96E-01,8.99E-06,3.96E-01,6.01E-06
4.00E-01,9.02E-06,4.00E-01,6.01E-06
4.02E-01,9.04E-06,4.02E-01,6.02E-06
4.06E-01,9.07E-06,4.06E-01,6.02E-06
4.09E-01,9.09E-06,4.09E-01,6.02E-06
4.12E-01,9.10E-06,4.12E-01,6.01E-06
4.15E-01,9.13E-06,4.15E-01,6.02E-06
4.18E-01,9.16E-06,4.18E-01,6.02E-06
4.21E-01,9.17E-06,4.21E-01,6.01E-06
4.24E-01,9.21E-06,4.24E-01,6.02E-06
4.27E-01,9.24E-06,4.27E-01,6.03E-06
4.30E-01,9.25E-06,4.30E-01,6.02E-06
4.33E-01,9.28E-06,4.33E-01,6.03E-06
4.36E-01,9.30E-06,4.36E-01,6.03E-06
4.39E-01,9.33E-06,4.39E-01,6.03E-06
4.42E-01,9.34E-06,4.42E-01,6.03E-06
4.45E-01,9.37E-06,4.45E-01,6.03E-06
4.48E-01,9.40E-06,4.48E-01,6.03E-06
4.51E-01,9.41E-06,4.51E-01,6.02E-06
4.54E-01,9.43E-06,4.54E-01,6.02E-06
4.57E-01,9.46E-06,4.57E-01,6.03E-06
4.60E-01,9.47E-06,4.60E-01,6.02E-06
4.63E-01,9.50E-06,4.63E-01,6.03E-06
4.66E-01,9.53E-06,4.66E-01,6.03E-06
4.69E-01,9.56E-06,4.69E-01,6.03E-06
4.72E-01,9.57E-06,4.72E-01,6.03E-06
4.75E-01,9.60E-06,4.75E-01,6.04E-06
4.78E-01,9.62E-06,4.78E-01,6.03E-06
4.81E-01,9.64E-06,4.81E-01,6.03E-06
4.84E-01,9.65E-06,4.84E-01,6.01E-06
4.87E-01,9.69E-06,4.87E-01,6.03E-06
4.90E-01,9.71E-06,4.90E-01,6.03E-06
4.93E-01,9.73E-06,4.93E-01,6.03E-06
4.96E-01,9.75E-06,4.96E-01,6.03E-06
4.99E-01,9.77E-06,4.99E-01,6.02E-06
5.01E-01,9.78E-06,5.01E-01,6.01E-06
,,,
5.01E-01,9.77E-06,5.01E-01,6.00E-06
4.98E-01,9.77E-06,4.98E-01,6.03E-06
4.95E-01,9.75E-06,4.95E-01,6.03E-06
4.92E-01,9.73E-06,4.92E-01,6.03E-06
4.89E-01,9.70E-06,4.89E-01,6.03E-06
4.86E-01,9.68E-06,4.86E-01,6.03E-06
4.83E-01,9.66E-06,4.83E-01,6.04E-06
4.80E-01,9.64E-06,4.80E-01,6.04E-06
4.77E-01,9.62E-06,4.77E-01,6.03E-06
4.74E-01,9.59E-06,4.74E-01,6.03E-06
4.71E-01,9.57E-06,4.71E-01,6.03E-06
4.68E-01,9.55E-06,4.68E-01,6.04E-06
4.65E-01,9.53E-06,4.65E-01,6.04E-06
4.62E-01,9.51E-06,4.62E-01,6.04E-06
4.59E-01,9.48E-06,4.59E-01,6.04E-06
4.56E-01,9.46E-06,4.56E-01,6.03E-06
4.53E-01,9.44E-06,4.53E-01,6.04E-06
4.50E-01,9.41E-06,4.50E-01,6.04E-06
4.47E-01,9.39E-06,4.47E-01,6.04E-06
4.44E-01,9.37E-06,4.44E-01,6.03E-06
4.41E-01,9.35E-06,4.41E-01,6.04E-06
4.38E-01,9.32E-06,4.38E-01,6.03E-06
4.35E-01,9.30E-06,4.35E-01,6.04E-06
4.32E-01,9.28E-06,4.32E-01,6.04E-06
4.29E-01,9.27E-06,4.29E-01,6.04E-06
4.26E-01,9.23E-06,4.26E-01,6.03E-06
4.23E-01,9.21E-06,4.23E-01,6.03E-06
4.20E-01,9.18E-06,4.20E-01,6.03E-06
4.17E-01,9.16E-06,4.17E-01,6.03E-06
4.14E-01,9.14E-06,4.14E-01,6.03E-06
4.11E-01,9.11E-06,4.11E-01,6.02E-06
