Field,Moment,MomentParasub
1000.275,0.062346221,0.044678189
999.6516,0.062246597,0.044589577
997.187,0.062316084,0.044702595
994.7706,0.062342179,0.044771372
992.5219,0.062341953,0.044810866
990.3936,0.062325398,0.044831903
988.3257,0.062297577,0.044840608
986.2933,0.06226592,0.044844849
984.2792,0.062226571,0.044841076
982.2605,0.062188076,0.044838237
980.2514,0.062152573,0.044838222
978.2506,0.062113759,0.044834748
976.2622,0.062077863,0.044833973
974.2579,0.062043054,0.044834566
972.2543,0.06200726,0.044834162
970.2442,0.061973089,0.044835496
968.2429,0.06193768,0.044835436
966.2386,0.061900207,0.044833366
964.2375,0.061864001,0.044832505
962.2381,0.06182846,0.044832281
960.2391,0.06179156,0.044830689
958.2497,0.06175269,0.044826958
956.2501,0.061714579,0.044824167
954.2452,0.061677491,0.044822491
952.2411,0.061642673,0.044823072
950.2286,0.06160565,0.044821597
948.2421,0.061566124,0.044817158
946.2442,0.061529054,0.044815378
944.2456,0.061491535,0.04481316
942.2437,0.061459305,0.04481629
940.2462,0.061427282,0.044819549
938.2441,0.061390785,0.044818416
936.2429,0.061354635,0.044817613
934.2344,0.061315568,0.044814022
932.2443,0.061276369,0.044809975
930.2462,0.061239103,0.044808002
928.249,0.061202146,0.044806322
926.2486,0.061164664,0.044804173
924.2445,0.061125953,0.044800861
922.2399,0.061089062,0.044799378
920.2375,0.061052706,0.04479839
918.2373,0.061015571,0.044796585
916.2526,0.060976954,0.044793024
914.2523,0.060937839,0.044789241
912.2546,0.060902121,0.044788808
910.255,0.060864554,0.044786561
908.2571,0.060826463,0.044783759
906.2535,0.0607905,0.044783186
904.2512,0.060754631,0.044782684
902.2511,0.06071774,0.044781121
900.252,0.06068341,0.044782101
898.2512,0.060647232,0.044781264
896.2533,0.060609928,0.044779249
894.2516,0.060571583,0.04477626
892.2441,0.060534804,0.044774941
890.2466,0.060500202,0.04477562
888.2483,0.060464042,0.044774757
886.2574,0.060429018,0.044774898
884.2502,0.060393524,0.044774858
882.2554,0.06035789,0.044774459
880.2567,0.060318682,0.044770554
878.2567,0.060281275,0.044768473
876.2583,0.060246682,0.044769178
874.2469,0.060208731,0.044766755
872.2458,0.060171671,0.044765041
870.2466,0.060133138,0.04476182
868.2528,0.060092561,0.04475646
866.2557,0.060057827,0.044757001
864.2485,0.060026029,0.044760657
862.2494,0.059988275,0.044758213
860.2488,0.059948214,0.044753489
858.2489,0.059907449,0.044748048
856.2505,0.059869713,0.044745611
854.2596,0.059831565,0.044742629
852.2558,0.059789806,0.044736263
850.2606,0.059753337,0.044735035
848.2636,0.059719851,0.044736822
846.2658,0.059680765,0.044733024
844.2625,0.059640009,0.044727653
842.248,0.059601017,0.044724243
840.2484,0.059568694,0.044727239
838.2487,0.059536117,0.044729984
836.2531,0.059503288,0.044732403
834.2543,0.05946649,0.044730911
832.2673,0.059430903,0.04473042
830.2666,0.059394096,0.044728952
828.2658,0.059353641,0.044723837
826.2632,0.059313542,0.04471911
824.2624,0.059275403,0.044716312
822.2437,0.059238887,0.044715453
820.2077,0.059207465,0.044719993
818.2015,0.059169176,0.04471714
816.1932,0.059126,0.044709437
814.191,0.059089578,0.04470838
812.1892,0.059054582,0.044708742
810.1819,0.059017859,0.044707475
808.1846,0.058978539,0.044703433
806.1885,0.058937774,0.044697925
804.1906,0.058900348,0.044695789
802.1924,0.058864113,0.044694849
800.2004,0.05882923,0.04469515
