Name	Field	Freq.	Km	L	F	P	Pj	T	U	K1dec	K1inc	K2dec	K2inc	K3dec	K3inc	K11	K22	K33	K12	K23	K13
AME16110_C2	423	F1	9233.031	1.045	1.097	1.147	1.15	0.352	0.322	268.4	39	107.3	49.5	6.1	9.4	0.92821	1.04141	1.03038	-0.00844	-0.02404	-0.01502
AME16111_A1	423	F1	12908.09	1.076	1.106	1.191	1.192	0.158	0.115	14.2	47.1	109.6	5	204.1	42.5	0.99626	1.00002	1.00372	-0.01117	0.02911	0.08112
AME16111_B1	423	F1	12373.1	1.091	1.094	1.193	1.193	0.014	-0.031	15.4	46.9	106.2	0.8	197	43.1	0.99605	0.99731	1.00664	-0.00185	0.0245	0.08456
AME16111_B2	423	F1	10860.4	1.105	1.092	1.207	1.207	-0.059	-0.105	13.5	47.2	107.4	3.6	200.7	42.5	0.99874	0.99032	1.01094	-0.00419	0.02691	0.08949
AME16111_C1	423	F1	10443.19	1.082	1.085	1.173	1.173	0.019	-0.021	242.2	85.2	107.5	3.4	17.3	3.4	0.928	0.99246	1.07954	-0.02185	-0.00742	-0.00762
AME16111_D1	423	F1	5279.915	1.093	1.079	1.179	1.18	-0.074	-0.115	245.3	79.6	103.1	8.2	12.2	6.3	0.92515	0.99292	1.08192	-0.01379	-0.01646	-0.01453
AME16112_A1	423	F1	5841.484	1.216	1.031	1.254	1.278	-0.728	-0.753	255.2	68.8	0.5	5.9	92.7	20.3	0.94352	0.94168	1.1148	0.00776	-0.07557	-0.01709
AME16112_A2	423	F1	6348.898	1.189	1.046	1.244	1.259	-0.585	-0.62	251.5	57.6	144.2	10.7	47.9	30.1	0.94491	0.98306	1.07203	-0.0002	-0.09099	-0.03814
AME16112_B1	423	F1	5105.609	1.237	1.034	1.279	1.306	-0.728	-0.756	244.6	66.2	2.5	11.7	96.9	20.5	0.94254	0.9392	1.11826	0.0173	-0.08419	-0.034
AME16112_B2	423	F1	5439.013	1.233	1.024	1.262	1.292	-0.8	-0.82	249.3	69.9	3.4	8.5	96.2	18.1	0.93754	0.93783	1.12463	0.0106	-0.07204	-0.02421
AME16112_C1	423	F1	8972.635	1.227	1.041	1.278	1.301	-0.669	-0.702	270.1	68.5	148.6	11.6	54.8	17.8	0.93	0.9472	1.1228	-0.01604	-0.08168	-0.00616
AME16112_C2	423	F1	10422.56	1.216	1.056	1.284	1.301	-0.564	-0.605	271.8	64.8	118.9	22.7	24.5	10.3	0.90821	0.97716	1.11463	-0.01956	-0.08246	-0.00555
AME16113_A1	423	F1	3718.179	1.107	1.075	1.189	1.19	-0.171	-0.213	269	8.3	17.7	65.4	175.5	23	0.93	1.09057	0.97942	0.00628	-0.01707	0.02429
AME16113_B1	423	F1	3295.209	1.094	1.088	1.19	1.19	-0.034	-0.077	269.4	6.7	31.3	77.5	178.2	10.5	0.91808	1.0878	0.99412	0.00343	-0.01129	0.01432
AME16113_B2	423	F1	2827.159	1.111	1.07	1.188	1.189	-0.219	-0.259	267	12	28.3	67.7	172.9	18.5	0.92859	1.08807	0.98335	0.01246	-0.02455	0.01795
AME16113_C1	423	F1	3109.248	1.139	1.064	1.212	1.217	-0.359	-0.401	265.9	6.7	11.1	65.9	173	23.1	0.92629	1.10671	0.967	0.01557	-0.01825	0.01969
AME16113_D1	423	F1	3125.373	1.125	1.064	1.197	1.201	-0.313	-0.354	272.7	7.6	26.6	71.8	180.5	16.4	0.92501	1.09891	0.97608	-0.00611	-0.0159	0.01666
