fieldStation,easting,northing,notes,strike,dip,trend,plunge,foliationType,otherStructure,otherStructureType
AME18FieldStation-347,119.934449,-21.342859,Metabasalt,98,84,261,70,schistosity,,
AME18FieldStation-354,119.939453,-21.345951,Metabasalt,107,80,261,68,schistosity,,
Ame18fieldstation-90,119.9671732,-21.37069717,Felsic_pelitic_schist_with_quartz_or_felsic_porphyroclasts_that_show_reverse_shear_sense.,128,74,262,68,schistosity,,
Ame18fieldstation-159,119.888558,-21.32824297,Assymmetrical_folds_of_quartz_in_th_quartzofeldspathic_schist_unit._Hinge_parallel_to_stretching_lineation.,131,72,262,67,schistosity,,
Ame18fieldstation-340,119.943294,-21.348068,Flexural_shearing_showing_dextral_motion._Quartzofeldspathic_schist_is_foliated_at_a_higher_angle_to_bedding_than_chlorite_schist._Boundary_between_them_has_garnets._Sampled_garnets.,105,80,262,66,schistosity,,
Ame18fieldstation-344,119.937267,-21.343132,Granitoid_foliated_and_interleaved_with_duffer_formation.,127,80,262,76,gneissic_folia,,
AME 18 fieldstation-347,119.943253,-21.348075,Bedding_and_foliation_between_units_no_longer_parallel,105,80,262,66,plar_schistosity,,
AME18FieldStation-335,119.943222,-21.348117,"Garnets?_A_bedding_plane_is_cross_cutting_foliation._Flexrual_shearing,_dextral.",105,80,262,66,schistosity,,
Ame18fieldstation-307,119.944714,-21.350884,"Again,_interbedded_metamorphic_rocks._Here,_the_chlorite_schist_is_1_m_thick,_rather_than_small_10_cm_beds._The_quartzofeldspathic_schist_is_lamited_at_1_cm_scale.",119,71,263,60,schistosity,,
Ame18fieldstation-351,119.932117,-21.341456,L_tectonite_mafic_amphibolite.,126,70,263,62,mineral_alignm,,
AME18FieldStation-340,119.937047,-21.341873,Granites_foilated,124,73,264,65,schistosity,,
Ame18fieldstation-208,119.9747968,-21.37223808,"Partially_migmatite_and_veined_orthogneiss_of_the_Underwood_unit._Two_tabular_zones_where_leucosimes_intermingle_with_a_mafic_biotite_rich_band._(See_pic)._The_granitic_portions_of_the_gneiss_have_differing_grain_size,_from_coarse_to_fine._These_zones_parallel_the_mafic_zones_and_foliation.",130,65,265,57,gneissic_folia,,
AME18FieldStation-556,119.960485,-21.358835,,130,86,265,84,schistosity,,
Ame18fieldstation-319,119.94636,-21.349413,Pod_of_granitic_gneiss_l_tectonite,114,79,266,67,gneissic_folia,,
AME 18 fieldstation-321,119.946308,-21.349468,"Gneiss,_L-tectonite,_strong_lineation_compared_to_foliation___Next_to_quartzo_feldspathic_unit",114,79,266,67,gneissic_folia,,
Ame18fieldstation-38,120.0137568,-21.40154664,"Crenulated_schust_with_asymmetric_kink_folds._Crenulatioms_are_subhorizontal,_while_stretching_lineation_is_nearly_downdip._Interbedded_chert_layers_are_also_involved_in_the_folding._Kink_folds_show_sinistral_motion.",118,60,267,42,schistosity,fold,
Ame18fieldstation-360,119.939091,-21.344557,,113,80,267,68,mineral_alignm,,
AME18FieldStation-309,119.945516,-21.350625,"Schist,_quartzofeldspathic.",110,81,267,68,schistosity,,
AME18FieldStation-319,119.946348,-21.349419,Towards_center_fold_more_weird_granite_gneiss,110,84,267,75,gneissic_folia,,
Ame18fieldstation-330,119.95298,-21.353583,,130,78,268,72,schistosity,,
Ame18fieldstation-371,119.961744,-21.361648,"Modules_of_amphibolite_metabasalt,_with_zones_of_curved_schist_layers_separating_them.",150,69,268,66,schistosity,,
AME 18 fieldstation-333,119.953145,-21.353713,,130,78,268,72,plar_schistosity,,
AME 18 fieldstation-380,119.961758,-21.361675,"Strike_and_dip_of_CS,_basalt_contact_towards_center_of_fold_hinge",150,69,268,66,plar_schistosity,,
AME18FieldStation-328,119.953183,-21.353636,,130,78,268,72,schistosity,,
Ame18fieldstation-10,119.9366568,-21.33832833,,122,64,269,48,gneissic_folia,,
Ame18fieldstation-109,119.9677934,-21.36822918,"Three_thin_units_close_together,_all_dipping_away_from_the_dome._Farthest_south,_a_.3_m_chert_bed,_strongly_lineated._Directly_south,_a_1_m_zone_of_porphyroclasts_bearing_felsic_schist._Along_strike_to_the_West_by_3_meters,_the_schist_is_less_micaceous,_but_has_small_red_dots_that_may_be_garnet.",144,72,269,68,schistosity,,
Ame18fieldstation-319,119.94636,-21.349413,Pod_of_granitic_gneiss_l_tectonite,110,84,269,74,schistosity,,
Ame18fieldstation-356,119.93538,-21.342257,YZ_plane_shows_sinistral_sos.,100,86,269,70,gneissic_folia,,
Ame18fieldstation-381,119.96279,-21.361219,Garnets!,162,70,269,69,gneissic_folia,,
AME 18 fieldstation-348,119.943625,-21.347911,"Interbedding,_not_parallel_to_foliation",98,87,269,72,plar_schistosity,,
AME18FieldStation-336,119.943541,-21.347916,Same_flexrual_shear,98,87,269,72,schistosity,,
AME18FieldStation-374,119.962773,-21.361271,Garnets,162,70,269,69,schistosity,,
Ame18fieldstation-339,119.944084,-21.348576,"Interbedded_units,_all_strongly_foliated.",105,86,270,74,schistosity,,
Ame18fieldstation-691,120.014905,-21.39947,,130,75,270,67,gneissic_folia,,
AME 18 fieldstation-346,119.944072,-21.348614,Interbedded,105,86,270,74,plar_schistosity,,
AME18FieldStation-334,119.944368,-21.348691,Feldspathic_interbedded_with_schist._Some_crenulation_is_occuring,105,86,270,74,schistosity,,
Ame18fieldstation-145,119.8911931,-21.32128562,"Quartzofeldspathic_schist,_sampled_as_a_representative_of_what_most_of_the_rocked_are_walking_over_looks_like.",117,80,271,68,gneissic_folia,,
Ame18fieldstation-208,119.9747968,-21.37223808,"Partially_migmatite_and_veined_orthogneiss_of_the_Underwood_unit._Two_tabular_zones_where_leucosimes_intermingle_with_a_mafic_biotite_rich_band._(See_pic)._The_granitic_portions_of_the_gneiss_have_differing_grain_size,_from_coarse_to_fine._These_zones_parallel_the_mafic_zones_and_foliation.",126,66,271,52,gneissic_folia,,
Ame18fieldstation-582,119.960174,-21.357894,"Very_large_garnets_in_highly_banded_paragneiss._Very_clear_normal_shear_sense,_greenstone_down,_me_up.",146,57,271,52,gneissic_folia,,
AME18FieldStation-346,119.933264,-21.342725,,119,79,271,67,schistosity,,
AME18FieldStation-559,119.960159,-21.357887,"Garnets_again,_sample_taken",147,57,272,52,gneissic_folia,,
Ame18fieldstation-309,119.94556,-21.350981,,109,82,273,63,schistosity,,
Ame18fieldstation-578,119.960471,-21.358954,Very_quarts_rich_quartzofeldspathic_schist._Ridge_forming_unit.,125,77,273,66,schistosity,,
AME 18 fieldstation-358,119.931778,-21.341722,,119,83,273,74,plar_schistosity,,
AME18FieldStation-349,119.936275,-21.344157,Metabasalt,121,79,273,67,schistosity,,
Ame18fieldstation-137,119.9134416,-21.34322083,"Just_north_of_the_chert,_an_L>>S_tectonite_with_garnet_porphyroclasts,_some_of_which_may_record_brittle_boudige_with_quartz_vein_infill.",257,80,274,59,gneissic_folia,,
Ame18fieldstation-320,119.946352,-21.34997,,116,81,274,67,schistosity,,
AME18FieldStation-306,119.943941,-21.351356,At_base_camp._West_side_of_river._Quartz_and_feldspathic_schist._With_a_metabasalt_as_well._Both_show_similar_foiliation_and_lineation.,115,80,274,64,schistosity,,
Ame18fieldstation-306,119.944086,-21.35132,We_camped_here._A_20_m_cliff_outcrop_of_Interbedded_metabasalt_and_felsic_metavolcanic._Fabric_of_the_two_are_aligned.,99,88,275,66,schistosity,,
Ame18fieldstation-313,119.945829,-21.350513,,118,84,275,75,gneissic_folia,,
AME18FieldStation-313,119.945798,-21.350539,"Top_of_hill,_amphibolite",118,84,275,75,schistosity,,
AME18FieldStation-555,119.96019,-21.359228,,140,80,275,76,schistosity,,
Ame18fieldstation-324,119.948208,-21.348676,Mixed_zone_of_granitic_and_metaseds._Granitic_are_parallel_to_bedding.,117,83,276,71,schistosity,,
Ame18fieldstation-337,119.944591,-21.34944,Very_strong_lineation.,115,82,276,67,plar_schistosity,,
Ame18fieldstation-591,119.961519,-21.359083,Granite_intrusion_within_limb_of_the_large_scale_(map_scale)_fold._In_contact_with_felsic_schist._We_sampled_it_for_AMS_to_know_if_the_fabric_was_the_same_as_the_green_stones.,107,85,276,66,schistosity,,
AME 18 fieldstation-343,119.944645,-21.34945,Outcrop_just_outside_of_fold,115,82,276,67,plar_schistosity,,
AME18FieldStation-324,119.947495,-21.348965,Just_outside_of_fold,117,83,276,71,schistosity,,
AME18FieldStation-333,119.94461,-21.349486,,115,82,276,67,schistosity,,
AME18FieldStation-565,119.956218,-21.354596,,150,76,276,73,schistosity,,
Ame18fieldstation-208,119.9747968,-21.37223808,"Partially_migmatite_and_veined_orthogneiss_of_the_Underwood_unit._Two_tabular_zones_where_leucosimes_intermingle_with_a_mafic_biotite_rich_band._(See_pic)._The_granitic_portions_of_the_gneiss_have_differing_grain_size,_from_coarse_to_fine._These_zones_parallel_the_mafic_zones_and_foliation.",137,68,277,58,gneissic_folia,,
Ame18fieldstation-342,119.94193,-21.347462,,112,84,277,67,schistosity,,
AME 18 fieldstation-349,119.941943,-21.347416,Interbedded_units_still,112,84,277,67,plar_schistosity,,
AME 18 fieldstation-368,119.938307,-21.345003,First_appearance_since_before_the_river,122,79,277,66,plar_schistosity,,
AME18FieldStation-337,119.941865,-21.347405,,112,84,277,67,schistosity,,
Ame18fieldstation-92,119.9669153,-21.37118133,Felsic_schist_porphyroclasts,125,74,278,58,schistosity,,
AME18FieldStation-356,119.942736,-21.349319,,124,80,278,68,schistosity,,
AME18FieldStation-557,119.960483,-21.358252,Garnets!,140,77,278,71,schistosity,,
Ame18fieldstation-124,119.9440215,-21.35369585,Reverse_shear_on_kink.,129,74,280,60,schistosity,,
Ame18fieldstation-121,119.9449517,-21.35274732,Very_small_zone_of_large_garnets_found_west_of_the_river._Rock_is_a_finely_lamited_felsic_muscovite_schist.,120,83,281,69,schistosity,,
Ame18fieldstation-333,119.944772,-21.349635,Felsic_unit_on_west_limb_of_outcrop_fold.,118,82,281,65,gneissic_folia,,
Ame18fieldstation-579,119.960481,-21.35825,,140,77,282,69,schistosity,,
AME 18 fieldstation-367,119.937831,-21.344774,,111,87,282,71,plar_schistosity,,
AME18FieldStation-326,119.953128,-21.352959,,109,88,282,74,schistosity,,
Ame18fieldstation-328,119.953199,-21.35296,Schist_with_mm_sized_clasts.,106,89,283,71,schistosity,,
Ame18fieldstation-350,119.931034,-21.341718,L_>S_tectonite.,119,84,283,69,schistosity,,
AME 18 fieldstation-331,119.953225,-21.35297,,106,89,283,71,plar_schistosity,,
Ame18fieldstation-163,119.9022336,-21.32659745,"Quartzofeldspathic_schist_of_the_duffer,_with_small_quartz_or_feldspar_porphyroclasts.",130,81,284,70,gneissic_folia,,
Ame18fieldstation-563,119.961797,-21.362365,Dextral_foliation_crosses_a_felsic_schist_“bed”._Felsic_schist_is_inter_layered_at_the_Hal_meter_scale_with_amphibolite_schist.,138,88,284,86,schistosity,,
1.52583E+13,119.9437894,-21.34722391,"Finely_spaced_cleavage_s_surfaces,_possibly_garnet_bearing_(_weather_out_pits_at_the_surface.__C_surfaces_spaced_at_about_30_cm._Sampled_for_garnets.",265,87,285,81,s_plane,,
Ame18fieldstation-381,119.96279,-21.361219,Garnets!,154,68,285,62,gneissic_folia,,
AME 18 fieldstation-338,119.944732,-21.349708,"Meta_basalt_with_feldspar_clasts,_exhibiting_fracture_set_folding,_felsic_units_appear_on_both_sides_of_hinge",114,86,285,65,plar_schistosity,,
AME 18 fieldstation-369,119.939321,-21.345409,,110,89,285,78,plar_schistosity,,
Ame18fieldstation-696,120.012732,-21.402604,"Large_scale_kink_fold._Has_small_scale_features_as_well._Large_scale_____Shows_dome_up_sos._Small_scale_shows_reverse_sense._Sample_taken_doesn’t_display_this,_but_instead_a_different_kink_fildin,_may_have_fold_overprints.",110,81,287,16,schistosity,,
Ame18fieldstation-110,119.9679449,-21.36811357,"Huge_1_cm_or_larger_garnets_with_quartz_tails_in_a_quartzofeldspathic_schist._Beautiful_shear_sense,_though_hard_to_determine_lineation.",128,82,288,68,schistosity,,
AME 18 fieldstation-392,119.962804,-21.361242,Same_garnet_bearing_unit,150,73,288,65,plar_schistosity,,
AME18FieldStation-374,119.962773,-21.361271,Garnets,150,73,288,65,schistosity,,
AME18FieldStation-563,119.956548,-21.35441,,127,81,288,64,schistosity,,
AME 18 fieldstation-309,119.945454,-21.350614,Very_strong_lineation,127,84,291,69,plar_schistosity,,
AME18FieldStation-583,119.93989,-21.356905,,291,90,291,79,schistosity,,
Ame18fieldstation-308,119.944957,-21.350845,"Large_pavement_outcrop_of_mostly_quartzofeldspathic_schist,_with_some_5_to_10_cm_chlorite_schist_interbedded._In_one_area_of_the_outcrop,_large_(0.5_cm)_porphyroclasts_of_magnetite,_amphibole,_and_or_garnet_are_present.",120,87,292,70,schistosity,,
Ame18fieldstation-322,119.947031,-21.349216,Prolomylonite_metabasalt._Feldspars_show_assymetry,126,85,293,69,mineral_alignm,,
Ame18fieldstation-322,119.947031,-21.349216,Prolomylonite_metabasalt._Feldspars_show_assymetry,290,89,293,70,mineral_alignm,,
Ame18fieldstation-576,119.960194,-21.359409,,134,84,293,74,schistosity,,
Ame18fieldstation-110,119.9679449,-21.36811357,"Huge_1_cm_or_larger_garnets_with_quartz_tails_in_a_quartzofeldspathic_schist._Beautiful_shear_sense,_though_hard_to_determine_lineation.",135,84,294,74,schistosity,,
Ame18fieldstation-322,119.947031,-21.349216,Prolomylonite_metabasalt._Feldspars_show_assymetry,118,89,294,76,mineral_alignm,,
AME 18 fieldstation-324,119.947012,-21.349242,"Subveritcal,_dips_both_directions_depending_on_spot",118,89,294,76,plar_schistosity,,
AME18FieldStation-344,119.931514,-21.342089,,130,86,294,75,schistosity,,
Ame18fieldstation-143,119.8900159,-21.3231963,Quartzofeldspathic_schist_with_kink_folds.,280,86,295,74,gneissic_folia,,
Ame18fieldstation-342,119.94193,-21.347462,,121,89,296,78,schistosity,,
Ame18fieldstation-381,119.96279,-21.361219,Garnets!,156,75,296,67,gneissic_folia,,
AME 18 fieldstation-349,119.941943,-21.347416,Interbedded_units_still,121,89,296,78,plar_schistosity,,
AME18FieldStation-374,119.962773,-21.361271,Garnets,156,75,296,67,schistosity,,
AME18FieldStation-585,119.939093,-21.356714,,287,88,298,80,schistosity,,
Ame18fieldstation-110,119.9679449,-21.36811357,"Huge_1_cm_or_larger_garnets_with_quartz_tails_in_a_quartzofeldspathic_schist._Beautiful_shear_sense,_though_hard_to_determine_lineation.",129,86,299,68,schistosity,,
Ame18fieldstation-615,119.937216,-21.356175,,265,86,299,83,schistosity,,
AME 18 fieldstation-391,119.962613,-21.361058,"Huge_garnet_bearing_unit,_unsure_about_composition,_gray_fine_grained_unit,_poss_my_metabasalt_or_volcanic",128,86,299,65,mineral_alignm,,
AME 18 fieldstation-587,119.937225,-21.356168,,265,86,299,83,schistosity,,
AME18FieldStation-373,119.962677,-21.361055,"Schists._Garnets_presen,_large_ones_about_3_cm_in_diameter.",128,86,299,65,schistosity,,
AME18FieldStation-345,119.932154,-21.342248,,120,90,300,76,schistosity,,
Ame18fieldstation-308,119.944957,-21.350845,"Large_pavement_outcrop_of_mostly_quartzofeldspathic_schist,_with_some_5_to_10_cm_chlorite_schist_interbedded._In_one_area_of_the_outcrop,_large_(0.5_cm)_porphyroclasts_of_magnetite,_amphibole,_and_or_garnet_are_present.",298,89,301,70,schistosity,,
AME 18 fieldstation-308,119.944658,-21.350899,"1_cm_lamition_of_schist,_subveritcal,_different_sports_have_different_dip_directions",298,89,301,70,schistosity,,
AME18FieldStation-365,119.961744,-21.361696,Contact_of_both_units,154,83,302,77,schistosity,,
Ame18fieldstation-572,119.963421,-21.361944,"Asymmetric_garnets,_showing_reverse_shear_sense_I_think.",146,76,303,57,schistosity,,
Ame18fieldstation-94,119.9660019,-21.37168193,,132,80,306,29,schistosity,fold,
AME 18 fieldstation-308,119.944658,-21.350899,"1_cm_lamition_of_schist,_subveritcal,_different_sports_have_different_dip_directions",299,87,307,69,plar_schistosity,,
Ame18fieldstation-614,119.93892,-21.355837,"Felsic_schist_with_small_porphyroclasts,_very_well_crenulated.",279,85,311,81,schistosity,,
AME18FieldStation-561,119.959157,-21.356923,,305,89,311,80,schistosity,,
Ame18fieldstation-308,119.944957,-21.350845,"Large_pavement_outcrop_of_mostly_quartzofeldspathic_schist,_with_some_5_to_10_cm_chlorite_schist_interbedded._In_one_area_of_the_outcrop,_large_(0.5_cm)_porphyroclasts_of_magnetite,_amphibole,_and_or_garnet_are_present.",298,84,314,69,schistosity,,
Ame18fieldstation-564,119.962024,-21.362272,20_cm_felsic_schist_bed._Dextral_cleavage_when_compared_to_bedding_contact.,136,89,314,65,schistosity,,
AME 18 fieldstation-308,119.944658,-21.350899,"1_cm_lamition_of_schist,_subveritcal,_different_sports_have_different_dip_directions",298,84,314,69,schistosity,,
AME18FieldStation-542,119.961597,-21.362819,,151,83,314,67,schistosity,,
Ame18fieldstation-590,119.956189,-21.355729,,305,87,315,74,schistosity,,
AME18FieldStation-575,119.941105,-21.35717,"Shear_zone_area,_hypothesis",310,89,315,78,schistosity,,
Ame18fieldstation-107,119.9641752,-21.37424185,10_meter_scale_z_fold_seen_in_chert_in_horizontal_outcrop._Sampling_northern_limb.,297,84,318,74,schistosity,,
AME 18 fieldstation-307,119.94468,-21.350898,"Chlorite_schist,_more_lamited_than_306,_at_about_1cm_scale___Probably_out_of_place_with_slump,_nick_has_other_measurements",308,82,320,55,plar_schistosity,,
Ame18fieldstation-577,119.960323,-21.359184,Interbeddedschists.,308,86,322,74,schistosity,,
Ame18fieldstation-607,119.939402,-21.356473,,158,84,324,66,schistosity,,
Ame18fieldstation-133,119.9178261,-21.33871737,"Vesicular_volcanic_with_infilled_calcite,_and_perhaps_garnet.",304,84,325,74,gneissic_folia,,
AME18FieldStation-581,119.940488,-21.356941,,303,86,325,79,schistosity,,
Ame18fieldstation-167,119.9950775,-21.38817278,"Bedding_parallel_gneissic_unit,_one_of_a_few_in_the_area_that_are_abou_2_m_wide._Lineation_defines_by_smeared_biotite_books._Did_not_remember_to_get_coordites,_so_coordites_are_approximate,_selected_from_map.",304,85,328,78,gneissic_folia,,
Ame18fieldstation-133,119.9178261,-21.33871737,"Vesicular_volcanic_with_infilled_calcite,_and_perhaps_garnet.",292,80,329,74,schistosity,,
Ame18fieldstation-598,119.941125,-21.357151,Very_plar_schist.,325,88,330,70,schistosity,,
Ame18fieldstation-606,119.939861,-21.356843,Chlorite_schist,289,77,331,71,schistosity,,
Ame18fieldstation-605,119.940108,-21.35698,Quartzofeldspathic_schist_with_veins_that_have_been_folded_at_a_shallow_angle._But_lineation_in_schist_is_still_steeply_plunging.,280,73,334,69,schistosity,fold,
Ame18fieldstation-570,119.962592,-21.361907,,317,86,337,78,schistosity,,
Ame18fieldstation-135,119.9139806,-21.34094695,"Felsic_muscovite_schist_with_small_porphyroclasts,_has_some_resembled_to_garnet.",286,77,338,74,schistosity,,
AME18FieldStation-554,119.959958,-21.359438,,304,86,338,83,schistosity,,
Ame18fieldstation-589,119.955589,-21.355097,,318,86,340,79,schistosity,,
AME18FieldStation-544,119.962002,-21.362606,,325,87,340,79,schistosity,,
AME18FieldStation-311,119.945655,-21.350681,Amphibolite,192,79,348,65,schistosity,,
Ame18fieldstation-594,119.943817,-21.355147,Axial_plar_crenulation_cleavage_in_chlorite_schist.,320,72,360,63,schistosity,,
