wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.93762399999999957 -21.3552199999999992),1876,AME18FieldStation-463,Point,119.937624,-21.35522,Small_scale_folds_in_unit_reflect_deformation_of_overall_fold._Located_in_the_hinge.,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302415947501.jpg,15302416081534.jpg,,,,,,,,
Point (119.93764699999999834 -21.35535000000000139),1877,AME18FieldStation-464,Point,119.937647,-21.35535,Hinge_of_fold;_area_has_small_scale_folds,101,83,0,0,0,0,0,bedding,,,,0,0,0,0,,,15302419641799.jpg,,,,,,,,,
Point (119.93770499999999402 -21.35538299999999978),1879,AME18FieldStation-465,Point,119.937705,-21.355383,,199,88,0,0,0,0,0,foliation,cleavage,,,0,0,0,0,,,,,,,,,,,,
Point (119.93799199999999416 -21.35537100000000166),1881,AME18FieldStation-466,Point,119.937992,-21.355371,Crenulation_cleavage,191,81,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93821699999999453 -21.35546099999999825),1882,AME18FieldStation-467,Point,119.938217,-21.355461,Crenulation_cleavage,189,84,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.93806700000000376 -21.35540299999999903),1884,AME18FieldStation-468,Point,119.938067,-21.355403,,189,80,0,0,0,0,0,foliation,crenulation_cl,,,0,0,0,0,,,,,,,,,,,,
Point (119.938083000000006 -21.35575000000000045),1889,AME18FieldStation-473,Point,119.938083,-21.35575,Small_scale_asymmetrical_fold,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302498258583.jpg,,,,,,,,,
Point (119.93809299999999496 -21.35570399999999935),1890,AME18FieldStation-474,Point,119.938093,-21.355704,Sub_horizontal_kink_fold_showing_southwarp_up_tendencies._Then_is_overprinted_by_another_fold._Kink_fold_folded_by_crenulation,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302500864511.jpg,15302500978243.jpg,15302501064819.jpg,,,,,,,
Point (119.93809299999999496 -21.35570399999999935),1891,AME18FieldStation-474,Point,119.938093,-21.355704,Sub_horizontal_kink_fold_showing_southwarp_up_tendencies._Then_is_overprinted_by_another_fold._Kink_fold_folded_by_crenulation,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302500864511.jpg,15302500978243.jpg,15302501064819.jpg,,,,,,,
Point (119.93809299999999496 -21.35570399999999935),1892,AME18FieldStation-474,Point,119.938093,-21.355704,Sub_horizontal_kink_fold_showing_southwarp_up_tendencies._Then_is_overprinted_by_another_fold._Kink_fold_folded_by_crenulation,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15302500864511.jpg,15302500978243.jpg,15302501064819.jpg,,,,,,,
Point (119.93775899999999979 -21.35577299999999923),2035,AME18FieldStation-589,Point,119.937759,-21.355773,Sample_taken_at_large_fold.,73,80,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,AME18-246,,15308531625313.jpg,,,,,,,,,
Point (119.9375440000000026 -21.35605599999999882),2036,AME18FieldStation-590,Point,119.937544,-21.356056,Small_scale_sinistral_fold,0,0,0,0,0,0,0,,,fold,s_fold,295,75,130,76,,,15308542545956.jpg,,,,,,,,,
Point (119.9363000000000028 -21.35526799999999881),2037,AME18FieldStation-591,Point,119.9363,-21.355268,,126,89,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.93605499999999608 -21.35577899999999829),2038,AME18FieldStation-592,Point,119.936055,-21.355779,Dike_from_more_north_is_found_again._Contact_between_ultered_basalt_and_metamorphic_rocks,0,0,0,0,0,0,0,,,,,0,0,0,0,,,15308574656844.jpg,,,,,,,,,
Point (119.93610499999999774 -21.35624599999999873),2039,AME18FieldStation-593,Point,119.936105,-21.356246,Contact_between_basalt_dike_and_metamorphic_rock,289,74,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.93847999999999843 -21.3553469999999983),1870,AME18FieldStation-458,Point,119.93848,-21.355347,Short_leg_of_fold_in_Stripey_unit,344,88,348,63,63,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93703399999999704 -21.35438100000000006),745,Ame18fieldstation-471,Point,119.937034,-21.354381,,323,86,345,79,80,0,0,bedding,,,,0,0,0,0,,,15302398647722.jpg,15302398346585.jpg,,,,,,,,
Point (119.93752399999999625 -21.35584899999999919),1888,AME18FieldStation-472,Point,119.937524,-21.355849,,74,88,85,80,80,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93696093558999394 -21.35584976087699971),767,Ame18fieldstation-485,Point,119.93696093559,-21.355849760877,,346,89,354,83,83,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93806800000000123 -21.3557370000000013),1329,AME 18 fieldstation-477,Point,119.938068,-21.355737,,123,83,168,80,83,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93752700000000289 -21.35509700000000066),750,Ame18fieldstation-474,Point,119.937527,-21.355097,This_bed_is_in_stratigraphiccontinuity_with_the_previous_measurements;_lower_in_the_section,350,82,0,0,84,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93823000000000434 -21.35592799999999869),769,Ame18fieldstation-487,Point,119.93823,-21.355928,,61,87,87,83,84,0,0,bedding,,,,0,0,0,0,Ame18-223,061 87,,,,,,,,,,
Point (119.93721600000000649 -21.35617500000000035),935,Ame18fieldstation-615,Point,119.937216,-21.356175,,265,86,299,83,84,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.93829900000000066 -21.35586299999999937),1332,AME 18 fieldstation-479,Point,119.938299,-21.355863,,61,87,87,83,84,0,0,bedding,,,,0,0,0,0,,,15302507129366.jpg,,,,,,,,,
Point (119.93722499999999798 -21.35616800000000026),1456,AME 18 fieldstation-587,Point,119.937225,-21.356168,,265,86,299,83,84,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.93624900000000366 -21.3552420000000005),1457,AME 18 fieldstation-588,Point,119.936249,-21.355242,,135,81,191,79,84,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93825200000000564 -21.35595299999999952),1893,AME18FieldStation-475,Point,119.938252,-21.355953,,61,87,87,83,84,0,0,bedding,,,,0,0,0,0,AME18-223,,15302507018694.jpg,,,,,,,,,
Point (119.937145000000001 -21.35456399999999988),1313,AME 18 fieldstation-463,Point,119.937145,-21.354564,,155,87,0,84,85,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93694499999999437 -21.35544700000000162),763,Ame18fieldstation-483,Point,119.936945,-21.355447,Cherts_schists,349,84,0,0,86,0,0,bedding,,,,0,0,0,0,,,15302487447124.jpg,,,,,,,,,
Point (119.93783700000000181 -21.35540400000000005),1320,AME 18 fieldstation-470,Point,119.937837,-21.355404,,251,78,322,77,86,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93757600000000707 -21.35585400000000078),1324,AME 18 fieldstation-472,Point,119.937576,-21.355854,Chert_schist,239,89,253,86,86,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93732799999999372 -21.35485900000000115),1314,AME 18 fieldstation-464,Point,119.937328,-21.354859,,133,81,204,81,87,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93792200000000037 -21.35538100000000128),756,Ame18fieldstation-478,Point,119.937922,-21.355381,Well_developed_crenulation_cleavage.,276,85,344,85,88,0,0,bedding,,,,0,0,0,0,,,15302429138912.jpg,15302428974355.jpg,,,,,,,,
Point (119.93825400000000059 -21.35544000000000153),1322,AME 18 fieldstation-471,Point,119.938254,-21.35544,,279,88,324,87,88,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93789700000000664 -21.35579099999999997),1328,AME 18 fieldstation-476,Point,119.937897,-21.355791,,77,80,156,80,88,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93743299999999863 -21.35594700000000046),1887,AME18FieldStation-471,Point,119.937433,-21.355947,,79,84,151,84,88,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93742799999999704 -21.35489700000000113),1874,AME18FieldStation-462,Point,119.937428,-21.354897,,169,74,255,74,89,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93712200000000223 -21.35591200000000001),1885,AME18FieldStation-469,Point,119.937122,-21.355912,,110,87,182,87,89,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93721899999999891 -21.35590200000000038),1886,AME18FieldStation-470,Point,119.937219,-21.355902,,81,89,126,89,89,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
