,fieldStation,easting,northing,notes,strike,dip,assocRake,featureType,foliationType,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
1325,AME 18 fieldstation-473,119.937631,-21.355819,,61,87,91,bedding,,,,,,,,,,,,,
943,Ame18fieldstation-623,119.935991,-21.356921,Kink_banding_showed_very_clear_thrust_sense_(_s_up_),64,84,90,foliation,schistosity,,,15308598045428.jpg,15308597049784.jpg,,,,,,,,
98,Ame18fieldstation-55,120.17702450987,-21.418059663867,"After_searching_around_in_what_we_think_is_the_“trig_we’ll”_area,_we_found_a_thin_layer_of_schist_with_clear,_large_garnets,_about_the_size_of_a_pea._The_lineation_is_hard_to_identify,_may_be_a_steep_rake_or_quite_shallow,_hard_to_see_in_the_bright_sunlight.",64,35,108,foliation,schistosity,Ame18-28,Sd,15263659968968.jpg,,,,,,,,,
1941,AME18FieldStation-515,119.954183,-21.364667,"Hinge,_s_and_d_taken_on_south_leg,_assumed_hinge_area_and_north_leg",65,73,83,bedding,,,,,,,,,,,,,
1033,Ame18fieldstation-679,120.226711,-21.364656,Several_meter_thick__chert_bed,68,42,121,bedding,,Ame18-292,068 42,,,,,,,,,,
1511,AME 18 fieldstation-640,120.227274,-21.364133,,68,42,121,bedding,,AME 18-292,"068
42
121",,,,,,,,,,
2098,AME18FieldStation-644,120.227279,-21.364209,,68,42,121,bedding,,AME18-292,,,,,,,,,,,
1397,AME 18 fieldstation-539,119.953363,-21.366701,,70,76,92,bedding,,,,15305955956631.jpg,,,,,,,,,
1909,AME18FieldStation-489,364.204102,577.470703,,71,77,73,bedding,,,,,,,,,,,,,
1888,AME18FieldStation-472,119.937524,-21.355849,,74,88,80,bedding,,,,,,,,,,,,,
787,Ame18fieldstation-502,735.210938,261.9375,,75,89,52,bedding,,,,,,,,,,,,,
1781,AME18FieldStation-378,119.942089,-21.356128,"Fold_in_a_chert_bed,_lineation_changes_around_fold.",75,86,96,bedding,,,,15300629967320.jpg,15300620524379.jpg,,,,,,,,
1787,AME18FieldStation-381,484.311523,565.087891,,75,86,96,bedding,,,,,,,,,,,,,
94,Ame18fieldstation-51,120.12736600835,-21.437320648713,"Duffer,_felsic_schist_with_boudined_quartz_veins.",76,84,98,foliation,schistosity,,,15262793726521.jpg,,,,,,,,,
1328,AME 18 fieldstation-476,119.937897,-21.355791,,77,80,88,bedding,,,,,,,,,,,,,
1883,AME18FieldStation-468,119.938067,-21.355403,,77,86,99,bedding,,,,,,,,,,,,,
103,Ame18fieldstation-57,120.17628103506,-21.419967343119,,78,66,105,foliation,schistosity,Ame18-30,078 66,,,,,,,,,,
1887,AME18FieldStation-471,119.937433,-21.355947,,79,84,88,bedding,,,,,,,,,,,,,
998,Ame18fieldstation-656,119.794611,-21.303679,"3_meter_wide_outcrop_of_chert,_may_be_thicker._Very_Stripey.",79,89,156,bedding,,Ame18-275,079 89 overturned.,15315387350941.jpg,15315384526877.jpg,,,,,,,,
2073,AME18FieldStation-623,119.794703,-21.303673,,79,89,156,foliation,,AME18-275,,15315382086396.jpg,,,,,,,,,
