Name          Field         Freq.         Km            L             F             P             Pj            T             U             K1dec         K1inc         K2dec         K2inc         K3dec         K3inc         K11           K22           K33           K12           K23           K13
AME18_131A_D   423          F1             201.3799      1.032         1.047         1.081         1.082         0.185         0.166         35.3          23.7          127.7         5.5           229.9         65.6          1.01922       1.00884       0.97194       0.00901       0.02001       0.02077 
AME18_131A_D   423          F1             194.2632      1.028         1.029         1.058         1.058         0.015         0.001         29.6          25.6          123.8         8.6           230.9         62.8          1.01503       1.00207       0.9829        0.00699       0.01438       0.01683 
AME18_131A_D   423          F1             142.4955      1.026         1.03          1.056         1.056         0.073         0.059         21.8          25.5          114.3         5.4           215.5         63.9          1.01542       1.00207       0.98252       0.00456       0.01032       0.01855 
AME18_131A_E   423          F1             158.5661      1.053         1.035         1.089         1.09         -0.205        -0.226         24.6          28.1          120.2         10.4          228.5         59.8          1.02362       0.99594       0.98044       0.01129       0.01987       0.02935 
AME18_131A_E   423          F1             211.5912      1.035         1.047         1.083         1.084         0.148         0.128         31.9          25.5          124.2         4.9           224.3         64            1.0194        1.00709       0.9735        0.00838       0.01955       0.02418 
AME18_139A_C   423          F1             4892.033      1.132         1.12          1.268         1.268        -0.048        -0.107         159.7         60.3          43.1          14.3          306.1         25.4          0.98977       0.93901       1.07122       0.0307        0.05274      -0.07716 
AME18_139A_C   423          F1             2956.474      1.115         1.043         1.163         1.168        -0.447        -0.477         164.7         70.5          10            17.7          277.5         7.8           0.98674       0.93827       1.07498       0.00189       0.01464      -0.03476 
AME18_139B_A   423          F1             6014.926      1.149         1.109         1.273         1.274        -0.146        -0.205         195.6         67            53.4          18.5          318.9         13.1          0.95216       0.94562       1.10221       0.05102      -0.00008      -0.0667 
AME18_139B_A   423          F1             6549.721      1.113         1.131         1.259         1.259         0.072         0.015         214.9         61            51.2          28            317.5         6.9           0.95667       0.95762       1.0857        0.06943      -0.01798      -0.04938 
AME18_139B_B   423          F1             3620.376      1.107         1.04          1.15          1.156        -0.445        -0.473         257.4         83.6          35.3          4.8           125.6         4.3           0.96518       0.95443       1.08039       0.01782      -0.01356      -0.00091 
AME18_139B_B   423          F1             5545.578      1.119         1.089         1.218         1.219        -0.135        -0.183         217           73.4          41.1          16.6          310.7         1.1           0.95959       0.94493       1.09547       0.04462      -0.01811      -0.02669 
