site number,specimen,rock type,easting,northing,L,F,P,Pj,T,max,int,min,Dmax (in-situ),Imax (in-situ),Dmin (in-situ),Imin (in-situ),e12,e23,e31,comments
cy13-207,CY13-207a-1b,dikes,478473.6963,3862875.644,1.01025,1.00364,1.01392,1.01444,-0.474675,28.1574,27.8718,27.7708,134.071,21.1073,12.7671,53.3896,4.87004,13.5412,3.60131,
cy13-207,CY13-207b-1a,dikes,478473.6963,3862875.644,1.00475,1.00311,1.00788,1.00793,-0.207774,15.555,15.4815,15.4335,81.6617,21.5142,177.58,14.6575,27.1403,38.1166,17.2256,
cy13-207,CY13-207b-1b,dikes,478473.6963,3862875.644,1.00617,1.00768,1.0139,1.01393,0.108478,14.7107,14.6204,14.509,78.542,1.02391,169.037,25.8049,11.7959,9.59934,5.33864,
cy13-207,CY13-207b-2,dikes,478473.6963,3862875.644,1.00523,1.00395,1.0092,1.00923,-0.139188,15.7787,15.6966,15.6348,70.6932,19.8888,166.724,16.1937,12.9295,16.9726,7.46443,
cy13-208,CY13-208a-1,dikes,478616.3552,3864695.771,1.00669,1.00227,1.00898,1.00934,-0.492247,24.6545,24.4905,24.435,-264.395,30.7572,219.605,43.2177,8.0154,22.5726,6.00455,
cy13-208,CY13-208a-2,dikes,478616.3552,3864695.771,1.01095,1.00158,1.01255,1.01367,-0.746983,26.2768,25.9921,25.9511,98.0176,19.541,190.833,7.87981,5.7754,35.0965,5.05277,
cy13-208,CY13-208b-1a,dikes,478616.3552,3864695.771,1.00864,1.00512,1.0138,1.01395,-0.254996,14.2218,14.1,14.0282,87.9634,48.0169,-85.519,41.7984,5.4308E-12,9.21139E-12,3.41651E-12,
cy13-208,CY13-208b-1b,dikes,478616.3552,3864695.771,1.00671,1.00811,1.01488,1.0149,0.0942049,12.895,12.809,12.706,-242.92,36.8456,256.877,45.5463,12.3674,10.3625,5.69398,
cy13-208,CY13-208b-2,dikes,478616.3552,3864695.771,1.00736,1.00232,1.0097,1.01013,-0.520476,14.9543,14.845,14.8107,-256.229,39.529,268.748,49.4897,9.78367,28.7847,7.47701,
cy13-208,CY13-208b-3,dikes,478616.3552,3864695.771,1.00729,1.0044,1.01172,1.01184,-0.247032,18.2445,18.1124,18.0331,81.0636,28.0467,185.974,25.7793,12.0797,19.6216,7.6171,
cy13-209,CY13-209a-2,dikes,478778.1202,3866547.799,1.00381,1.00305,1.00687,1.00689,-0.110273,877.105,873.777,871.118,61.128,48.572,183.063,25.0233,26.8588,32.3799,15.7253,
cy13-209,CY13-209a-3a,dikes,478778.1202,3866547.799,1.00649,1.00246,1.00897,1.00927,-0.449622,879.966,874.29,872.144,93.9389,63.5483,212.048,13.1928,20.1924,44.2163,14.9437,
cy13-209,CY13-209a-3b,dikes,478778.1202,3866547.799,1.00285,1.00371,1.00657,1.00659,0.131062,1028.55,1025.62,1021.83,78.1185,50.8403,180.391,9.82162,2.25447E-11,1.73768E-11,9.81312E-12,
cy13-209,CY13-209b-1a,dikes,478778.1202,3866547.799,1.00699,1.00433,1.01135,1.01146,-0.234902,36.548,36.2942,36.1378,60.2761,6.00859,-32.4343,24.1927,5.86921,9.47298,3.63962,
cy13-209,CY13-209b-1b,dikes,478778.1202,3866547.799,1.00863,1.00129,1.00993,1.0108,-0.739247,34.3506,34.0566,34.0128,212.007,67.6995,23.0089,22.0525,2.99654,19.3356,2.60812,
cy13-209,CY13-209b-2a,dikes,478778.1202,3866547.799,1.00222,1.00607,1.0083,1.0086,0.462758,30.4862,30.4186,30.2352,70.6961,0.326873,-19.6405,45.8391,15.57,5.86729,4.29343,
cy13-209,CY13-209b-2b,dikes,478778.1202,3866547.799,1.00834,1.00126,1.00961,1.01045,-0.737466,33.1265,32.8524,32.8112,-185.747,49.1791,268.358,3.53811,3.93383,24.5737,3.4209,
cy13-211,CY13-211a-1,dikes,474721.1227,3861849.594,1.00706,1.01093,1.01807,1.01821,0.214034,20.0321,19.8915,19.6764,-193.031,22.6674,62.4488,30.9774,6.00322E-12,3.92145E-12,2.372E-12,
cy13-211,CY13-211a-2,dikes,474721.1227,3861849.594,1.00777,1.00833,1.01616,1.01616,0.0347935,17.0273,16.8961,16.7566,-182.568,18.9976,72.5203,36.7755,6.68967,6.29332,3.25316,
cy13-211,CY13-211b-1a,dikes,474721.1227,3861849.594,1.01325,1.01224,1.02565,1.02566,-0.0390778,19.9195,19.6591,19.4214,196.057,2.7392,-255.603,31.193,3.49662E-12,3.82921E-12,1.82768E-12,
cy13-211,CY13-211b-1b,dikes,474721.1227,3861849.594,1.01583,1.53041,1.55463,1.64984,0.928828,17.86,17.5817,11.4883,220.642,24.3904,-37.3312,24.6805,86.6168,37.6831,36.4528,
cy13-211,CY13-211b-2a,dikes,474721.1227,3861849.594,1.00713,1.01515,1.02239,1.02287,0.358016,22.8407,22.6789,22.3404,180.749,2.35739,89.5542,26.8624,9.9132,4.77524,3.23495,
cy13-211,CY13-211b-2b,dikes,474721.1227,3861849.594,1.00765,1.01319,1.02093,1.02118,0.264487,26.4982,26.297,25.9548,182.299,10.4819,86.4485,28.853,7.70311,4.54522,2.86635,
cy13-212,CY13-212a-1,dikes,475860.3955,3863562.294,1.00288,1.00235,1.00524,1.00524,-0.101429,23.4732,23.4058,23.351,133.122,50.2994,-79.2021,35.0528,12.8604,15.6729,7.17452,
cy13-212,CY13-212a-2,dikes,475860.3955,3863562.294,1.00213,1,1.00213,1.00246,-1,23.54,23.49,23.49,95.9811,44.7824,1.42914,4.57208,17.1081,90,17.1081,
cy13-212,CY13-212a-3a,dikes,475860.3955,3863562.294,1.00095,1.00095,1.00191,1.00191,0.000476191,26.275,26.25,26.225,176,85,-49.1092,3.53329,44.2258,44.2258,25.9506,
cy13-212,CY13-212a-3b,dikes,475860.3955,3863562.294,1.00201,1.00101,1.00303,1.00308,-0.332662,24.865,24.815,24.79,176,85,-4,5,29.9347,49.0319,21.0012,
cy13-212,CY13-212b-1a,dikes,475860.3955,3863562.294,1.00779,1.00737,1.01521,1.01521,-0.027822,15.41,15.2909,15.1791,223.887,21.3383,83.639,63.0639,7.3629,7.83752,3.81316,
cy13-212,CY13-212b-1b,dikes,475860.3955,3863562.294,1.01161,1.00553,1.01721,1.01756,-0.353271,16.0755,15.891,15.8036,219.7,18.3645,99.1379,56.8604,7.13179,14.7917,4.85243,
cy13-212,CY13-212b-2a,dikes,475860.3955,3863562.294,1.0103,1.00576,1.01612,1.01634,-0.281352,16.8396,16.6679,16.5724,222.289,16.9966,49.9754,72.8583,5.12228,9.15235,3.2963,
cy13-212,CY13-212b-2b,dikes,475860.3955,3863562.294,1.00956,1.00563,1.01525,1.01541,-0.257474,16.6257,16.4683,16.376,218.785,17.9324,54.2542,71.439,8.34277,14.0489,5.2826,
cy13-212,CY13-212b-3a,dikes,475860.3955,3863562.294,1.01156,1.00782,1.01948,1.0196,-0.191923,13.0023,12.8537,12.7539,227.803,18.0531,55.1451,71.8075,7.22803,10.6962,4.33918,
cy13-212,CY13-212b-3b,dikes,475860.3955,3863562.294,1.00941,1.0075,1.01698,1.01701,-0.112887,12.7943,12.675,12.5807,230.362,16.5942,84.4029,70.22,11.5283,14.4691,6.49912,
cy13-214,CY13-214a-1a,dikes,476964.3086,3866524.36,1.00426,1.00118,1.00544,1.00573,-0.566564,19.6332,19.5499,19.5269,-267.893,33.05,235.292,50.8984,12.7543,39.3633,10.0598,
cy13-214,CY13-214a-1b,dikes,476964.3086,3866524.36,1.00331,1.00202,1.00534,1.00539,-0.241283,19.419,19.355,19.316,-255.773,35.818,237.735,43.6494,16.4007,25.7719,10.3625,
cy13-214,CY13-214a-2,dikes,476964.3086,3866524.36,1.00325,1.00407,1.00734,1.00735,0.112322,19.7727,19.7086,19.6287,105.604,29.8473,-88.3712,59.404,16.395,13.2604,7.45491,
cy13-214,CY13-214a-3,dikes,476964.3086,3866524.36,1.00351,1.00483,1.00836,1.00839,0.158203,19.3125,19.245,19.1525,-260.01,30.435,234.458,50.013,15.5931,11.5126,6.71542,
cy13-214,CY13-214b-1,dikes,476964.3086,3866524.36,1.00271,1.00557,1.0083,1.00846,0.344819,1770.79,1766,1756.21,3.3659,14.868,134.14,67.8777,25.7371,13.2696,8.99859,
cy13-214,CY13-214b-2,dikes,476964.3086,3866524.36,1.00758,1.00522,1.01284,1.01292,-0.183393,2815.63,2794.45,2779.92,9.9859,24.2739,-181.619,65.2796,7.60292,11.0162,4.52755,
cy13-215,CY13-215a-1a,dikes,477175.2239,3867389.597,1.00679,1.00436,1.01118,1.01127,-0.21773,6795.65,6749.82,6720.54,227.352,74.2504,-255.333,8.65944,11.9895,18.3879,7.38337,
cy13-215,CY13-215a-1b,dikes,477175.2239,3867389.597,1.00916,1.00561,1.01482,1.01496,-0.239646,4699.08,4656.44,4630.48,243.585,79.1739,-256.355,8.32692,17.8893,27.9298,11.3445,
cy13-215,CY13-215a-2,dikes,477175.2239,3867389.597,1.0068,1.00416,1.01099,1.01109,-0.239963,7589.23,7538,7506.77,-62,81.0181,-242,8.98188,6.85178,11.1505,4.26928,
cy13-215,CY13-215a-3a,dikes,477175.2239,3867389.597,1.00657,1.01042,1.01705,1.0172,0.225489,6032.84,5993.47,5931.69,215.862,74.5111,-248.119,3.83032,8.88536,5.69028,3.48244,
cy13-215,CY13-215a-3b,dikes,477175.2239,3867389.597,1.00748,1.00753,1.01506,1.01506,0.00373803,6026.72,5982,5937.28,-70,87.2825,-250,2.71747,5.28931E-12,5.28931E-12,2.64466E-12,
cy13-215,CY13-215b-1,dikes,477175.2239,3867389.597,1.00505,1.01984,1.02499,1.02643,0.591941,23.6889,23.5699,23.1113,165.999,26.7455,266.801,20.3999,10.9773,2.88164,2.28862,
cy13-215,CY13-215b-2,dikes,477175.2239,3867389.597,1.011,1.01233,1.02347,1.02348,0.0565679,21.7485,21.5118,21.2497,-242.501,32.0533,237.456,38.5711,6.81126,6.1582,3.24452,
cy13-219,CY13-219a-1a,dikes,474138.1247,3867338.699,1.00148,1.00297,1.00445,1.00453,0.333692,838.719,837.479,835.002,77.9226,0.971907,-191.693,21.5705,62.8005,44.254,32.9925,
cy13-219,CY13-219a-1b,dikes,474138.1247,3867338.699,1.00241,1.00121,1.00363,1.00369,-0.332529,830.2,828.2,827.2,96.2953,12.3635,-5.84859,43.8226,20.655,37.0141,14.1071,
cy13-219,CY13-219a-2a,dikes,474138.1247,3867338.699,1.00347,1.00116,1.00464,1.00483,-0.499132,866.6,863.6,862.6,257.256,9.1526,-11.2563,9.1526,21.0012,49.0319,16.062,
cy13-219,CY13-219a-2b,dikes,474138.1247,3867338.699,1.00528,1.00082,1.0061,1.00663,-0.731414,872.091,867.509,866.8,259.714,14.0388,-197.178,25.6376,13.8627,57.9257,12.0644,
cy13-219,CY13-219a-3a,dikes,474138.1247,3867338.699,1.0023,1.00173,1.00403,1.00404,-0.141873,872.9,870.9,869.4,259.136,9.84972,-195.48,24.8679,46.3819,54.4479,30.9503,
cy13-219,CY13-219a-3b,dikes,474138.1247,3867338.699,1.00299,1.00163,1.00462,1.00469,-0.29556,856.966,854.41,853.024,78.5286,3.67814,171.44,38.3126,25.7192,41.6025,17.3423,
cy13-219,CY13-219a-3c,dikes,474138.1247,3867338.699,1.00279,1.00229,1.00508,1.00509,-0.0978782,822.014,819.729,817.857,254.776,17.471,164.489,0.910252,18.2657,21.9344,10.2809,
cy13-219,CY13-219b-1a,dikes,474138.1247,3867338.699,1.00192,1.00307,1.00499,1.00503,0.230594,878.279,876.6,873.921,-6.94519,74.681,195.913,14.1663,44.6236,31.7412,20.8199,
cy13-219,CY13-219b-1b,dikes,474138.1247,3867338.699,1.00091,1.00276,1.00367,1.00382,0.503785,910.584,909.758,907.258,-264.967,36.7608,-0.666378,7.5729,42.3716,16.7813,12.7698,
cy13-219,CY13-219b-2a,dikes,474138.1247,3867338.699,1.00229,1.0023,1.0046,1.0046,0.00114626,874.4,872.4,870.4,69,88,-21,1.4981E-12,17.1081,17.1081,8.74904,
cy13-219,CY13-219b-2b,dikes,474138.1247,3867338.699,1.00285,1.0013,1.00415,1.00425,-0.372797,884.457,881.944,880.799,88.3769,67.7864,-7.84702,2.53499,20.1819,38.8755,14.169,
cy13-219,CY13-219b-3a,dikes,474138.1247,3867338.699,1.00156,1.00252,1.00408,1.00412,0.23703,889.4,888.018,885.782,250,45,3.6061,21.8235,24.0103,15.3922,9.65611,
cy13-219,CY13-219b-3b,dikes,474138.1247,3867338.699,1.00093,1.00282,1.00376,1.00391,0.503802,888.584,887.758,885.258,-255.22,51.9456,-14.5412,20.9743,42.3716,16.7813,12.7698,
cy13-220,CY13-220a-1,dikes,472777.1895,3864012.212,1.0108,1.00615,1.01702,1.01723,-0.27345,10.7751,10.66,10.5949,100.868,61.8287,-81.5351,28.1503,7.61318,13.293,4.87934,
cy13-220,CY13-220a-2a,dikes,472777.1895,3864012.212,1.0052,1.00108,1.00629,1.00672,-0.655962,6.83268,6.79732,6.79,-260.587,67.4789,7,1,33.1418,72.4012,28.4092,
cy13-220,CY13-220a-2b,dikes,472777.1895,3864012.212,1,1,1,1,0.6,6.15,6.15,6.15,-80.9576,62.8337,186.948,1.07428,62.2988,32.4104,25.4617,
cy13-220,CY13-220a-2c,dikes,472777.1895,3864012.212,1.0017,1.01238,1.0141,1.0154,0.757647,6399.27,6388.43,6310.3,85.6622,60.5851,-81.7186,28.8193,27.5311,4.13973,3.63645,
cy13-220,CY13-220a-3a,dikes,472777.1895,3864012.212,1.00637,1.00682,1.01323,1.01324,0.0335409,11250.7,11179.5,11103.8,73.7324,72.7948,261.981,17.0376,11.9493,11.2659,5.85884,
cy13-220,CY13-220a-3b,dikes,472777.1895,3864012.212,1.00433,1.00915,1.01351,1.0138,0.35666,12924.7,12869,12752.3,86.3875,52.4666,253.928,36.8757,7.28701E-12,3.47882E-12,2.35469E-12,
cy13-220,CY13-220b-1a,dikes,472777.1895,3864012.212,1.00542,1.00412,1.00956,1.00959,-0.135203,739.378,735.396,732.376,40.9097,78.6108,-79.1244,5.75728,21.5094,27.4652,12.6341,
cy13-220,CY13-220b-1b,dikes,472777.1895,3864012.212,1.00281,1.00763,1.01046,1.01082,0.461335,842.475,840.118,833.757,86.2937,80.6899,-65.1103,8.1909,41.5338,18.1703,13.4673,
cy13-220,CY13-220b-2,dikes,472777.1895,3864012.212,1.0037,1.00532,1.00904,1.00909,0.178586,855.19,852.034,847.526,216.544,21.2831,-51.318,5.47069,33.1967,24.6111,15.0796,
cy13-226,CY13-226a-1,dikes,501561.8307,3870569.515,1.00424,1.0014,1.00565,1.00588,-0.501937,1305.47,1299.95,1298.13,-3.84183,54.031,153.525,33.8153,17.4015,43.4641,13.2531,
cy13-226,CY13-226a-2,dikes,501561.8307,3870569.515,1.00138,1.00666,1.00806,1.00861,0.655042,1170.71,1169.09,1161.35,200.042,77.6623,82.9526,5.68806,57.0788,17.9115,14.9642,
cy13-226,CY13-226b-1,dikes,501561.8307,3870569.515,1.02476,1.02992,1.05542,1.0555,0.0931201,17434.2,17013,16518.8,62.2957,20.5399,-30.9265,8.53179,1.87178,1.59546,0.861501,
cy13-226,CY13-226b-2a,dikes,501561.8307,3870569.515,1.02864,1.02765,1.05708,1.05708,-0.0171976,17881.8,17384,16916.2,55.3813,32.7901,-44.3299,14.673,2.19707,2.33781,1.13307,
cy13-226,CY13-226b-2b,dikes,501561.8307,3870569.515,1.0252,1.02587,1.05172,1.05172,0.0130925,13.3858,13.0568,12.7275,55.8764,22.0791,-38.7504,11.2473,2.67836,2.67575,1.33926,
cy13-226,CY13-226b-3a,dikes,501561.8307,3870569.515,1.01646,1.02113,1.03793,1.03803,0.123134,9.90069,9.74041,9.5389,66.6286,35.2232,-31.2263,10.9552,9.247,7.37848,4.1254,
cy13-226,CY13-226b-3b,dikes,501561.8307,3870569.515,1.02694,1.02332,1.05088,1.05093,-0.0711975,13.889,13.5246,13.2164,59.1183,13.844,-34.1681,13.0955,2.41868,2.85893,1.31091,
cy13-228,CY13-228a-1,gabbro,501022.651,3868214.016,1.02975,1.02285,1.05328,1.05343,-0.129644,3128.21,3037.82,2969.97,256.389,17.684,8.62523,49.8848,3.44502,4.5847,1.96938,
cy13-228,CY13-228a-2,gabbro,501022.651,3868214.016,1.04374,1.02216,1.06687,1.06806,-0.322786,3999.43,3831.82,3748.75,258.297,15.3517,14.7054,58.3142,2.43785,4.90963,1.63053,
cy13-228,CY13-228a-2,gabbro,501022.651,3868214.016,1.03972,1.03456,1.07566,1.07572,-0.0681555,5705.77,5487.79,5304.44,254.163,13.4046,3.6233,54.4229,4.1084,4.8809,2.23415,
cy13-228,CY13-228a-2,gabbro,501022.651,3868214.016,1.04254,1.02148,1.06494,1.0661,-0.324324,3994.87,3831.86,3751.27,261.074,14.6366,14.9659,57.1847,3.7616,7.57528,2.51917,
cy13-228,CY13-228a-3,gabbro,501022.651,3868214.016,1.03988,1.03579,1.07709,1.07713,-0.0529949,5709.88,5490.93,5301.19,254.265,15.5581,5.7835,52.7998,4.14877,4.78492,2.22547,
cy13-228,CY13-228b-1,gabbro,501022.651,3868214.016,1.00476,1.0029,1.00767,1.00775,-0.242601,551.872,549.258,547.671,-63.3538,55.6461,-189.401,21.9113,27.1705,40.2085,17.7115,
cy13-228,CY13-228b-2,gabbro,501022.651,3868214.016,1.00143,1.00536,1.0068,1.00717,0.578479,512.732,512,509.268,20.5651,59.072,166.369,26.3617,3.10761E-11,8.32682E-12,6.56716E-12,
cy13-228,CY13-228b-3,gabbro,501022.651,3868214.016,1.00154,1.00469,1.00624,1.0065,0.504262,536.584,535.758,533.258,-28.3872,66.8891,-185.185,21.4174,42.3716,16.7813,12.7698,
cy13-228,CY13-228b-4,gabbro,501022.651,3868214.016,1.00384,1.00529,1.00915,1.00919,0.157859,507.514,505.572,502.914,-264.395,47.7216,204.981,16.7863,45.0666,36.217,22.9363,
cy13-232,CY13-232a-1,dikes,504267.7315,3868789.174,1.01196,1.02352,1.03575,1.03638,0.323328,79.8634,78.9199,77.1067,212.179,39.336,-46.7901,13.1419,5.28161,2.7542,1.8123,
cy13-232,CY13-232a-2a,dikes,504267.7315,3868789.174,1.01688,1.02271,1.03997,1.04011,0.145816,86.0043,84.5767,82.699,208.203,26.1635,-50.8706,21.0984,3.18393,2.42156,1.37627,
cy13-232,CY13-232a-2b,dikes,504267.7315,3868789.174,1.02022,1.0231,1.04379,1.04382,0.0658433,84.2309,82.5616,80.6975,207.675,23.6458,-55.2927,15.6214,2.61952,2.34591,1.23817,
cy13-232,CY13-232a-3a,dikes,504267.7315,3868789.174,1.01475,1.02192,1.037,1.03723,0.193809,86.2231,84.9697,83.1471,214.961,38.1806,-34.0528,24.4863,2.63042,1.80956,1.07245,
cy13-232,CY13-232a-3b,dikes,504267.7315,3868789.174,1.01916,1.01619,1.03565,1.03569,-0.0833406,85.6868,84.0762,82.737,208.838,38.7812,-34.3183,29.3361,3.56444,4.28457,1.94801,
cy13-232,CY13-232a-3c,dikes,504267.7315,3868789.174,1.0149,1.01772,1.03288,1.03293,0.0856217,76.8111,75.6833,74.3656,206.222,37.0961,-43.1387,24.9919,4.01792,3.44083,1.85548,
cy13-232,CY13-232b-1,dikes,504267.7315,3868789.174,1.00245,1.00328,1.00574,1.00576,0.144678,637.599,636.04,633.96,-43.2299,2.08364,47.2199,12.175,38.302,30.6192,18.6919,
cy13-232,CY13-232b-2,dikes,504267.7315,3868789.174,1.00395,1.00198,1.00595,1.00605,-0.331385,628.998,626.521,625.281,-41.4287,7.45324,54.3623,37.6423,38.6718,57.9692,28.0715,
cy13-232,CY13-232b-3a,dikes,504267.7315,3868789.174,1.00209,1.00426,1.00635,1.00647,0.34146,647.278,645.93,643.192,-72.1304,54.2024,76.2106,31.5433,29.2178,15.3993,10.4562,
cy13-232,CY13-232b-3b,dikes,504267.7315,3868789.174,1.0021,1.00424,1.00635,1.00647,0.337859,659.849,658.467,655.684,-55.7474,20.7557,43.2907,22.5145,40.7853,23.1874,15.9727,
cy13-233,CY13-233a-1,gabbro,504030.8405,3867301.626,1.02325,1.07725,1.1023,1.10719,0.528016,1512.93,1478.55,1372.52,252.967,8.00427,28.1088,78.7797,5.36447,1.74391,1.31709,
cy13-233,CY13-233a-2a,gabbro,504030.8405,3867301.626,1.01931,1.11167,1.13314,1.14414,0.69391,2520.93,2473.16,2224.72,249.806,11.3452,68.4432,78.6516,3.89246,0.749504,0.628648,
cy13-233,CY13-233a-2b,gabbro,504030.8405,3867301.626,1.02376,1.10656,1.13285,1.14176,0.623552,1937.66,1892.7,1710.44,248.111,11.3266,58.3414,78.5112,3.19516,0.788977,0.632873,
cy13-233,CY13-233a-2c,gabbro,504030.8405,3867301.626,1.02397,1.09859,1.12492,1.13261,0.59762,1898.56,1854.12,1687.72,248.776,10.9509,50.7061,78.4957,5.04621,1.35078,1.06617,
cy13-233,CY13-233a-3a,gabbro,504030.8405,3867301.626,1.02384,1.09225,1.11829,1.1251,0.578497,1575.93,1539.23,1409.23,247.259,9.55363,36.2378,78.8889,7.6928,2.18373,1.70331,
cy13-233,CY13-233a-3b,gabbro,504030.8405,3867301.626,1.02292,1.09893,1.12411,1.13213,0.612632,1820.39,1779.61,1619.4,254.997,8.50021,52.9567,80.8406,2.16091,0.55039,0.438706,
cy13-233,CY13-233a-3c,gabbro,504030.8405,3867301.626,1.01943,1.10646,1.12796,1.13811,0.680418,2151.49,2110.49,1907.42,252.772,9.15587,53.9305,80.3353,5.51845,1.11748,0.929802,
cy13-233,CY13-233b-1a,gabbro,504030.8405,3867301.626,1.01196,1.06071,1.07339,1.07881,0.664403,2781.48,2748.62,2591.3,-256.64,0.558161,195.758,76.8926,5.97844,1.25308,1.03662,
cy13-233,CY13-233b-1b,gabbro,504030.8405,3867301.626,1.00424,1.03217,1.03655,1.04002,0.764121,2071.06,2062.31,1998.03,89.8268,0.845233,188.476,84.397,27.4839,4.05056,3.56658,
cy13-233,CY13-233b-1c,gabbro,504030.8405,3867301.626,1.0078,1.04356,1.05171,1.05578,0.691634,2331.02,2312.97,2216.42,41.9691,7.55243,183.109,80.3371,11.055,2.09161,1.76243,
cy13-233,CY13-233b-2,gabbro,504030.8405,3867301.626,1.01068,1.04028,1.0514,1.05424,0.575914,2658.83,2630.72,2528.85,-67.141,1.51077,193.299,80.9769,9.0695,2.52192,1.97704,
cy13-237,CY13-237a-1a,dikes,511886.3206,3870765.097,1.00713,1.04412,1.05157,1.05594,0.717295,19.1041,18.9688,18.1671,180.096,40.4568,66.9103,24.7823,7.92996,1.34695,1.15248,
cy13-237,CY13-237a-1b,dikes,511886.3206,3870765.097,1.01092,1.05053,1.06201,1.06622,0.638842,21.9666,21.7293,20.6841,183.719,45.3305,65.3839,25.1351,10.7049,2.45807,2.00359,
cy13-237,CY13-237a-2a,dikes,511886.3206,3870765.097,1.00434,1.04681,1.05134,1.05705,0.827204,21.8776,21.7832,20.8092,-75.8292,35.8439,64.2895,46.7297,29.0584,3.08377,2.81166,
cy13-237,CY13-237a-2b,dikes,511886.3206,3870765.097,1.00615,1.0434,1.04982,1.05438,0.747649,22.3593,22.2225,21.2982,-83.7961,39.5473,63.5868,45.5691,22.4671,3.50087,3.05062,
cy13-237,CY13-237a-3a,dikes,511886.3206,3870765.097,1.00277,1.04365,1.04653,1.05232,0.878502,18.0576,18.0078,17.2546,191.472,52.2506,58.6546,27.7551,33.9468,2.55008,2.39202,
cy13-237,CY13-237a-3b,dikes,511886.3206,3870765.097,1.0034,1.04733,1.05089,1.05703,0.863289,16.5627,16.5066,15.7606,186.201,48.5469,57.6718,28.8193,22.3641,1.77236,1.64846,
cy13-237,CY13-237b-1a,dikes,511886.3206,3870765.097,1.01476,1.00317,1.01797,1.01919,-0.645104,38.4796,37.92,37.8004,-58.4182,9.41052,177.573,73.4945,6.56323,28.2847,5.41471,
cy13-237,CY13-237b-1b,dikes,511886.3206,3870765.097,1.00837,1.01202,1.0205,1.0206,0.177912,45.4131,45.0359,44.501,-44.1426,17.1216,-181.962,67.4271,8.4092,5.95023,3.49805,
cy13-237,CY13-237b-1c,dikes,511886.3206,3870765.097,1.00818,1.01535,1.02366,1.02402,0.302947,46.5311,46.1534,45.4556,-37.0994,24.8469,200.169,49.4233,7.8672,4.27728,2.77815,
cy13-237,CY13-237b-2a,dikes,511886.3206,3870765.097,1.01823,1.00585,1.02418,1.02523,-0.512011,37.7491,37.0732,36.8577,-57.4526,25.9397,-198.601,58.0106,4.89144,15.0217,3.71255,
cy13-237,CY13-237b-2b,dikes,511886.3206,3870765.097,1.00932,1.01004,1.01946,1.01946,0.0367234,42.7637,42.3687,41.9476,-46.7226,35.5191,-198.652,51.0287,6.93583,6.51064,3.36985,
cy13-237,CY13-237b-3,dikes,511886.3206,3870765.097,1.01026,1.01051,1.02088,1.02088,0.0116311,36.6338,36.2616,35.8846,-15.7027,42.8218,178.521,46.2879,5.14993,5.08411,2.56352,
cy13-242,CY13-242a-1,dikes,513884.3006,3868442.098,1.01699,1.00611,1.0232,1.02405,-0.469155,36.131,35.5273,35.3117,-16.8515,33.11,251.059,3.1995,2.47514,6.89999,1.82423,
cy13-242,CY13-242a-2a,dikes,513884.3006,3868442.098,1.01525,1.00489,1.02022,1.02109,-0.512301,35.3775,34.8461,34.6764,-15.771,29.2978,247.473,11.84,2.93047,9.10903,2.2221,
cy13-242,CY13-242a-2b,dikes,513884.3006,3868442.098,1.01275,1.00395,1.01675,1.01751,-0.525353,33.8783,33.4517,33.32,-18.1495,30.0538,248.698,5.43005,4.31528,13.7405,3.30024,
cy13-242,CY13-242a-3,dikes,513884.3006,3868442.098,1.00957,1.00606,1.01569,1.01582,-0.22399,35.0647,34.7322,34.5231,-26.1157,38.3391,72.3981,10.603,2.65068,4.20898,1.62782,
cy13-242,CY13-242b-1a,dikes,513884.3006,3868442.098,1.01409,1.0184,1.03275,1.03284,0.131554,36.3899,35.8842,35.2359,247.065,35.3486,155.016,2.88574,5.2172,4.07352,2.29121,
cy13-242,CY13-242b-1b,dikes,513884.3006,3868442.098,1.0101,1.01624,1.02651,1.02675,0.231812,39.6535,39.257,38.6295,246.421,38.6209,153.287,3.91513,3.68315,2.32906,1.42776,
cy13-242,CY13-242b-2a,dikes,513884.3006,3868442.098,1.01147,1.0141,1.02572,1.02577,0.10235,39.928,39.4754,38.9266,267.362,49.5864,-200.886,14.9285,8.32085,6.87773,3.78192,
cy13-242,CY13-242b-2b,dikes,513884.3006,3868442.098,1.00901,1.01707,1.02623,1.02665,0.307284,33.4782,33.1793,32.6224,-83.512,70.3295,-218.658,14.2202,9.13253,4.93198,3.21385,
cy13-255,CY13-255a-1a,dikes,482025.7622,3863449.838,1.01429,1.02266,1.03727,1.03759,0.224557,15.4374,15.2199,14.8827,75.9531,12.2153,170.251,19.0942,4.95305,3.19902,1.94605,
cy13-255,CY13-255a-1b,dikes,482025.7622,3863449.838,1.01245,1.02071,1.03341,1.03376,0.247323,22.2171,21.944,21.4988,256.619,5.50418,-195.761,23.318,3.94812,2.42427,1.50311,
cy13-255,CY13-255a-2a,dikes,482025.7622,3863449.838,1.01524,1.01672,1.03222,1.03223,0.0458787,14.7506,14.5292,14.2902,71.818,8.27189,164.346,16.8785,5.95073,5.5182,2.87034,
cy13-255,CY13-255a-2b,dikes,482025.7622,3863449.838,1.01131,1.01934,1.03087,1.03122,0.259946,21.6603,21.418,21.0117,245.675,5.5034,-206.215,18.8943,6.01312,3.59448,2.25347,
cy13-255,CY13-255a-2c,dikes,482025.7622,3863449.838,1.01921,1.02342,1.04309,1.04316,0.0977282,16.7322,16.4168,16.041,67.0866,7.31286,158.491,10.8136,5.12182,4.30294,2.34234,
