site number,specimen,rock type,easting,northing,L,F,P,Pj,T,max,int,min,Dmax (in-situ),Imax (in-situ),Dmin (in-situ),Imin (in-situ),e12,e23,e31,comments
cy13-184,CY13-184d-1b,dikes,480197.7857,3864586.635,1.00261,1.00078,1.00339,1.00356,-0.538214,1645.68,1641.4,1640.12,197.068,23.9836,-63.4602,20.2998,24.1658,56.2598,19.0464,
cy13-184,CY13-184d-2a,dikes,480197.7857,3864586.635,1.00118,1.00205,1.00323,1.00327,0.269642,830.151,829.173,827.475,241.943,68.6554,40.5873,19.999,53.9039,38.3175,26.6279,
cy13-184,CY13-184d-2b,dikes,480197.7857,3864586.635,1.00513,1.00246,1.00761,1.00776,-0.351266,2534.69,2521.75,2515.56,-213.887,31.1535,239.296,5.24872,11.3992,22.8581,7.76659,
cy13-185,CY13-185a-1a,dikes,479802.2031,3863386.834,1.00546,1.00093,1.00639,1.00691,-0.707408,10.3005,10.2445,10.235,193,4.28253,-77,4.23258E-12,15.3922,58.1809,13.2319,
cy13-185,CY13-185a-1b,dikes,479802.2031,3863386.834,1.00389,1.00207,1.00597,1.00606,-0.304057,14.367,14.3113,14.2817,76.7081,9.54033,-187.611,30.4962,18.7058,32.4706,12.4621,
cy13-185,CY13-185a-2a,dikes,479802.2031,3863386.834,1,1,1,1.00606,-0.304057,11.4,11.4,11.4,76.7081,9.54033,-187.611,30.4962,18.7058,32.4706,12.4621,
cy13-185,CY13-185a-2b,dikes,479802.2031,3863386.834,1.00335,1.00386,1.00723,1.00723,0.0697291,14.4975,14.449,14.3935,265.886,14.841,170.039,21.0296,21.25,18.7473,10.2722,
cy13-185,CY13-185b-1,dikes,479802.2031,3863386.834,1.00597,1.01084,1.01688,1.01711,0.288601,21.6593,21.5308,21.2999,-71.0795,35.0234,194.404,6.41083,14.4378,8.15665,5.26053,
cy13-185,CY13-185b-2,dikes,479802.2031,3863386.834,1.00301,1.00864,1.01167,1.01212,0.482314,21.2932,21.2293,21.0475,-57.9045,53.0423,191.041,15.1257,13.5478,4.83815,3.58429,
cy13-186,CY13-186b-1a,dikes,479840.6035,3862614.696,1.00567,1.0154,1.02116,1.0219,0.459992,44.1916,43.9425,43.276,-52.0703,38.0666,-190.622,43.7442,8.51609,3.20328,2.3329,
cy13-186,CY13-186b-1b,dikes,479840.6035,3862614.696,1.00356,1.0152,1.01881,1.01999,0.618856,41.8537,41.7053,41.0809,-39.7429,35.7904,-188.015,49.7138,12.5741,3.03422,2.45241,
cy13-186,CY13-186b-1c,dikes,479840.6035,3862614.696,1.00337,1.01507,1.0185,1.0197,0.632384,37.17,37.045,36.495,-53.0901,28.8179,173.511,51.3146,8.57492,1.96276,1.5995,
cy13-186,CY13-186b-2,dikes,479840.6035,3862614.696,1.0046,1.01313,1.01779,1.01847,0.479177,37.6704,37.4978,37.0118,-42.4116,38.6886,180.697,42.3534,8.59605,3.07366,2.26901,
cy13-186,CY13-186b-3a,dikes,479840.6035,3862614.696,1.0045,1.01401,1.01857,1.01937,0.512189,37.2117,37.0451,36.5332,-45.9426,44.8412,-202.721,42.7409,10.4657,3.44152,2.59761,
cy13-186,CY13-186b-3b,dikes,479840.6035,3862614.696,1.00612,1.01392,1.02013,1.02063,0.387823,40.8817,40.6331,40.0751,-65.6223,38.4556,155.74,43.3822,4.33583,1.93466,1.33865,
cy13-187,CY13-187a-1,dikes,479740.3089,3862250.294,1.00892,1.00191,1.01084,1.01158,-0.646841,23.312,23.106,23.062,69.6745,26.7877,-196.614,7.30568,9.24615,37.352,7.64192,
cy13-187,CY13-187a-2,dikes,479740.3089,3862250.294,1.01004,1.00077,1.01082,1.01208,-0.857062,23.9917,23.7533,23.735,59.3968,27.4838,-64.7969,47.2112,5.52884,51.6596,5.13785,
cy13-187,CY13-187a-3a,dikes,479740.3089,3862250.294,1.01004,1.00077,1.01082,1.01208,-0.857062,23.9917,23.7533,23.735,59.3968,27.4838,-64.7969,47.2112,5.52884,51.6596,5.13785,
cy13-187,CY13-187a-3a,dikes,479740.3089,3862250.294,1.00807,1.00327,1.01137,1.0117,-0.421868,23.7993,23.6088,23.5318,62.4745,28.0514,-38.6023,19.827,5.65157,13.7535,4.03089,
cy13-187,CY13-187a-4,dikes,479740.3089,3862250.294,1.01183,1.00319,1.01505,1.01586,-0.573594,24.4158,24.1305,24.0537,62.0698,31.0532,-46.3282,27.6622,6.43613,22.7542,5.08007,a3b
cy13-187,CY13-187a-5,dikes,479740.3089,3862250.294,1.01143,1.00527,1.01676,1.01714,-0.367379,24.6382,24.3598,24.232,61.1965,31.269,-33.4544,7.60534,5.90465,12.7026,4.05515,
cy13-187,CY13-187a-b,dikes,479740.3089,3862250.294,1.0093,1.00382,1.01316,1.01354,-0.416726,26.0159,25.7761,25.678,67.0965,33.7355,-41.7747,25.8423,6.84719,16.3608,4.87103,a3b
cy13-187,CY13-187b-1a,dikes,479740.3089,3862250.294,1.00913,1.00409,1.01325,1.01357,-0.380218,19.0304,18.8582,18.7814,236.76,16.1959,-215.004,6.05028,5.1087,11.3323,3.53764,
cy13-187,CY13-187b-1b,dikes,479740.3089,3862250.294,1.00705,1.00753,1.01463,1.01463,0.0327841,19.4052,19.2694,19.1254,237.992,5.40486,-212.183,1.84945,6.43927E-12,6.07442E-12,3.12576E-12,
cy13-187,CY13-187b-2,dikes,479740.3089,3862250.294,1.00711,1.00747,1.01464,1.01464,0.0244495,18.4455,18.3152,18.1793,229.069,0.291987,-220.939,1.53721,8.23146,7.90004,4.05124,
cy13-187,CY13-187b-3,dikes,479740.3089,3862250.294,1.00702,1.00697,1.01403,1.01403,-0.00348722,18.1828,18.0561,17.9311,223.143,16.4213,-44.7025,7.26806,6.9252,7.02147,3.49946,
cy13-188,CY13-188a-1,dikes,478426.551,3861555.657,1.00315,1.00569,1.00886,1.00898,0.286691,1162.62,1158.97,1152.41,-59.9946,72.3555,45.5414,4.86951,25.6708,14.9831,9.75433,
cy13-188,CY13-188a-2,dikes,478426.551,3861555.657,1.00195,1.0054,1.00736,1.00763,0.469918,1067.83,1065.75,1060.02,-70.6247,14.1775,20.6535,5.04599,19.9811,7.49714,5.51923,
cy13-188,CY13-188a-3,dikes,478426.551,3861555.657,1.00286,1.00492,1.00779,1.00788,0.264419,984.808,982,977.192,-83.0179,41.0659,23.3499,17.9225,28.7267,17.7496,11.4243,
cy13-188,CY13-188b-1,dikes,478426.551,3861555.657,1.02055,1.00259,1.02319,1.02543,-0.77452,29.9879,29.384,29.3081,192.97,19.8983,55.2257,63.9398,3.57197,26.4248,3.17421,
cy13-188,CY13-188b-2,dikes,478426.551,3861555.657,1.01783,1.00825,1.02624,1.02682,-0.365139,28.9931,28.4851,28.2519,194.258,18.4493,57.9232,65.2417,3.77743,8.18437,2.59093,
cy13-190,CY13-190a-1,gabbro,485383.2411,3862291.876,1.05047,1.02034,1.07184,1.07399,-0.419473,1027.27,977.914,958.419,41.8182,78.1099,-187.984,7.7388,2.67203,6.73833,1.91611,
